2000
7013905947648522104/8674920945169739269 4235798054165527655/5483438460142409192
8049209412569832562/8104669744107062112 6732430119848307696/8357166232889623407
3172464789698760654/3245310431683115675 4766670638130006155/8098576493655128835
3893616430576527990/5018774947081628821 252978443616945009/643354547118587323
668887637799016036/1973516948580692517 3999555725639130320/6475753809418049985
3442983957910378458/6645556802159008975 5144086917571631395/7955864803336669646
6758803567599758463/8982146698841690993 607351065535015967/8210118426473722873
1257904174683257778/2364985844251551651 1415413927814369533/7501971633665237267
2764550219652555927/3206756009450374329 5485237594771002030/6623896955690377877
222825767314355783/5426368465661819558 703441654633164823/930168041408037449
124489609862873495/7797224833801096755 2989957769661664914/6543984095063727637
718350637363227621/1660012934489856309 220979361452160890/7688117281828512270
133361752323767607/6184670113018056192 349244730399646578/4682235768108173782
1173888988183161516/1221036662957492993 2119251702708969164/7103133413993662847
1737649191906909778/4776647069555388541 1602390108803969371/6474994794086394263
2200394474843774903/2295182887677552085 6684136936907981845/6755593985227344299
134394167813425456/4703069787378676949 149082190988508934/1351425764537875863
3475191143232032283/5621127957405838264 7047610896462352351/7219877274937965312
1703704322532991898/8535413075776761439 6786522080053706802/7436880545459890349
1995810927688723457/8871834476274756917 3368480378089510305/5221936256181030882
1449315049992718342/2848106633486378833 3712274909665852922/4346548416628904319
170986350972097981/4834625686570481705 7458716363703784858/8552255342153459973
1280945662906980821/7215156270871728475 2883237982684586270/3201718626961136394
665406840459684048/4476800911571299794 3803590913746457358/5931192099612216213
778731287116023274/5836639428486350599 4525962807827197825/5411869830614609368
371804397343089909/4775668527236392266 6315791010716618760/6355302097382792557
6010837754598168566/7786737807249026020 1588724876527802432/4907423001787505092
3782837424481598001/6736369032693630620 8117857749333437262/8643020697354466245
3216702235353054933/6391994032609464618 634344362896675497/4251156093603003408
8171313294693976284/8171922034123457675 4072479880914842079/7878209226499128802
4667318360340422644/8167078618930459868 732054228357529942/862084690808939682
147429697587661967/4120924111943687181 5128843387370266414/6350468343197122441
2963769466105734627/9207556675979300493 4142566074090326299/4234373184946470719
4791486720296221451/5419298834456317993 3998322932746645241/8394249964650433449
6602574751260392643/8620523916606675638 3029271259335704090/4210731379116562418
2142683159931434428/3333328530746322578 384114801164332855/9075341749565900885
