1000
3011537824081147/9765625000000000 2322418884142587/2441406250000000
7581427419693897/9765625000000000 3077717901324719/4882812500000000
-4699949269681247/4882812500000000 -5295031289922977/19531250000000000
-4875530739141983/4882812500000000 -533133836247049/9765625000000000
4694417074745241/4882812500000000 -67162233407187/244140625000000
4655689072313141/4882812500000000 5887501571431129/19531250000000000
4783408077750077/4882812500000000 980237252848289/4882812500000000
7936144292238291/9765625000000000 -2845393005078499/4882812500000000
3498659145168753/9765625000000000 4558695422666227/4882812500000000
-1185645989534667/1220703125000000 1161789701349609/4882812500000000
4884006797018811/9765625000000000 8456589693682617/9765625000000000
-5051839566608033/39062500000000000 -4841806583102617/4882812500000000
7116748217162721/9765625000000000 1671812759666439/2441406250000000
7861162827433553/78125000000000000 60725380733551/61035156250000
1004836266498557/2441406250000000 1780025807465643/1953125000000000
-1592459950483633/1953125000000000 5654132496967737/9765625000000000
7363189715749871/9765625000000000 1603723574421811/2441406250000000
353869898607341/390625000000000 8271031598995107/19531250000000000
-948804133877591/1953125000000000 -1066988310686357/1220703125000000
4825312479880149/4882812500000000 -2988557864038463/19531250000000000
-559378651931853/2441406250000000 2376459551791691/2441406250000000
2663049237093933/4882812500000000 4092679644312473/4882812500000000
-8550386926871741/19531250000000000 -137189059368647/152587890625000
-3666507216690737/4882812500000000 -6449366710030061/9765625000000000
-1795031027686531/2441406250000000 -6619157755704813/9765625000000000
7270875554946049/19531250000000000 4531860098423907/4882812500000000
174186147420511/244140625000000 6842669750580179/9765625000000000
-141731616976379/488281250000000 -584073421982983/610351562500000
-1060155732630663/1220703125000000 4841063962098301/9765625000000000
-1719884621234829/4882812500000000 4569885644061149/4882812500000000
6667730326281481/9765625000000000 -3567520285037327/4882812500000000
-2415315049683563/2441406250000000 1423897121627257/9765625000000000
632591227042187/976562500000000 743977590976711/976562500000000
300148423745397/305175781250000 -3530562296934747/19531250000000000
-1191992735301479/1220703125000000 -4211054051369513/19531250000000000
4874166510010769/4882812500000000 -2323566126049387/39062500000000000
-8661950657586291/9765625000000000 70465185688277/152587890625000
-20493975271111/39062500000000 259802439101529/305175781250000
-1233091025709433/3906250000000000 -2316573741610291/2441406250000000
1213576509231577/1220703125000000 -8429598291992619/78125000000000000
-4345380883690693/9765625000000000 -8745575831029109/9765625000000000
-3560785088242783/39062500000000000 -2431241738261467/2441406250000000
-7015035658570249/39062500000000000 4803430058560673/4882812500000000
5266743005030299/9765625000000000 -1027959521330283/1220703125000000
4608914467868937/9765625000000000 8609607370170453/9765625000000000
-5405685913297561/19531250000000000 -4692069681716137/4882812500000000
450792197745241/1953125000000000 4750975991886441/4882812500000000
-5733224674905709/9765625000000000 -7905540238824753/9765625000000000
3610058853615161/4882812500000000 -6575510013250999/9765625000000000
5817804143497347/9765625000000000 -156870120276017/195312500000000
1986953191805939/9765625000000000 -4780675910742047/4882812500000000
-2441056800140349/2441406250000000 -528715311264811/31250000000000000
2435792431388301/2441406250000000 5294980806392269/78125000000000000
3933979681858899/4882812500000000 -5784690751588233/9765625000000000
192890398876713/195312500000000 -1226550726179757/7812500000000000
4182825168235561/4882812500000000 100763735715833/195312500000000
