1000
-8412953550985467/9765625000000000 -619849328839099/1220703125000000
7203365966717883/9765625000000000 6593857019238097/9765625000000000
4917626313299723/9765625000000000 8437083802082753/9765625000000000
-7604624370584429/9765625000000000 -6126754428156753/9765625000000000
-3265451019616793/39062500000000000 60821518952559/61035156250000
6095686051606951/312500000000000000 2440941738454607/2441406250000000
1549427335054463/7812500000000000 -4785820168060033/4882812500000000
4747893695567643/4882812500000000 -4559584833285209/19531250000000000
2304492076056761/2441406250000000 -6448718316965189/19531250000000000
-7373781355596031/19531250000000000 904291262650431/976562500000000
3490924965264909/4882812500000000 -6827972113899249/9765625000000000
2224707976848247/4882812500000000 -10866385187789/12207031250000
511733506725047/1220703125000000 -8866096999170363/9765625000000000
-1208268396356831/2441406250000000 2121450437767603/2441406250000000
-3319416476818419/4882812500000000 7161936096777921/9765625000000000
3526790882360443/39062500000000000 -1215717642807449/1220703125000000
-298716274166653/1953125000000000 965073294259689/976562500000000
203119842152739/1953125000000000 4856335807059711/4882812500000000
-2008136682783643/4882812500000000 8901515595316329/9765625000000000
6841680462638019/9765625000000000 139368346603929/195312500000000
-8695537456563471/9765625000000000 4444666464666013/9765625000000000
-357191500185081/488281250000000 6658312437760601/9765625000000000
-1644295910002809/1953125000000000 -527017131119339/976562500000000
4933504365803467/9765625000000000 4213904552586091/4882812500000000
3998018345219383/4882812500000000 -5606320440875821/9765625000000000
-276267459507341/305175781250000 -8297458270482913/19531250000000000
7377614410458323/9765625000000000 319914977967673/488281250000000
-6088357229281461/9765625000000000 -763540030969439/976562500000000
-1167296852282057/1953125000000000 -7829615770070397/9765625000000000
-6127762161885893/19531250000000000 289766986739293/305175781250000
-1656918485310079/3906250000000000 -8843574714000609/9765625000000000
6914139061161043/9765625000000000 -3448264515794579/4882812500000000
8410796309634491/9765625000000000 2481226364041773/4882812500000000
-91909258376607/195312500000000 1723358955090671/1953125000000000
-818038898859441/1220703125000000 1449681657159341/1953125000000000
-4784479452589241/4882812500000000 7799956011804591/39062500000000000
4832482421891317/9765625000000000 -8486138419960897/9765625000000000
-4874854691347509/4882812500000000 2229254919882389/39062500000000000
-5771281857933503/19531250000000000 1166193782606053/1220703125000000
7181318226489577/19531250000000000 454077633156207/488281250000000
1386785605131097/2441406250000000 4018601827969643/4882812500000000
1688343110054267/1953125000000000 -4909671089689423/9765625000000000
-3122997116119081/39062500000000000 -1216795626609597/1220703125000000
8924100697695329/9765625000000000 -495729550416901/1220703125000000
7990435818641401/39062500000000000 2389782810540607/2441406250000000
609993923999179/610351562500000 -5348148994195987/156250000000000000
5930868088383147/9765625000000000 3879182754099871/4882812500000000
-658440040180363/4882812500000000 2419106995548333/2441406250000000
4937396391084053/39062500000000000 -4843650842738793/4882812500000000
1173283939147349/2441406250000000 856398904780051/976562500000000
8916832319254359/9765625000000000 3982151809126057/9765625000000000
-14912037394223/15258789062500 517514908793373/2441406250000000
-4872130227075841/4882812500000000 -1291231725571577/19531250000000000
-4867203857431061/4882812500000000 -6241733510275711/78125000000000000
-8838716324811759/39062500000000000 -4756173619589573/4882812500000000
-6344655184397543/78125000000000000 4866684003086981/4882812500000000
6119929911278481/9765625000000000 951264697009197/1220703125000000
-1904210468776279/2441406250000000 -1222311768580671/1953125000000000
-4715812339949839/4882812500000000 -2532170519165783/9765625000000000
-36766343285227/48828125000000 6426264210094287/9765625000000000
-5187332807756689/19531250000000000 -4707449580877573/4882812500000000
4879868319329791/4882812500000000 -2712606240568231/78125000000000000
-4168197533164423/9765625000000000 -883139632023991/976562500000000
-4035762375962279/19531250000000000 2388718107477011/2441406250000000
6346741138712833/39062500000000000 963586329541939/976562500000000
-7487958284006761/19531250000000000 4509713178930247/4882812500000000
5722752080332367/156250000000000000 -2439768205914363/2441406250000000
2326917494734693/2441406250000000 -5910908966914281/19531250000000000
4755480006328067/4882812500000000 -8862569630332759/39062500000000000
-4744085687739203/9765625000000000 -2133967587441481/2441406250000000
-2256374104855269/2441406250000000 -745864492348103/1953125000000000
1451777597995933/3906250000000000 -2266530497366201/2441406250000000
3188378464072297/4882812500000000 -3698121236519461/4882812500000000
1565149296985233/1953125000000000 -2920835650729547/4882812500000000
-7626918478522707/9765625000000000 -6098979108227367/9765625000000000
8324666365926853/9765625000000000 5105620582909701/9765625000000000
-8367436984989751/9765625000000000 5035218956793303/9765625000000000
24026032842323/24414062500000 -433545771672643/2441406250000000
-349926479619693/390625000000000 1736068820236357/3906250000000000
-7816634392332629/9765625000000000 -5853858421351487/9765625000000000
-2441200479625121/2441406250000000 -4057207939955671/312500000000000000
2206553904741139/2441406250000000 8358313104489717/19531250000000000
-943152482006039/976562500000000 -5065084879529597/19531250000000000
-8436570812436129/9765625000000000 -4918506334993969/9765625000000000
2300132615072451/2441406250000000 130951416272781/390625000000000
-472762310770017/488281250000000 -1221244308766939/4882812500000000
-4878854036885703/4882812500000000 -3145178279780827/78125000000000000
-4540537968579619/4882812500000000 -7183729244389003/19531250000000000
-5760987032894793/19531250000000000 1166392600756237/1220703125000000
-6497066862371799/39062500000000000 -4814799821312457/4882812500000000
-4868652604704507/4882812500000000 5945452847700363/78125000000000000
5964100892455247/9765625000000000 -1546569522333083/1953125000000000
5858091926777961/39062500000000000 193103706931497/195312500000000
1217671319530749/1220703125000000 5502763387411171/78125000000000000
4804916012525999/39062500000000000 -4845732156306741/4882812500000000
-951105726797717/1953125000000000 -426475025798521/488281250000000
-2641125667275189/4882812500000000 4106861711796057/4882812500000000
4244290432964709/9765625000000000 -8795079895104379/9765625000000000
-4718409303132357/4882812500000000 -251274476083049/976562500000000
-4653436668332137/4882812500000000 36974527413969/122070312500000
-2312646944734781/2441406250000000 6259091750331557/19531250000000000
-5439339486025639/19531250000000000 2344819131212011/2441406250000000
-5310501222433549/78125000000000000 -4871518869988139/4882812500000000
8324992659561069/19531250000000000 8834084895742659/9765625000000000
4495980145659879/4882812500000000 380947263541211/976562500000000
3228808581856261/4882812500000000 7325749941647643/9765625000000000
1192694609070247/1220703125000000 -8319734696049233/39062500000000000
207228928123651/244140625000000 -5163071353233587/9765625000000000
2440533046743139/2441406250000000 8357258402862073/312500000000000000
-7759575630056013/19531250000000000 4480922844431301/4882812500000000
-15331015486539/38146972656250 8942250715074913/9765625000000000
1220539201769603/1220703125000000 1280282094333077/78125000000000000
5380366134967277/9765625000000000 -8149790911080007/9765625000000000
-8490857385543741/19531250000000000 549658156746701/610351562500000
8402402710005269/19531250000000000 -8815743803863009/9765625000000000
7125171161471057/9765625000000000 -1669568948118911/2441406250000000
-4846747938801083/4882812500000000 4738893223586771/39062500000000000
1149197376288531/1953125000000000 7896269144280349/9765625000000000
5428123283127421/312500000000000000 4882075831370079/4882812500000000
-268643055253177/390625000000000 -7089552149520733/9765625000000000
4045330933846353/4882812500000000 -683609699765793/1220703125000000
75599236832073/152587890625000 8482793744972037/9765625000000000
-5772858943498981/9765625000000000 -3938322335052351/4882812500000000
-1592226311390843/500000000000000000 -976557548454973/976562500000000
2868109594744127/9765625000000000 4667477343093421/4882812500000000
304130455175559/305175781250000 -6460760896193133/78125000000000000
8921341556895337/9765625000000000 -198601966668493/488281250000000
5306827271328703/9765625000000000 409893327442967/488281250000000
-7868736582769241/78125000000000000 -4857982561590233/4882812500000000
225796061305939/390625000000000 7968846737598101/9765625000000000
-8976677836230557/19531250000000000 -8673075890176263/9765625000000000
-3238797532815079/4882812500000000 1827022745588243/2441406250000000
-575530931861381/610351562500000 -1625657800487409/4882812500000000
2424345768512077/312500000000000000 -1220666390369739/1220703125000000
-1360004404815159/2441406250000000 1013761867553523/1220703125000000
1150544827909241/3906250000000000 -4666207584436091/4882812500000000
-1580148061991329/4882812500000000 -184802554148329/195312500000000
3862878193457963/4882812500000000 1194656768961743/1953125000000000
3444533025094957/4882812500000000 3460787504194159/4882812500000000
3148226153596459/4882812500000000 746472504409037/976562500000000
-4742067248087713/9765625000000000 8536991850484503/9765625000000000
4765537427382913/39062500000000000 1211584931472049/1220703125000000
-4650154874611321/4882812500000000 -1191413963936249/3906250000000000
-603148193598317/610351562500000 -2991835102241621/19531250000000000
1789510990930271/1953125000000000 -3912632358670949/9765625000000000
-2441406179498393/2441406250000000 2403225245300719/10000000000000000000
-7064873450301459/9765625000000000 -6742031946813257/9765625000000000
5964247226130117/9765625000000000 -3866367373460009/4882812500000000
7820562612703827/156250000000000000 -1219173136191907/1220703125000000
-372136990761331/1953125000000000 -19173448635371/19531250000000
4697332209586379/4882812500000000 -2666029274361853/9765625000000000
-2636431140764783/4882812500000000 410987697506409/488281250000000
1550693943297721/1953125000000000 5937266963521103/9765625000000000
4859050820899311/4882812500000000 7698029338664497/78125000000000000
3992698921032199/9765625000000000 -8912114618125897/9765625000000000
-3991353841809407/4882812500000000 5625283075412129/9765625000000000
-514771974890437/610351562500000 327931156972909/610351562500000
-4845682877395851/9765625000000000 8478607733132703/9765625000000000
-1036687444090941/1953125000000000 -8276437048768619/9765625000000000
6052109946092699/9765625000000000 7664163153341063/9765625000000000
-1506311368148061/1953125000000000 -9713056410437/15258789062500
610245140377191/610351562500000 5835418609055723/312500000000000000
-7417917707434869/9765625000000000 6351529620992821/9765625000000000
4882243191725471/4882812500000000 4771897255681459/312500000000000000
2062565348458231/2441406250000000 5224999385076999/9765625000000000
188111959930751/488281250000000 1126478111284719/1220703125000000
-8032263153560603/19531250000000000 1780315913523363/1953125000000000
-2501164000112547/4882812500000000 2096785429812577/2441406250000000
-1348796841628113/2441406250000000 2034996697184811/2441406250000000
6294168299614317/9765625000000000 233332843542733/305175781250000
-470829328898649/488281250000000 -1293766677203053/4882812500000000
-7844951292710301/625000000000000000 -76287934991697/76293945312500
-1777494436162089/15625000000000000 -2425557374579757/2441406250000000
-56333873643719/61035156250000 -1503366646225127/3906250000000000
7933407693187827/19531250000000000 8923715158724087/9765625000000000
-3832380750227761/19531250000000000 4787892179418463/4882812500000000
1511900928986193/1953125000000000 3091169728593537/4882812500000000
-266314259617371/1562500000000000 -4811366511324353/4882812500000000
-4630364675412877/4882812500000000 6198813928931699/19531250000000000
-5830069054457819/9765625000000000 244824806743417/305175781250000
-703234277247661/2441406250000000 -2337931998335927/2441406250000000
3275044305067887/4882812500000000 7243187892081401/9765625000000000
-4394724554706253/4882812500000000 1662476136169/3814697265625
4955919539517413/19531250000000000 -4723006114226467/4882812500000000
-7234322553149441/19531250000000000 2267757371555009/2441406250000000
-194589668226963/390625000000000 2116921700513807/2441406250000000
-6422917930765641/39062500000000000 -602044253425103/610351562500000
4737235371891379/4882812500000000 4733639515564989/19531250000000000
1187394236718159/2441406250000000 8532816092378941/9765625000000000
-1422641807266723/2441406250000000 -992037646180317/1220703125000000
-315357862555667/781250000000000 8934667217364627/9765625000000000
4297438198158063/4882812500000000 579540919778763/1220703125000000
8829328644730037/9765625000000000 -8345151244638923/19531250000000000
-7037048751052039/9765625000000000 -6771069082201269/9765625000000000
-965092105529497/976562500000000 -1193892303374599/7812500000000000
4819639917118557/4882812500000000 195724452271823/1220703125000000
-393817720158939/488281250000000 -1443313742662853/2441406250000000
-2925412694975953/9765625000000000 4658577900086531/4882812500000000
453160319668191/2441406250000000 -239898107583559/244140625000000
6272474521856951/9765625000000000 29939537742131/39062500000000
-242466659934309/610351562500000 8961984761124169/9765625000000000
-3991373645910927/4882812500000000 112504537358341/195312500000000
1569981774686331/9765625000000000 4819299452923053/4882812500000000
7994054215949317/78125000000000000 -242859163835567/244140625000000
6513881635621537/39062500000000000 -18806425085087/19073486328125
-6931543099772761/9765625000000000 6879036407565933/9765625000000000
-251939713327771/390625000000000 1492600678960389/1953125000000000
-860187524228901/1220703125000000 433068569208653/610351562500000
-5219588001938563/9765625000000000 -2063421502181571/2441406250000000
4880705855511281/4882812500000000 -4589324615383559/156250000000000000
-7140959493107187/9765625000000000 -832673866589091/1220703125000000
812015681677047/976562500000000 -1356246772154709/2441406250000000
2334744987348359/4882812500000000 2144226186425301/2441406250000000
-1267176189224061/2441406250000000 -834719496166481/976562500000000
-8656167654320313/39062500000000000 -595177081831841/610351562500000
1187270414603851/3906250000000000 -2325905235829093/2441406250000000
-298189157817359/3125000000000000 -303783279701929/305175781250000
-7792108736674429/9765625000000000 5886465244649547/9765625000000000
-2322594466009657/2441406250000000 752342624075213/2441406250000000
2119206633015739/9765625000000000 -1191613893051189/1220703125000000
-4810985045194839/9765625000000000 -2124586055793231/2441406250000000
-4517286832952067/4882812500000000 -7414556039568801/19531250000000000
-6560749220467371/19531250000000000 2299545798320279/2441406250000000
3021522220969109/4882812500000000 767131315443351/976562500000000
-907431557032841/1220703125000000 -3266028998489069/4882812500000000
6178914716314313/9765625000000000 -1512460836770849/1953125000000000
-963198283404089/976562500000000 -6440296049551287/39062500000000000
-5276885965287317/78125000000000000 -4871661557026351/4882812500000000
-964734111980421/976562500000000 -3030670525649297/19531250000000000
-1295341686414309/2441406250000000 1655546680557481/1953125000000000
-305016697908409/305175781250000 2522236133016207/78125000000000000
6544574864385671/9765625000000000 -7248170216342623/9765625000000000
7261582120897261/78125000000000000 4861674516250429/4882812500000000
4881976362910293/4882812500000000 1156591889498007/62500000000000000
607404626535621/610351562500000 7667883251628389/78125000000000000
4651333607328107/4882812500000000 2971163801271383/9765625000000000
-912064838486369/7812500000000000 2424711926760193/2441406250000000
-8997393372816951/9765625000000000 7593245455117229/19531250000000000
5322670324688499/19531250000000000 146812425828039/152587890625000
-8479352713615789/9765625000000000 193775165379763/390625000000000
784943773926751/1220703125000000 -7478949193177963/9765625000000000
-179357505020073/195312500000000 7731660914204973/19531250000000000
-476184635345333/488281250000000 86410266658891/390625000000000
-3571112732001917/9765625000000000 -2272314149385473/2441406250000000
-510792180166261/610351562500000 534554177824479/976562500000000
8997800114396493/9765625000000000 -1518263468149923/3906250000000000
7952075954821831/9765625000000000 2834251208404499/4882812500000000
-6076523439704841/9765625000000000 -7644821418930767/9765625000000000
-202569939701991/390625000000000 -1043737416438609/1220703125000000
4876516090329547/4882812500000000 7932433451040911/156250000000000000
-4750818576405507/9765625000000000 -1706424970453789/1953125000000000
-7453057218888849/9765625000000000 -1577564771502937/2441406250000000
918970716192047/3906250000000000 -949153632364167/976562500000000
-5915669357811673/9765625000000000 -7769960597691151/9765625000000000
189042048873389/195312500000000 981850582115469/3906250000000000
-5077656579914007/9765625000000000 4170876265758821/4882812500000000
-4290254000869513/4882812500000000 -582858179479547/1220703125000000
-4497315889789097/4882812500000000 -3803160631688731/9765625000000000
-2397961202280373/2441406250000000 229263249288417/1220703125000000
5415298669218043/9765625000000000 -1625324237975799/1953125000000000
-4439186514794363/4882812500000000 8134352829351947/19531250000000000
-241065413964167/390625000000000 -480263184722519/610351562500000
4845512669449239/4882812500000000 -963812270999747/7812500000000000
8756662755222271/9765625000000000 -1729198150909403/3906250000000000
367447273320033/610351562500000 1949406191334641/2441406250000000
3441964744190101/4882812500000000 -6926683653786601/9765625000000000
-4201859090961123/4882812500000000 1243607463175541/2441406250000000
-4764634834984403/4882812500000000 -8542085176477799/39062500000000000
-7116508320972029/9765625000000000 -6687506333317441/9765625000000000
1130278665538459/1953125000000000 497765260220697/610351562500000
2463299997719867/4882812500000000 -8431847017442751/9765625000000000
2474928261489403/4882812500000000 8418215490384477/9765625000000000
-4667352186299059/9765625000000000 -536129266747107/610351562500000
2102488389762713/2441406250000000 4963880817992401/9765625000000000
-3343453569184449/4882812500000000 -889633918420381/1220703125000000
-1453197175181373/1953125000000000 652478972011719/976562500000000
-4436549493498411/19531250000000000 -2377586601847551/2441406250000000
-6742563089056367/19531250000000000 -2291313656891891/2441406250000000
-4508000780044783/39062500000000000 4850188197407131/4882812500000000
-6810725064829771/19531250000000000 -4576323242064799/4882812500000000
-8845573902617069/78125000000000000 -4851413875474433/4882812500000000
2968688497965413/4882812500000000 387669272862889/488281250000000
-238375843519169/390625000000000 -3868236998530561/4882812500000000
-8689048084545319/78125000000000000 4852518703428849/4882812500000000
4096823175460103/9765625000000000 -2216182972895599/2441406250000000
2878507778321131/4882812500000000 -1972057991052811/2441406250000000
-6840849687605657/9765625000000000 -6969232898405001/9765625000000000
964128034625711/976562500000000 1242744041354009/7812500000000000
393863718349441/488281250000000 1154399933953669/1953125000000000
2435738631653951/2441406250000000 5320263048664483/78125000000000000
2358212330715243/2441406250000000 -2527604655167873/9765625000000000
4846225371573961/4882812500000000 -4772974305024149/39062500000000000
2398436133811509/2441406250000000 3648285862188893/19531250000000000
-7272127072212237/19531250000000000 -4531734590695501/4882812500000000
565480011434401/610351562500000 -1470070199557631/3906250000000000
2916417715064277/78125000000000000 -487940911698367/488281250000000
-964477738449029/976562500000000 -6126272399101587/39062500000000000
4819917812178117/9765625000000000 -1061660138094999/1220703125000000
-5201131480464681/39062500000000000 4839336114032261/4882812500000000
-1792706094716639/4882812500000000 1135453179575287/1220703125000000
4803033777093469/4882812500000000 1758094930605843/9765625000000000
1547400908339923/1953125000000000 -46552400568373/76293945312500
2613690205002209/4882812500000000 515547061116147/610351562500000
-2999899458937157/4882812500000000 -3852591484497779/4882812500000000
-5487844592257913/78125000000000000 -2435375513815521/2441406250000000
-1178188637393469/2441406250000000 -4276604266123291/4882812500000000
-3942035042131759/4882812500000000 -2881356908951321/4882812500000000
-1211401137398273/1220703125000000 -1203286265389877/9765625000000000
90256241963353/97656250000000 3729013208229729/9765625000000000
5677770581550331/9765625000000000 -397273057429983/488281250000000
877444454628421/2441406250000000 -4556558221544369/4882812500000000
-760468828788617/3906250000000000 299336793610743/305175781250000
-4630346481749019/4882812500000000 -6199031368348753/19531250000000000
4835995308722011/4882812500000000 -5396338220237583/39062500000000000
6155485229035227/9765625000000000 303255491586231/390625000000000
7019371266319963/9765625000000000 6789393099989621/9765625000000000
-1588170856312377/4882812500000000 -461731212301229/488281250000000
1074767391499221/1953125000000000 -815409761990093/976562500000000
-254300446860767/305175781250000 5398765150705591/9765625000000000
-1036359617009101/1953125000000000 1655492678889807/1953125000000000
-8771386215148929/9765625000000000 -8586085372349927/19531250000000000
2419805125906763/2441406250000000 -5184780933139843/39062500000000000
925070711114859/1953125000000000 -8600786948097321/9765625000000000
8896680791300259/19531250000000000 -8693658571916213/9765625000000000
4812508002184457/4882812500000000 -6604844956566049/39062500000000000
-60324680080331/61035156250000 742851895516749/4882812500000000
1158919336534937/1220703125000000 -1533738391200727/4882812500000000
-2367508382458483/9765625000000000 296071834115733/305175781250000
-5461338487764887/19531250000000000 -4688040025456787/4882812500000000
-1089776764172087/1220703125000000 8800039616716369/19531250000000000
7874012933148717/9765625000000000 -5776448040901237/9765625000000000
-4706119282836069/4882812500000000 1041321992353881/3906250000000000
-2215195140255229/2441406250000000 -8210724569746293/19531250000000000
-1877727959133947/2441406250000000 -6241284725472119/9765625000000000
