1000
-2337908807814101/2441406250000000 1406622741013823/4882812500000000
978870751247709/1220703125000000 5834672483622087/9765625000000000
-4882220957330237/4882812500000000 -1216045679318649/78125000000000000
-1220703083137969/1220703125000000 2618907219669397/10000000000000000000
3884470615373267/19531250000000000 -4785267851703821/4882812500000000
298683145922259/390625000000000 -3146830473046017/4882812500000000
1621065858198019/1953125000000000 2723557816773999/4882812500000000
975603379703139/976562500000000 6923327603284683/156250000000000000
-5735693101801949/625000000000000000 -488260688207467/488281250000000
-439185903765097/1220703125000000 455584347636097/488281250000000
-1275896201871457/4882812500000000 -294572961517271/305175781250000
606718449236029/610351562500000 -212788046649411/1953125000000000
7768027192743593/19531250000000000 8960015068281081/9765625000000000
1049007421651847/39062500000000000 4881051515937869/4882812500000000
-950160346996051/1953125000000000 -8532134229812233/9765625000000000
811637022104027/2441406250000000 -1151272103141691/1220703125000000
5160911228963113/156250000000000000 -4880148272682499/4882812500000000
-4683746873375649/19531250000000000 -4740333860794009/4882812500000000
-1219056275232129/1220703125000000 8113541485471771/156250000000000000
4777206509142047/4882812500000000 -8080221300601547/39062500000000000
-4796368363450949/4882812500000000 228679419745623/1220703125000000
-141644129206207/152587890625000 -1815842820137679/4882812500000000
191488262679749/3125000000000000 487363694016599/488281250000000
6941063804521903/9765625000000000 -3434714868157943/4882812500000000
-1795303614924539/4882812500000000 567598323536261/610351562500000
-4825935166471409/4882812500000000 -5944854200645511/39062500000000000
-5674390104781397/9765625000000000 1589575145494971/1953125000000000
-3763669158505003/4882812500000000 -6221463614126339/9765625000000000
-321703466500081/390625000000000 1107866985098293/1953125000000000
-995801697759187/3906250000000000 -4721488119696731/4882812500000000
-232257364236763/244140625000000 -6019255253963423/19531250000000000
7575896833773619/156250000000000000 -2438534850795843/2441406250000000
-2557341261808557/39062500000000000 38978698181451/39062500000000
-4852040456247221/4882812500000000 1751430252116331/15625000000000000
5695561270815247/9765625000000000 396635895535863/488281250000000
-2436102708002499/2441406250000000 -2573368773048369/39062500000000000
431093366099187/610351562500000 276527062328951/390625000000000
-480724964356821/488281250000000 -6845535886433739/39062500000000000
-1279031901255983/4882812500000000 471231740290547/488281250000000
-907124255192407/3906250000000000 4749328019596171/4882812500000000
1562222020957457/2441406250000000 7504587220919921/9765625000000000
-3738766240126627/78125000000000000 -2438608972889647/2441406250000000
-975717742858281/976562500000000 -6497660236689867/156250000000000000
-25011638121859/48828125000000 -8387141943419807/9765625000000000
-5016009351024451/9765625000000000 8378966632649891/9765625000000000
1964114430038203/4882812500000000 -2235179658096411/2441406250000000
5167612256114259/19531250000000000 117720124615839/122070312500000
8403934146272251/9765625000000000 4974064988090153/9765625000000000
-174984378394461/488281250000000 4558498068656677/4882812500000000
-1882241270148723/2441406250000000 -6219494871435119/9765625000000000
-441962102040931/488281250000000 8303067333088339/19531250000000000
-5599755418861949/9765625000000000 1600127131068669/1953125000000000
4880245110808199/4882812500000000 -5066274986126939/156250000000000000
4445577049476989/4882812500000000 4039159619187991/9765625000000000
8983370918678373/39062500000000000 118798425701253/122070312500000
48514213877889/76293945312500 7536947323252783/9765625000000000
2681830073553307/9765625000000000 469508304232231/488281250000000
-6500808352295763/9765625000000000 455465603150993/610351562500000
-7640761250225723/9765625000000000 3040814001121823/4882812500000000
7088560520534117/9765625000000000 6717122999272091/9765625000000000
2286110536173009/4882812500000000 8629149790461401/9765625000000000
-5790567308980171/39062500000000000 4828865414893949/4882812500000000
1531020587556743/1953125000000000 -1515891459104183/2441406250000000
1303249143558061/9765625000000000 -1209784157598217/1220703125000000
6964503657810047/9765625000000000 -1369132870702847/1953125000000000
-19049931608158/19073486328125 7762915009922287/156250000000000000
-466187758174917/610351562500000 -787903557484129/1220703125000000
-7116883149075769/9765625000000000 -6687107437676349/9765625000000000
8281914194442203/9765625000000000 -517468152802873/976562500000000
4812965245054167/4882812500000000 3291743513840481/19531250000000000
-4780881849490039/4882812500000000 -7939880709926901/39062500000000000
2351217291533971/2441406250000000 1051921488210333/3906250000000000
1705440985659201/7812500000000000 953010257801839/976562500000000
200600011172223/781250000000000 4719106766387741/4882812500000000
-4757196051205097/78125000000000000 -487375172749809/488281250000000
-6398865139464957/9765625000000000 7377123868254153/9765625000000000
-351639435345739/1562500000000000 297347226546649/305175781250000
4671169088611869/4882812500000000 -142198356381261/488281250000000
883228227804801/9765625000000000 -607850141952131/610351562500000
-2336905895126633/2441406250000000 -2826546486046751/9765625000000000
2657785029945843/4882812500000000 8192200350272697/9765625000000000
-4681633717882719/4882812500000000 -5548569028843213/19531250000000000
-1142298331501553/1220703125000000 -344344609932349/976562500000000
-574931128211643/1220703125000000 8614667741745783/9765625000000000
2580300595301609/4882812500000000 8290695205600653/9765625000000000
4011485604235369/19531250000000000 -597339241751161/610351562500000
8893983838714227/9765625000000000 4032924883668817/9765625000000000
805781258945783/1220703125000000 -3667877167226873/4882812500000000
557791615907203/1953125000000000 -2339726806584689/2441406250000000
-6096151786054789/9765625000000000 7629178529960221/9765625000000000
7853241250631671/19531250000000000 -8941425060104753/9765625000000000
917206977361391/976562500000000 6705391176831693/19531250000000000
8007151028047851/9765625000000000 -5590435050571399/9765625000000000
-7340667984636607/9765625000000000 -6440654095661103/9765625000000000
1350957453923859/2441406250000000 -2033562990228389/2441406250000000
-1647455286312499/1953125000000000 -5245446466283879/9765625000000000
4718056405027359/9765625000000000 -1710057021266897/1953125000000000
4793956542866431/4882812500000000 -3709099244322027/19531250000000000
1224534154238063/7812500000000000 -241123008098111/244140625000000
-1267590506545247/2441406250000000 8346188385370103/9765625000000000
-4550032366835563/4882812500000000 7086960839067773/19531250000000000
-2375501674725501/2441406250000000 -450746063084147/1953125000000000
-1871147252844101/2441406250000000 6272827031842069/9765625000000000
-4874652577917673/4882812500000000 -2257363485227327/39062500000000000
-5719024237483699/156250000000000000 -975908136000993/976562500000000
-1700744967005161/4882812500000000 -457704320138699/488281250000000
-2131655524094039/2441406250000000 -2380343844185903/4882812500000000
5654054683749421/9765625000000000 -7962355008023457/9765625000000000
-259562363668629/390625000000000 -912239207123453/1220703125000000
2233484211804477/2441406250000000 7887256570074831/19531250000000000
944082848474899/1953125000000000 -8548983625028943/9765625000000000
-3565489266071203/9765625000000000 1136433001862049/1220703125000000
-1548641571841751/9765625000000000 4821025329807667/4882812500000000
-7000640545848481/9765625000000000 -6808704986151719/9765625000000000
4797717744045503/4882812500000000 1815227102736379/9765625000000000
139466729306811/152587890625000 -3961851123205927/9765625000000000
-5062256007224217/9765625000000000 -65243027007619/76293945312500
2370485866446483/4882812500000000 8537600287465727/9765625000000000
8972643991594987/9765625000000000 -7709498411886307/19531250000000000
-7116373726077189/9765625000000000 -6687649559555529/9765625000000000
-8895944495324887/39062500000000000 475450621415177/488281250000000
-114498925510061/390625000000000 -4668342296154919/4882812500000000
-121784834987333/152587890625000 5883656948692681/9765625000000000
-7707907855611001/9765625000000000 2998148934344123/4882812500000000
-6935033310792609/9765625000000000 -3437758885481277/4882812500000000
-8227941206411713/9765625000000000 -105201549692877/195312500000000
-1721366744151109/3906250000000000 8766301099462721/9765625000000000
-517235075430551/4882812500000000 4855339924958973/4882812500000000
-7473852985588059/9765625000000000 -6285614782218321/9765625000000000
-4797844498954623/4882812500000000 -1451109213484021/7812500000000000
-8583461761323397/9765625000000000 -4657425880518557/9765625000000000
-461494988967931/488281250000000 -3190044153866949/9765625000000000
-438729051952143/488281250000000 -4286508979332077/9765625000000000
-1483771007169111/1953125000000000 -3175217378296093/4882812500000000
-3865411153676297/4882812500000000 -2983362955322589/4882812500000000
-7620889008568113/9765625000000000 -610651147216729/976562500000000
-5177461259379567/9765625000000000 -4140088361021077/4882812500000000
417404030845697/15625000000000000 2440534963903407/2441406250000000
-4949724706697617/39062500000000000 -2421727117725323/2441406250000000
6272649727090181/19531250000000000 4624145812767313/4882812500000000
4655084078891507/4882812500000000 -235806028956727/781250000000000
4894487418213983/9765625000000000 -66019750496819/76293945312500
2681675037425677/4882812500000000 -2040249794988609/2441406250000000
1083139623337069/1953125000000000 8126354997756117/9765625000000000
-6026934612909573/19531250000000000 -2322262453319407/2441406250000000
3007440798970309/4882812500000000 -1538682956341303/1953125000000000
4867736576578893/4882812500000000 6134461996395199/78125000000000000
669144146323571/1220703125000000 -1633538279598523/1953125000000000
1183771133266053/1220703125000000 -4767946937443523/19531250000000000
-7077246794852647/9765625000000000 6729042238340679/9765625000000000
5459395643485727/9765625000000000 1012132887524179/1220703125000000
-4462753232872043/9765625000000000 -4343134387257523/4882812500000000
296164073592779/390625000000000 6367629667796869/9765625000000000
4308679406309349/9765625000000000 -547732233189261/610351562500000
8182405384761927/9765625000000000 5330635399278779/9765625000000000
4745974611958007/4882812500000000 -2295720272861047/9765625000000000
-1025114439475101/1220703125000000 -5302114327635963/9765625000000000
5581670190997347/9765625000000000 -4006631675096821/4882812500000000
-3454251660764393/4882812500000000 6902174548434047/9765625000000000
-115424140624163/122070312500000 31783557560687/97656250000000
-2394907508729493/2441406250000000 7587484468225271/39062500000000000
-6157194990323257/9765625000000000 3789999389569977/4882812500000000
-4840621426897551/4882812500000000 -1024802325201509/7812500000000000
519943439460609/7812500000000000 -487198685205797/488281250000000
-4405550809515671/9765625000000000 8715420454883449/9765625000000000
-5651963955810749/19531250000000000 4673897129301709/4882812500000000
-884625406090187/1220703125000000 -6729298377855629/9765625000000000
-2324838264421377/2441406250000000 -372690059506979/1220703125000000
-3160902557364451/4882812500000000 1860816550133511/2441406250000000
-8043583461432107/19531250000000000 -2224755926435653/2441406250000000
-1164256011937687/1220703125000000 -2935292100508899/9765625000000000
2388431581878021/2441406250000000 404660099324233/1953125000000000
3880538992203367/9765625000000000 -4480760224856221/4882812500000000
-1158565265593901/19531250000000000 19039899920189/19073486328125
1113076886339191/1220703125000000 31323411552043/76293945312500
4530909094205043/4882812500000000 3640176199145467/9765625000000000
-8537020656417709/9765625000000000 189680615572693/390625000000000
-2558540671005191/4882812500000000 4158813237567727/4882812500000000
3383571307561397/4882812500000000 7040824700787119/9765625000000000
2292904324640497/2441406250000000 -419241647377729/1220703125000000
3930509068952877/9765625000000000 558732277751329/610351562500000
-7580871772542219/9765625000000000 153903002750307/244140625000000
8054078705300081/39062500000000000 -2388948123045959/2441406250000000
-6497240886750513/9765625000000000 911328807464703/1220703125000000
2365360833417769/2441406250000000 4836743402065541/19531250000000000
8225378354323697/9765625000000000 2632042104946661/4882812500000000
-700720523710539/19531250000000000 4879669028928543/4882812500000000
-1187107743286283/2441406250000000 2133363467243407/2441406250000000
-4363139487944467/19531250000000000 1189854147395871/1220703125000000
-1767468091249419/62500000000000000 305053727801527/305175781250000
6993811400771233/78125000000000000 2431603891959587/2441406250000000
1125611123745263/4882812500000000 -4751300612280513/4882812500000000
-1254602402174911/1953125000000000 748443397673121/976562500000000
1597885911880457/1953125000000000 2807866047195539/4882812500000000
3824792199705763/9765625000000000 -8985454705783951/9765625000000000
-8640077401435857/19531250000000000 -4379060894327811/4882812500000000
-3458882298720333/4882812500000000 430805770362269/610351562500000
1651868659046177/4882812500000000 4594908904800751/4882812500000000
-912282055709511/976562500000000 108889891721899/305175781250000
1377749299318961/2441406250000000 -8062030856567271/9765625000000000
-4973829702569629/19531250000000000 -1180457314475279/1220703125000000
2400550713500731/2441406250000000 355816356633761/1953125000000000
6582458364116611/39062500000000000 -2406493614400641/2441406250000000
5921586531686197/9765625000000000 -485340749292031/610351562500000
-8432596648102817/9765625000000000 -492531678281003/976562500000000
-481942157221687/488281250000000 -3136963166903753/19531250000000000
7034022654387493/19531250000000000 4555163634959119/4882812500000000
817108487440129/4882812500000000 300872375026911/305175781250000
-1219205823404289/1220703125000000 7736622799459179/156250000000000000
-2107743826260889/39062500000000000 -975139836835229/976562500000000
6930884141858901/9765625000000000 -6879700331609931/9765625000000000
2384215956417709/2441406250000000 -4202694379198191/19531250000000000
