1000
6193168042369073/9765625000000000 -58989342319609/76293945312500
316230876283719/781250000000000 -357193783325253/390625000000000
2354887312446043/2441406250000000 -1288363649316009/4882812500000000
1185135668967233/2441406250000000 8537838530851379/9765625000000000
-1048176838176221/1953125000000000 4120089942537587/4882812500000000
22382660498669/30517578125000 -6638277047725593/9765625000000000
-64828649897519/78125000000000 5449715843315981/9765625000000000
-931545948525293/976562500000000 2930809823109687/9765625000000000
6868525884832007/19531250000000000 4570920850413327/4882812500000000
-199763131822397/610351562500000 -2306941597910789/2441406250000000
587108931718497/610351562500000 333659300140467/1220703125000000
-81461596950611/122070312500000 3636519086402019/4882812500000000
4882570302895559/4882812500000000 622499603488497/62500000000000000
2136200158446173/4882812500000000 -2195364821231929/2441406250000000
455582803538441/488281250000000 -7027134633304449/19531250000000000
-7857864881400829/19531250000000000 -2235102367860319/2441406250000000
-7452853309680207/9765625000000000 -9860156118153/15258789062500
-1758059045879123/1953125000000000 4254191041865621/9765625000000000
2366030150159317/2441406250000000 4815746213088173/19531250000000000
-8817465200895941/9765625000000000 8395174583441157/19531250000000000
-1584978342038009/2441406250000000 -7427848283652009/9765625000000000
-4293788071296479/4882812500000000 -4649835226735809/9765625000000000
4851208838999101/4882812500000000 8874314728853731/78125000000000000
-8105565363581259/19531250000000000 -8884952682755433/9765625000000000
-1078095876567089/1953125000000000 2035776320962273/2441406250000000
2363108186551829/2441406250000000 -4906708395269731/19531250000000000
811639081524653/976562500000000 5430619833389811/9765625000000000
-7777088297199811/19531250000000000 -223951244756831/244140625000000
-3303605273930187/9765625000000000 -1148733159796897/1220703125000000
2401543917756153/2441406250000000 7030016350524189/39062500000000000
-2514676478826387/4882812500000000 8370964130133057/9765625000000000
8392302604785679/78125000000000000 2427279228903851/2441406250000000
422947432760113/488281250000000 -2439960004245811/4882812500000000
1464605335433527/2441406250000000 976651894095167/1220703125000000
-4634496351096513/4882812500000000 614921325937471/1953125000000000
4863190216717111/4882812500000000 6996937866160159/78125000000000000
-5486018279866557/9765625000000000 -504940571509391/610351562500000
-2441402845549657/2441406250000000 -8350035593053159/5000000000000000000
4878177944876327/4882812500000000 6806141097355069/156250000000000000
8481629741698253/19531250000000000 -274898633433993/305175781250000
-7910049128643439/78125000000000000 4857720477088527/4882812500000000
1722523068530271/2441406250000000 865069181614991/1220703125000000
-9001553078708673/9765625000000000 1514699907536297/3906250000000000
849261120738841/976562500000000 -4821098061724711/9765625000000000
-487006771080167/488281250000000 -88139946379053/1220703125000000
-6182248831555213/9765625000000000 -1889894689945699/2441406250000000
-7849189774283257/9765625000000000 -5810133520661307/9765625000000000
1121085025325381/1953125000000000 -7996664353991903/9765625000000000
2440031022081737/2441406250000000 -2621870124442321/78125000000000000
193869955155737/195312500000000 -4738831687927011/39062500000000000
-4124251178195051/4882812500000000 2613887933579591/4882812500000000
818982879560991/1220703125000000 3620791432536821/4882812500000000
-2343673754809081/2441406250000000 2735420431474959/9765625000000000
-4501806962782221/4882812500000000 -1512738862858071/3906250000000000
-7428176406081267/9765625000000000 -633952891946733/976562500000000
-1147288196477819/15625000000000000 4869632008465661/4882812500000000
-5177835072463441/19531250000000000 -4708103058324469/4882812500000000
4172146619783619/4882812500000000 5073480262377837/9765625000000000
-6658770499958053/19531250000000000 -4590278463716747/4882812500000000
637908870787413/2441406250000000 18410893060443/19073486328125
-104031801288127/244140625000000 8834661654744977/9765625000000000
1113109169546951/1953125000000000 -4012235382470333/4882812500000000
-8790536184986347/156250000000000000 121876975578891/122070312500000
4645842239969021/4882812500000000 -1502666893052441/4882812500000000
-976352329904411/976562500000000 -6483015961677459/312500000000000000
185379137791667/390625000000000 -8595873497521141/9765625000000000
-599185424271031/610351562500000 -7437740990336247/39062500000000000
-3740199156298421/39062500000000000 -303773651234199/305175781250000
482160448509033/488281250000000 616564987400649/3906250000000000
-1002449009664227/1953125000000000 2095304739414491/2441406250000000
-4858369891861383/4882812500000000 -60994352198977/610351562500000
4934954702142081/9765625000000000 8426959933951909/9765625000000000
-6306180376513773/9765625000000000 3728254306625877/4882812500000000
-1792483851337897/2441406250000000 -1326038580490187/1953125000000000
-4750649099400623/4882812500000000 -902686140634157/3906250000000000
-2310458866276807/9765625000000000 -2372093108784253/2441406250000000
4540670821618351/4882812500000000 -89779819556791/244140625000000
3699589390213667/19531250000000000 2397207897046317/2441406250000000
-1995311299444871/2441406250000000 5627357882127893/9765625000000000
-243855874508647/610351562500000 -8952330178916353/9765625000000000
-5031607391146667/9765625000000000 -8369609232334759/9765625000000000
2759992438064473/9765625000000000 4683745119625211/4882812500000000
1193539150309053/1220703125000000 -8194775533829649/39062500000000000
4655725310555903/4882812500000000 -5887043051047469/19531250000000000
-454661610647489/488281250000000 -3560977332418369/9765625000000000
4788601089571537/4882812500000000 -1909091422756423/9765625000000000
8138160417597289/9765625000000000 107958837819009/195312500000000
4681590404967411/4882812500000000 277457686163013/976562500000000
1054583097376957/1220703125000000 4918345153315463/9765625000000000
-1755265808357597/1953125000000000 8565857853336999/19531250000000000
768360616914533/4882812500000000 4821978833687573/4882812500000000
-1154838143928183/1953125000000000 -1968917106778459/2441406250000000
11905442825413/12207031250000 4314676147453549/19531250000000000
-1284568047203443/3906250000000000 4611242036216343/4882812500000000
4765416006514617/4882812500000000 1702830167464439/7812500000000000
-1292271560256997/7812500000000000 -6019438242739/6103515625000
184457492992691/195312500000000 -6420596494953837/19531250000000000
8146230645812887/9765625000000000 -16830484661003/30517578125000
-42767123854147/61035156250000 3483688542409923/4882812500000000
-4348052256188069/4882812500000000 -8887113806057931/19531250000000000
3344504857671917/625000000000000000 1220685647198717/1220703125000000
170172924344601/488281250000000 -2288338670966173/2441406250000000
-2441396444731783/2441406250000000 -1771349634747773/625000000000000000
608946746932147/610351562500000 1324386117744323/19531250000000000
