1000
-247872287576993/488281250000000 -4206874233357957/4882812500000000
-6506050515943331/19531250000000000 2301972772314317/2441406250000000
208494406642327/390625000000000 4129126213253689/4882812500000000
7116628710418977/9765625000000000 -6687378218604457/9765625000000000
-2831210588806689/4882812500000000 1591281471618903/1953125000000000
-2311250215020791/2441406250000000 6292023756371739/19531250000000000
4859055056089871/4882812500000000 -1539468989530983/15625000000000000
-4699127614947499/4882812500000000 -663335806472499/2441406250000000
2359081491276253/2441406250000000 5029188372256489/19531250000000000
-1752644398577099/2441406250000000 -849809109399779/1220703125000000
8696261722444549/9765625000000000 -555406153405027/1220703125000000
4870112353967139/4882812500000000 5631081058960559/78125000000000000
5247804294033149/9765625000000000 2058943626780373/2441406250000000
-400170121439743/610351562500000 3686888368285367/4882812500000000
1085588147449669/1220703125000000 4465795291333889/9765625000000000
836238852665299/1220703125000000 7114248016718179/9765625000000000
-62641105851613/78125000000000 1458945829121677/2441406250000000
-7603858038874323/9765625000000000 6127705489436591/9765625000000000
4170396751667953/4882812500000000 5079231770192667/9765625000000000
6056029607903387/9765625000000000 -957633288934419/1220703125000000
1543114681489721/1953125000000000 -239457248409471/390625000000000
-1231295454848697/9765625000000000 -48438451447041/48828125000000
171557424403169/244140625000000 1737028926285961/2441406250000000
-3050327537825749/4882812500000000 -7625577964230163/9765625000000000
-1094574482341599/3906250000000000 146474977641831/152587890625000
4411191842769817/4882812500000000 2093619936004927/4882812500000000
-1225610709233967/7812500000000000 -1205588332931787/1220703125000000
4056279987753757/4882812500000000 169885652847371/305175781250000
-4919902900047239/9765625000000000 8435756462507187/9765625000000000
-6861534761168399/625000000000000000 -244125911850631/244140625000000
434964539809721/1220703125000000 912463730695881/976562500000000
934416106993773/976562500000000 2837972082259649/9765625000000000
8882184304527097/9765625000000000 -4058846341146397/9765625000000000
-8518879696188089/9765625000000000 -2387264143454769/4882812500000000
4258381776775519/9765625000000000 -8788265829152597/9765625000000000
-4853795324111309/4882812500000000 4252275526662427/39062500000000000
5578287817551041/39062500000000000 -4832768376010279/4882812500000000
4370812304103629/19531250000000000 -37179504374319/38146972656250
328481753242661/488281250000000 3612731887203783/4882812500000000
7743652781024723/9765625000000000 2975032489215583/4882812500000000
361029553060589/488281250000000 6574990218043943/9765625000000000
243837283129377/244140625000000 -973321345413617/19531250000000000
192380065256267/195312500000000 3371769784911851/19531250000000000
1290690339006661/9765625000000000 967995609956057/976562500000000
2335610406646893/2441406250000000 5687254555382157/19531250000000000
