1000
3902734255292939/9765625000000000 -4475938364555193/4882812500000000
-1142819357089059/1220703125000000 6864727913800569/19531250000000000
-3549888377197563/78125000000000000 -2438884606242741/2441406250000000
2853840500556793/4882812500000000 -7924002096803863/9765625000000000
-6329635188572839/9765625000000000 -3718304385745117/4882812500000000
4876685876941833/4882812500000000 1564963823471053/31250000000000000
-2810805480777351/4882812500000000 1996323524593913/2441406250000000
1150567565817971/4882812500000000 -2372659488140047/2441406250000000
8445465720391663/19531250000000000 -1100681314800401/1220703125000000
-321112690856153/390625000000000 -5560717714250151/9765625000000000
-1590883268765951/9765625000000000 4817585548430499/4882812500000000
-3450465932466797/4882812500000000 -86371808041753/122070312500000
5812879727765509/19531250000000000 -1165386463248473/1220703125000000
-35861374779621/48828125000000 165691550020753/244140625000000
-3767045296247317/9765625000000000 2252454236170043/2441406250000000
-4548531274790419/4882812500000000 -7102361469156233/19531250000000000
4544410479302297/4882812500000000 -3572221328956939/9765625000000000
90873164030817/97656250000000 3576047011842443/9765625000000000
4638636742909201/4882812500000000 6099058389606013/19531250000000000
-2437499167239081/2441406250000000 4418119751862523/78125000000000000
605460388672209/610351562500000 -4935370112715417/39062500000000000
6250298527730791/156250000000000000 975780862556253/976562500000000
2434483323344803/2441406250000000 2939623960500217/39062500000000000
-3297474870001673/4882812500000000 -7202365553584099/9765625000000000
-571081753278687/976562500000000 1980435475278087/2441406250000000
2356121839088491/2441406250000000 5117213972680553/19531250000000000
459225799401409/976562500000000 4309251621715733/4882812500000000
740376328405441/1220703125000000 7764365830522493/9765625000000000
-2015810176366371/2441406250000000 -5509226893707453/9765625000000000
-5176827278331743/156250000000000000 -4880131810076549/4882812500000000
976926222227329/1953125000000000 -8456229097460699/9765625000000000
4546719252449983/4882812500000000 -890112626238517/2441406250000000
4557642283953577/4882812500000000 876035775764133/2441406250000000
8433144968300337/9765625000000000 2462188944021951/4882812500000000
-238089839605923/488281250000000 -8526002753412371/9765625000000000
8725955155582091/9765625000000000 1753859208187263/3906250000000000
-5524711166691213/9765625000000000 -8052639204960223/9765625000000000
-2440573370101857/2441406250000000 4081023966240281/156250000000000000
2313413164168691/2441406250000000 -1248188713311643/3906250000000000
3442417030844843/9765625000000000 142793349224013/152587890625000
-60731832391079/76293945312500 29553940385587/48828125000000
4426949352392731/4882812500000000 -8240366342832897/19531250000000000
-62135907332879/305175781250000 -956106164382507/976562500000000
-4513220708588321/9765625000000000 -8660154183165247/9765625000000000
-304301212950637/305175781250000 591038116141329/7812500000000000
6613191243430623/9765625000000000 3592809945517489/4882812500000000
3830126011278491/19531250000000000 -598500617836777/610351562500000
8003553245997513/19531250000000000 8908042181099373/9765625000000000
-1153127809373773/1220703125000000 6408242185358167/19531250000000000
-8274730600116681/19531250000000000 -8845882658870067/9765625000000000
6550693891266399/39062500000000000 -2406832166420441/2441406250000000
288241679260187/390625000000000 -823866556638357/1220703125000000
-1466078287220509/1953125000000000 -201635870934221/305175781250000
-6052326754727859/19531250000000000 -928492147808081/976562500000000
