500
2593550778059351/4882812500000000 -827414098786913/976562500000000
-8398815309928497/9765625000000000 -2491351692873553/4882812500000000
4650462370122503/4882812500000000 2976613951610687/9765625000000000
2266741721770157/39062500000000000 1218646144700321/1220703125000000
4357383146385353/4882812500000000 -8813689375741019/19531250000000000
6402248035939601/9765625000000000 -7374188207995001/9765625000000000
-2378083213101481/2441406250000000 4419482026511249/19531250000000000
316893825777627/488281250000000 3714793160938863/4882812500000000
5496716659235707/19531250000000000 585681888020831/610351562500000
-4237037635615087/4882812500000000 -4853604839513641/9765625000000000
7382953570508513/39062500000000000 -2397403301316437/2441406250000000
5390126211178543/156250000000000000 609988286133251/610351562500000
6166550095701737/9765625000000000 -7572390082254473/9765625000000000
-57251941763603/76293945312500 258191262106113/390625000000000
-4832205099804267/4882812500000000 -5609430822217199/39062500000000000
2229065469924399/2441406250000000 -1593371556581903/3906250000000000
487952647577891/488281250000000 2865710431323959/78125000000000000
483676244848337/488281250000000 -66901937722117/488281250000000
-7037284581934341/19531250000000000 91096974740571/97656250000000
1299492172034017/62500000000000000 4881756960969009/4882812500000000
-1169416248715179/1220703125000000 350116775698743/1220703125000000
3573602236214/3814697265625 -1708348002275781/4882812500000000
-818250509227149/1220703125000000 3623439743744669/4882812500000000
549971960366479/610351562500000 -4235012089729133/9765625000000000
7620828559843711/78125000000000000 -1214881540515663/1220703125000000
-29787610831187/30517578125000 -4246283794532577/19531250000000000
905690049878981/1953125000000000 8652200296998459/9765625000000000
-1053943920253587/1220703125000000 -985421194618769/1953125000000000
-157719990556349/244140625000000 -7454292653691113/9765625000000000
1345313402212923/4882812500000000 -4693824640949269/4882812500000000
-4443693726282869/9765625000000000 -1739206919347083/1953125000000000
-2393043805524801/4882812500000000 -4256195396712377/4882812500000000
-7906846926931087/9765625000000000 -5731422451251123/9765625000000000
5477164195533971/39062500000000000 966915061750889/976562500000000
-8806435585651609/9765625000000000 1055169533664911/2441406250000000
-1202574844365571/1220703125000000 -6707024660600377/39062500000000000
3838398047897211/4882812500000000 150901941141053/244140625000000
8242837785780599/9765625000000000 1309175715811589/2441406250000000
-4877432366325507/4882812500000000 3666459334509773/78125000000000000
5064073389326269/19531250000000000 -23579151519073/24414062500000
4745772648961701/4882812500000000 -574347428505449/2441406250000000
-1349325494242921/1953125000000000 -7060485068695877/9765625000000000
-1272802735577627/1953125000000000 740721010558481/976562500000000
-4360752087818933/4882812500000000 8786989599392107/19531250000000000
2379287630609109/2441406250000000 4377797425150183/19531250000000000
-975054374114933/976562500000000 2170081630017183/39062500000000000
-2416284998038521/2441406250000000 5589276264689389/39062500000000000
-952080659177911/976562500000000 8691764822000607/39062500000000000
-2127594582269397/4882812500000000 -8789812103487573/9765625000000000
5917265640261979/9765625000000000 485546562935137/610351562500000
-2667693102895951/4882812500000000 -8179308386145523/9765625000000000
-2969643275893829/4882812500000000 1937980696762407/2441406250000000
-239061963556093/976562500000000 4734246756314449/4882812500000000
23101684426919/38146972656250 7771207528360161/9765625000000000
8128513003715033/9765625000000000 5412458590055041/9765625000000000
3696620688551807/4882812500000000 -6380236169649839/9765625000000000
-7319666665029507/9765625000000000 323225585131657/488281250000000
1027972183491279/1953125000000000 4151784597911761/4882812500000000
731821529082847/976562500000000 -3233077349743947/4882812500000000
-5641093105118143/39062500000000000 -4831629148818149/4882812500000000
-841181800754117/1220703125000000 -1769213720797831/2441406250000000
8043878950591821/9765625000000000 -692182272202051/1220703125000000
8078331870114761/9765625000000000 2743537216665429/4882812500000000
2427946813824299/2441406250000000 -2048042917979931/19531250000000000
3259053008085633/9765625000000000 4602879672854619/4882812500000000
-8113366898041607/9765625000000000 2717568270457419/4882812500000000
-630182261700493/2441406250000000 4717344504942209/4882812500000000
5742683982879887/9765625000000000 -315946862148431/390625000000000
3523217320360997/9765625000000000 -4553964518804831/4882812500000000
8235776488260677/9765625000000000 -1311950296220231/2441406250000000
2136562447596081/4882812500000000 -2195276680607623/2441406250000000
1955606340436333/9765625000000000 4783906235543037/4882812500000000
1414894039092327/3906250000000000 -4551247068222243/4882812500000000
-4260325133923413/19531250000000000 -1191308623157089/1220703125000000
-17468721264881/19073486328125 1568314193800647/3906250000000000
4529415511169801/9765625000000000 -432584751140743/488281250000000
2813614281751391/19531250000000000 -4831881758409609/4882812500000000
-8531962297596417/625000000000000000 488235751392289/488281250000000
-2241003795477993/4882812500000000 1735269887887621/1953125000000000
4871841831362491/9765625000000000 1692720754416529/1953125000000000
-8909240829166507/9765625000000000 -7998214672922321/19531250000000000
3585516005132373/19531250000000000 4799829434075233/4882812500000000
-1642596186502541/1953125000000000 -330212856557657/610351562500000
242428512467267/244140625000000 4618047707467843/39062500000000000
2576787254131443/19531250000000000 968026205752517/976562500000000
-4825215410303981/4882812500000000 1495532218738511/9765625000000000
-305607614135237/610351562500000 1056660808450393/1220703125000000
544649200769073/610351562500000 8815188518605183/19531250000000000
1000739001494539/1220703125000000 279610463401491/488281250000000
4260803877381803/4882812500000000 4769657525921309/9765625000000000
4587789817313813/4882812500000000 -3343077924492899/9765625000000000
-743554001407999/1220703125000000 -242028351435183/305175781250000
-1434080934370677/1953125000000000 -6629685398455053/9765625000000000
2377658194223697/2441406250000000 8868186577811301/39062500000000000
-606430843948987/610351562500000 8840956713835991/78125000000000000
-2032325168983863/2441406250000000 1082255093050809/1953125000000000
-1330766633347501/2500000000000000000 -4882811808226579/4882812500000000
-8211258821594321/9765625000000000 1057216348822027/1953125000000000
-1299275145655479/15625000000000000 486590205834383/488281250000000
8978649170328981/78125000000000000 1212614713894949/1220703125000000
455057986912021/488281250000000 -1770333517988669/4882812500000000
-3055924366916711/4882812500000000 -7616609264978991/9765625000000000
1700643262373399/4882812500000000 -4577080991669277/4882812500000000
-1181281194044337/1220703125000000 4923500802821051/19531250000000000
2128331096607357/4882812500000000 878909885104733/976562500000000
6932828830115273/9765625000000000 -6877740621232199/9765625000000000
1213953410200567/1220703125000000 -8204300077669529/78125000000000000
-690039563505421/976562500000000 3455140073873627/4882812500000000
-42331749970049/48828125000000 608383480775531/1220703125000000
192436280561317/610351562500000 -4633770354395513/4882812500000000
869304589796967/976562500000000 8899075155636723/19531250000000000
-6361624936059759/19531250000000000 4616542637186693/4882812500000000
-8818834445038599/9765625000000000 -8389419687112033/19531250000000000
-4283434286047381/4882812500000000 4687877399109329/9765625000000000
3597787093574491/4882812500000000 1650589738507503/2441406250000000
2347058065642039/2441406250000000 -5377183881810031/19531250000000000
586140635984421/1953125000000000 4657746518216171/4882812500000000
-458115184917019/488281250000000 3379293207166729/9765625000000000
4009124597512369/4882812500000000 -2787252746303703/4882812500000000
-1410970660116839/3906250000000000 2276574906348269/2441406250000000
305168780225557/305175781250000 2116743784269853/312500000000000000
3984956939450007/9765625000000000 -4457789525968959/4882812500000000
353150695409977/610351562500000 -1991235259541739/2441406250000000
6620448042341913/9765625000000000 -3589467208349873/4882812500000000
2544115408857153/9765625000000000 -4714204822317349/4882812500000000
4855326595537019/4882812500000000 -4138881478483983/39062500000000000
-3208337067209101/4882812500000000 3680819361681357/4882812500000000
733201011003739/1220703125000000 487988831031987/610351562500000
8003012985289991/9765625000000000 -1119271455865909/1953125000000000
-4818914889542441/4882812500000000 1259757129611173/7812500000000000
4880013885922391/4882812500000000 -3305896753433/97656250000000
-2312364581999447/2441406250000000 -1253152969386091/3906250000000000
938041999610623/976562500000000 -5431446340442077/19531250000000000
592483121681081/610351562500000 -4691333189840003/19531250000000000
5178818624492429/78125000000000000 -2436036311869887/2441406250000000
-618259700033547/1220703125000000 1684087266298851/1953125000000000
3284448869479051/9765625000000000 4598364580598269/4882812500000000
1472076434675781/7812500000000000 -4795348788982609/4882812500000000
4246725720866401/9765625000000000 2198476067250289/2441406250000000
8545626054485833/9765625000000000 -2363244960722327/4882812500000000
5031081582271351/9765625000000000 -2092481328368831/2441406250000000
-8908315600101763/9765625000000000 -1000291982673327/2441406250000000
-4214062043556927/4882812500000000 61662078111313/122070312500000
-2266171842928017/2441406250000000 -363302552891509/976562500000000
-4247595970894377/9765625000000000 2198370989344537/2441406250000000
6320930401884929/19531250000000000 -36094022961769/38146972656250
213479810539741/244140625000000 4738103463168683/9765625000000000
-890116312539419/1220703125000000 1670699338044991/2441406250000000
-304442150956661/305175781250000 2706932737421581/39062500000000000
-8770990071807981/9765625000000000 4293851977056363/9765625000000000
-727192926901079/976562500000000 -1303633021170133/1953125000000000
-6077162510278077/9765625000000000 -3822156703495281/4882812500000000
-6587218345442921/9765625000000000 -3604718647484337/4882812500000000
4881444750849239/4882812500000000 1479220111933039/62500000000000000
-4882798798691359/4882812500000000 -2961220226057021/1250000000000000000
-3894665471345703/4882812500000000 -5890140499670209/9765625000000000
8626379539592839/19531250000000000 350459870799151/390625000000000
-2251169704445841/2441406250000000 -1889655459944259/4882812500000000
2405446676109681/2441406250000000 -6679703292705409/39062500000000000
4926675992409423/9765625000000000 -4215901306554793/4882812500000000
-6411371652603363/19531250000000000 -230611971208773/244140625000000
331476546961249/390625000000000 2583335702138773/4882812500000000
4781537781222809/4882812500000000 316582447627879/1562500000000000
-557965813757627/1220703125000000 -8685768663970017/9765625000000000
7097616428529983/9765625000000000 3353776702245033/4882812500000000
3077679051938051/4882812500000000 -236921578232337/305175781250000
-366532269035073/1953125000000000 -2398030233787267/2441406250000000
1619126330779281/7812500000000000 4776798833905451/4882812500000000
8972969891257703/9765625000000000 -963497631393291/2441406250000000
968330214432673/976562500000000 5061369336141899/39062500000000000
-2359549287633303/4882812500000000 -8549709952831247/9765625000000000
8128859575532901/9765625000000000 5411938067078379/9765625000000000
4946510847496673/9765625000000000 -842018183154157/976562500000000
-3630926232210251/4882812500000000 -3264694871868383/4882812500000000
4515084529389241/4882812500000000 1858996934539211/4882812500000000
