500
-4865770734479051/4882812500000000 -6521507941321751/78125000000000000
-6145364615303751/9765625000000000 1517918645851583/1953125000000000
342536066009849/488281250000000 173988234217187/244140625000000
1262515189007619/7812500000000000 -2409316464259857/2441406250000000
-610547933112519/2441406250000000 4727661451039443/4882812500000000
-5586800111500257/19531250000000000 18715164735493/19531250000000
1519692022679073/2441406250000000 -1528607341862709/1953125000000000
1543398081238023/9765625000000000 -964289137154701/976562500000000
6256251876361617/9765625000000000 -7498449446395351/9765625000000000
689724554823497/1220703125000000 -8057378860580583/9765625000000000
6681404047224131/9765625000000000 -7122237822367489/9765625000000000
1670089322799179/3906250000000000 8828076912744141/9765625000000000
-5197896281412057/9765625000000000 1653472780402601/1953125000000000
-8437132020889283/78125000000000000 -970850982085279/976562500000000
965428786001673/976562500000000 -5881710712449017/39062500000000000
4170623288242363/4882812500000000 -2539243843691801/4882812500000000
-600824625443957/610351562500000 26854700829557/152587890625000
5225263097746449/9765625000000000 1650018875043/1953125000000
-8747256869788493/9765625000000000 -8683991914911717/19531250000000000
-5858552475698737/9765625000000000 3906558412788333/4882812500000000
-5268100207698607/9765625000000000 -1027850851308439/1220703125000000
-8241609335396061/9765625000000000 5238636005997887/9765625000000000
-3808927207150587/39062500000000000 -4859544377724347/4882812500000000
1235069670963429/1953125000000000 7565216740932291/9765625000000000
2457479334764907/9765625000000000 -4725680558391257/4882812500000000
3488391465555209/4882812500000000 -1708287365550497/2441406250000000
-4128186272006251/4882812500000000 521533738650737/976562500000000
3826725416462527/78125000000000000 -2438475725700597/2441406250000000
-3192178973667677/1250000000000000000 -610349572261091/610351562500000
-4764473268657263/9765625000000000 -1704901476483323/1953125000000000
2055236196073183/2441406250000000 2635502726911657/4882812500000000
3547804498271213/9765625000000000 -2274594948593479/2441406250000000
6824211566679549/9765625000000000 -6985525616145291/9765625000000000
-939294888895231/976562500000000 -2672067141775177/9765625000000000
-133840213560733/152587890625000 -586234716100879/1220703125000000
-4593363805456153/4882812500000000 -6624641105305693/19531250000000000
2105658261517549/2441406250000000 -4942335906418269/9765625000000000
-853937412099653/1220703125000000 -6978398741723207/9765625000000000
-8584904076661107/9765625000000000 4654766764850041/9765625000000000
2789172450135153/4882812500000000 -4007789285075167/4882812500000000
8353999242137787/156250000000000000 -4875828575085017/4882812500000000
-4796205563562083/4882812500000000 3662283663972233/19531250000000000
23663708266951/30517578125000 -1233310863210479/1953125000000000
579178198260107/610351562500000 -6162110350725669/19531250000000000
473434069518301/610351562500000 -1540852811480873/2441406250000000
-2347356631826579/2441406250000000 -5368836421028847/19531250000000000
8402985405370223/9765625000000000 995133517026937/1953125000000000
-2939749503191711/4882812500000000 3898683209577349/4882812500000000
1207903808328831/1220703125000000 -2820927924925569/19531250000000000
-4746179981241183/4882812500000000 -286752669540941/1220703125000000
293300889544343/305175781250000 -1079067000681017/3906250000000000
-8412526021141193/9765625000000000 1239879973632713/2441406250000000
-4720131613663741/4882812500000000 -199981788601159/781250000000000
-4234403459197289/4882812500000000 -4862791484279079/9765625000000000
-3976707872362497/4882812500000000 -5666622418353421/9765625000000000
-8896773371629267/9765625000000000 805353468099403/1953125000000000
-3564453891681263/19531250000000000 -600101224385001/610351562500000
1169230774284091/19531250000000000 4874055203055813/4882812500000000
4911517161203521/9765625000000000 8440641611621021/9765625000000000
-5005854331450347/9765625000000000 -4192518755262903/4882812500000000
-8807692121827681/9765625000000000 -2109027686382969/4882812500000000
1434609902111097/4882812500000000 2333653377159997/2441406250000000
3059961878116681/4882812500000000 7610122525854333/9765625000000000
-585128141442981/610351562500000 -5556778387535209/19531250000000000
1868500516512243/2441406250000000 1257087503037409/1953125000000000
-10722832860827/61035156250000 -2403434593709821/2441406250000000
305008148291847/305175781250000 -129455365971479/3906250000000000
8384408770205923/9765625000000000 -5006907350323051/9765625000000000
-487532857907367/488281250000000 -864765031515063/15625000000000000
3099477836996757/4882812500000000 7545884984048499/9765625000000000
-7129926487226369/9765625000000000 6673198627897483/9765625000000000
-994755022750511/156250000000000000 2441356772620883/2441406250000000
-4753903658428707/4882812500000000 -178330599346497/781250000000000
7297859701495989/39062500000000000 4796841653022983/4882812500000000
-18790807598541/19073486328125 3350128407081873/19531250000000000
-4669836484741811/4882812500000000 -5705415134316513/19531250000000000
-456073149362511/610351562500000 -3244947455000179/4882812500000000
4839277616755773/4882812500000000 2602306847772791/19531250000000000
-6861996603219549/39062500000000000 2403441468813687/2441406250000000
-608344005782609/610351562500000 -633127966332217/7812500000000000
-138677351531701/152587890625000 8147535867429809/19531250000000000
544770476209377/1220703125000000 -4369606385266983/4882812500000000
3627093766900933/9765625000000000 566691406483769/610351562500000
-8545554228508873/19531250000000000 8781275953557577/9765625000000000
5121715330634971/39062500000000000 4840659398396079/4882812500000000
-6841810874763923/9765625000000000 -1742072321880379/2441406250000000
3757519536061233/4882812500000000 124726291350457/195312500000000
7678352024832927/9765625000000000 -6034098260997171/9765625000000000
-4266983332761471/9765625000000000 -8784092718007979/9765625000000000
-4882795730626923/4882812500000000 -163801559361111/62500000000000000
-7902326766038711/19531250000000000 -2232651724425913/2441406250000000
-8920963852485071/9765625000000000 -993221890593931/2441406250000000
-2099346495622637/4882812500000000 4408469371729059/4882812500000000
-656149956737167/976562500000000 1808213121219509/2441406250000000
539669627253231/610351562500000 285106512143357/610351562500000
2810539326547641/9765625000000000 -233811222376293/244140625000000
-4982933895151041/19531250000000000 -4721229291449519/4882812500000000
-7063296148850749/19531250000000000 4552331642110243/4882812500000000
-4839557240051993/4882812500000000 1037589366689189/7812500000000000
-529798818109487/976562500000000 8203581710058361/9765625000000000
692817833373793/1220703125000000 -8040376385792929/9765625000000000
545914536701539/976562500000000 -2024307960489513/2441406250000000
610015648901991/610351562500000 323950787719063/9765625000000000
-664480207514679/3906250000000000 120291212062779/122070312500000
4810209455519773/4882812500000000 -838893857519777/4882812500000000
131849336763079/152587890625000 2457720155505037/4882812500000000
-6539598082804831/9765625000000000 -7252660791461323/9765625000000000
-2142203972878077/19531250000000000 606669224173811/610351562500000
475284668005689/488281250000000 -8952519541772633/39062500000000000
2372384939924347/2441406250000000 -4611319459654667/19531250000000000
1818635306464839/2441406250000000 260609997026661/390625000000000
1471771512533077/312500000000000000 -2441379173457539/2441406250000000
4357309271795937/9765625000000000 8739638868428499/9765625000000000
2003706117429391/2441406250000000 1394857079601741/2441406250000000
2784076810350233/4882812500000000 1002832682462107/1220703125000000
831008063416273/2441406250000000 4591248229436609/4882812500000000
-610351263677523/610351562500000 -1236919846985427/1250000000000000000
-4586153452138209/4882812500000000 -1340818716718299/3906250000000000
-2361588979928583/4882812500000000 8547457025346457/9765625000000000
4784435231894953/4882812500000000 390084590202389/1953125000000000
-2057184035309311/2441406250000000 -2629416910577371/4882812500000000
-4567202657247013/4882812500000000 1726996756740461/4882812500000000
16982602195723/24414062500000 27405629554681/38146972656250
7022731478396439/39062500000000000 2401627173683777/2441406250000000
-4012882088940391/19531250000000000 -4778640653357667/4882812500000000
-225329618548343/610351562500000 -4537880335847033/4882812500000000
-945094926466647/3906250000000000 -94754896451539/97656250000000
2585142171730677/4882812500000000 -828466000801381/976562500000000
216773260215243/244140625000000 8984964660959389/19531250000000000
7102148863116187/19531250000000000 4548552022956299/4882812500000000
8039963527392863/9765625000000000 -5543141538768201/9765625000000000
-4488475997275807/4882812500000000 -768941207847279/1953125000000000
450332617617513/610351562500000 823964958856747/1220703125000000
-6185191754382093/39062500000000000 4821213393060927/4882812500000000
-6141641792483369/19531250000000000 4635123802657013/4882812500000000
-3895263059549947/4882812500000000 -1177711924508661/1953125000000000
-490397250570633/976562500000000 263907101656229/305175781250000
-2368675978325631/2441406250000000 946354470238281/3906250000000000
-7679968327320057/156250000000000000 4876910741980569/4882812500000000
1213162806410969/1220703125000000 8670080856473509/78125000000000000
-2288118981475813/2441406250000000 -3405820909323687/9765625000000000
-2183000439648061/4882812500000000 4367650053593193/4882812500000000
302945415998603/976562500000000 2320962073327141/2441406250000000
2421656130898989/2441406250000000 -4958607836067577/39062500000000000
-820650247905523/976562500000000 -5293462827099609/9765625000000000
-8383443252573289/9765625000000000 78258184712459/152587890625000
-61959038856649/78125000000000 594846767159443/976562500000000
2431068402783501/2441406250000000 1795476957722173/19531250000000000
7360004402263727/9765625000000000 -6418548655208867/9765625000000000
690357927021159/1953125000000000 -4567619181685389/4882812500000000
-6628500450752163/9765625000000000 -1792875020306131/2441406250000000
-4181904548385597/4882812500000000 1260310701607753/2441406250000000
633236867208689/2441406250000000 4715708026392977/4882812500000000
7530458577798977/19531250000000000 -563161000661939/610351562500000
88507127911089/152587890625000 1590991737929557/1953125000000000
7455723498705107/9765625000000000 -630710858884493/976562500000000
-292079985947339/305175781250000 5660125868933761/19531250000000000
7628332755339899/19531250000000000 -449498516360391/488281250000000
6987898825670633/9765625000000000 1705445353177873/2441406250000000
193769673224031/4882812500000000 609870775552787/610351562500000
2408809269071333/2441406250000000 5089547562787/31250000000000
2352090825682379/9765625000000000 4739069011640519/4882812500000000
3791341161845717/4882812500000000 6153889860779317/9765625000000000
-1118110794829753/62500000000000000 4882031080129371/4882812500000000
2416237471042617/2441406250000000 2797266792494597/19531250000000000
-7219765866597537/39062500000000000 4798687787890419/4882812500000000
8934007052708041/9765625000000000 7886938473904301/19531250000000000
4778112675415127/4882812500000000 -1609171450857701/7812500000000000
-1069820299827441/1220703125000000 4703024697953537/9765625000000000
6849495185234863/19531250000000000 -1143176328587139/1220703125000000
