500
154591844782117/305175781250000 8419930275491093/9765625000000000
2537516178050861/9765625000000000 4715093935616637/4882812500000000
479129738029533/488281250000000 -7527346725029169/39062500000000000
4343346511217317/19531250000000000 -2380273972039499/2441406250000000
-6839047534652047/39062500000000000 2403696969537213/2441406250000000
-3018161375167391/4882812500000000 -3838301684808521/4882812500000000
-6977228707391577/39062500000000000 960858075437897/976562500000000
7475124145508269/9765625000000000 -62841030107617/97656250000000
-896775494877907/976562500000000 -773221903964793/1953125000000000
232612881447609/488281250000000 4293132032516623/4882812500000000
3461001754579573/39062500000000000 -4863609084801373/4882812500000000
5706998667080963/19531250000000000 -116742888698111/122070312500000
-8517424604042077/156250000000000000 4875552450479577/4882812500000000
-1381714900352421/19531250000000000 2435289351701367/2441406250000000
4872817330258649/4882812500000000 -4996233489172593/78125000000000000
-4580803343073177/9765625000000000 -1724919387945009/1953125000000000
7105836306926769/9765625000000000 -3349422413632921/4882812500000000
-4688113316825409/4882812500000000 5460331768323997/19531250000000000
-7375123630702179/9765625000000000 800146305688873/1220703125000000
6783808627381517/9765625000000000 3512384238223699/4882812500000000
8835910993106339/156250000000000000 -2437499457978801/2441406250000000
-902441364426041/976562500000000 -7463883712360897/19531250000000000
4583263188697807/4882812500000000 3367822117205039/9765625000000000
2393784355774899/2441406250000000 1919420477483407/9765625000000000
5295814631617717/19531250000000000 4699894107517501/4882812500000000
4570957034887257/4882812500000000 -21462939335089/61035156250000
-2343693593109957/2441406250000000 2735148461504503/9765625000000000
-534167679672317/610351562500000 4724578656235833/9765625000000000
-286036386439437/488281250000000 -7914588169557063/9765625000000000
4823589083225727/4882812500000000 -6065489349251039/39062500000000000
-4820492519415319/4882812500000000 -1555261753425697/9765625000000000
4149770902449879/9765625000000000 4420034872537923/4882812500000000
6538400551144769/9765625000000000 7253740405708959/9765625000000000
4148861388328751/19531250000000000 4771377393786141/4882812500000000
-714730377273853/976562500000000 -3327291707260673/4882812500000000
-8685215626997523/312500000000000000 610115788928573/610351562500000
-772586271439421/2441406250000000 926375727723683/976562500000000
7105417428922801/19531250000000000 -2274116482708381/2441406250000000
-5912483995092191/9765625000000000 -3886192373275019/4882812500000000
5513363716343227/9765625000000000 32241650620757/39062500000000
4426505354396973/39062500000000000 4851360886064431/4882812500000000
24496303432013/30517578125000 -5824120374863487/9765625000000000
994948483551631/1220703125000000 -707243688174787/1220703125000000
1673610647692641/7812500000000000 298091114349483/305175781250000
8617341314967689/9765625000000000 -287152373409299/610351562500000
5441351160970717/625000000000000000 610328430575363/610351562500000
14956299740229/19073486328125 -3030189921763163/4882812500000000
1762990726061553/1953125000000000 -21014295215489/48828125000000
-4776401936112861/4882812500000000 2027651306170337/9765625000000000
-6735912018788147/9765625000000000 -7070708657254263/9765625000000000
4671470695914173/4882812500000000 -710496208183303/2441406250000000
2297357274476947/2441406250000000 6609636751032737/19531250000000000
-4722389521006087/4882812500000000 -2482655934315627/9765625000000000
-4852720789539659/4882812500000000 1732021539415897/15625000000000000
-4836080344629481/4882812500000000 1078291757706747/7812500000000000
5891899571251271/9765625000000000 7788000454732529/9765625000000000
-928933259470439/976562500000000 -6025190979740847/19531250000000000
-6984770607478599/156250000000000000 -195117254328811/195312500000000
-941511863424363/976562500000000 -5185739192725891/19531250000000000
-3946154113763613/4882812500000000 5751426125956157/9765625000000000
7007100891116389/9765625000000000 -1700514053572127/2441406250000000
-2157771831946219/2441406250000000 -456856248515617/976562500000000
2349989738230757/9765625000000000 -1184832397633437/1220703125000000
-687667061836597/976562500000000 6933890166935671/9765625000000000
1922777513756613/19531250000000000 -4859093621725481/4882812500000000
8759216239939921/39062500000000000 -2379235562889611/2441406250000000
30098844755833/97656250000000 4645105679214081/4882812500000000
-7878955371408969/9765625000000000 -5769704836122101/9765625000000000
8841041904440967/9765625000000000 8295398648538559/19531250000000000
4850291069115777/4882812500000000 9001823175505479/78125000000000000
-3579320938478237/4882812500000000 -1660596243034977/2441406250000000
2394960119095877/2441406250000000 -7583232121114809/39062500000000000
-4384658686158701/4882812500000000 8594534184979941/19531250000000000
2589326952926773/9765625000000000 588505846307887/610351562500000
3987939419901339/39062500000000000 485729999175403/488281250000000
4875260511026359/4882812500000000 542928576456437/9765625000000000
-2214802853999779/2441406250000000 8217494685670549/19531250000000000
2353058811350757/2441406250000000 5084603486864/19073486328125
-5053184389816053/9765625000000000 -261143741778849/305175781250000
6764276853547279/9765625000000000 -440223621659659/610351562500000
-1678994253558413/3906250000000000 8817513594764763/9765625000000000
2028096367070779/4882812500000000 4441698215326043/4882812500000000
-5990997834369379/9765625000000000 385601402322419/488281250000000
-2387949143110703/4882812500000000 8518111715649921/9765625000000000
5361977499006121/9765625000000000 -4080950530843797/4882812500000000
-8911723930937797/9765625000000000 3993570860692919/9765625000000000
-2971957719360289/4882812500000000 -7748374080925891/9765625000000000
-108846091327577/488281250000000 4759948607960713/4882812500000000
-4819130589122959/4882812500000000 6288215136959109/39062500000000000
-7455427005903857/156250000000000000 -4877250993547713/4882812500000000
-1426491243004809/2441406250000000 1981309468803311/2441406250000000
4691937973299049/4882812500000000 2703757359579931/9765625000000000
-911275099209217/1953125000000000 -863752707548033/976562500000000
-599570042378007/610351562500000 -3654841882779999/19531250000000000
8714849522310707/9765625000000000 -8813360186468229/19531250000000000
-6947964346617223/19531250000000000 4563410991247637/4882812500000000
-95134883092389/97656250000000 -8819044692572793/39062500000000000
7329049251535587/9765625000000000 3226936190459561/4882812500000000
3911055793799001/4882812500000000 -233861504149067/390625000000000
1287352966542039/2441406250000000 -2074412402844351/2441406250000000
-6153792009709469/19531250000000000 2317058245598473/2441406250000000
-7227076244298431/9765625000000000 6567861189133209/9765625000000000
-1050896674285147/1220703125000000 -2484294022409371/4882812500000000
-4833605364728271/4882812500000000 -86432514157211/610351562500000
-4475044210090113/9765625000000000 8679943027368553/9765625000000000
-6942175441257141/9765625000000000 -3434153162842013/4882812500000000
-646017298539649/976562500000000 -3661748101637331/4882812500000000
-3057057627733727/4882812500000000 7614789969755249/9765625000000000
3125561638038913/4882812500000000 7502725466648971/9765625000000000
2330190200268087/2441406250000000 5827812532955453/19531250000000000
5481202404318541/9765625000000000 8082317232299017/9765625000000000
1385701505247059/1953125000000000 -1720523450499983/2441406250000000
-3581365832149773/4882812500000000 -132759491933143/195312500000000
-7011080384908763/9765625000000000 1359590871946007/1953125000000000
-1216690492623383/1220703125000000 -6329326439268679/78125000000000000
8087432787697717/9765625000000000 5473651664574293/9765625000000000
-1219216407942353/1220703125000000 7709245637435821/156250000000000000
2230907316203941/4882812500000000 1737350187229459/1953125000000000
236242892301903/781250000000000 -18180542036641/19073486328125
471763278459761/488281250000000 5037140172512257/19531250000000000
4871765982855149/4882812500000000 328259224473059/4882812500000000
