500
5617899897725223/9765625000000000 -7987905381247573/9765625000000000
-4599374779967209/4882812500000000 6557572164827879/19531250000000000
4841616329808919/4882812500000000 506349586801129/3906250000000000
7631175054622903/39062500000000000 -957746075930261/976562500000000
4056790544327093/19531250000000000 -2388161482454777/2441406250000000
-2011786248386657/2441406250000000 2766355413421351/4882812500000000
-2820145466642501/9765625000000000 -9349556737493/9765625000000
2385788914117303/2441406250000000 4145171531806461/19531250000000000
-8954071425215381/9765625000000000 -311815705085079/781250000000000
2162650778184477/2441406250000000 4531500571170021/9765625000000000
-497929542406807/4882812500000000 -4857357726269993/4882812500000000
6739021131570527/78125000000000000 4864612819891639/4882812500000000
3908711837835603/4882812500000000 5852804346266863/9765625000000000
-953767235045829/976562500000000 -1048837186593853/4882812500000000
-2438809677935543/2441406250000000 -144088618972207/3125000000000000
3865664148718411/9765625000000000 -4483973470314531/4882812500000000
-1207792912702363/1220703125000000 5666114806158149/39062500000000000
-6791738687188631/39062500000000000 -4808441782192389/4882812500000000
-2217746418287673/2441406250000000 816652798375911/1953125000000000
8960413333340241/9765625000000000 3883094711222407/9765625000000000
155948319970219/1562500000000000 -4858431752805087/4882812500000000
6274650044607759/9765625000000000 3741530384024993/4882812500000000
-6812846619671089/19531250000000000 -457612586897569/488281250000000
2324522475591163/2441406250000000 5970914773523233/19531250000000000
-612583011866441/9765625000000000 2436598213880851/2441406250000000
-26308918826319/39062500000000 -7218551172327439/9765625000000000
1130192614827993/1220703125000000 -18451266526633/48828125000000
1857110628579907/9765625000000000 -4793708683103317/4882812500000000
2157670472644167/2441406250000000 -4569328369060047/9765625000000000
-2147444403147099/2441406250000000 929153425584821/1953125000000000
128381199782457/244140625000000 -8306422798563289/9765625000000000
-987602138486757/1953125000000000 4212584777842299/4882812500000000
4458972683259233/19531250000000000 -237693108720457/244140625000000
7193474328080001/9765625000000000 660464675299739/976562500000000
476386540538877/488281250000000 -2142376539729967/9765625000000000
3934347060175661/4882812500000000 -5783691250488181/9765625000000000
3344317707115967/312500000000000000 -488253288047049/488281250000000
-1189554730738411/1220703125000000 8767980260569457/39062500000000000
276760876100109/305175781250000 -4114915688075797/9765625000000000
2917200243972467/4882812500000000 7831168660352867/9765625000000000
646080658662043/2441406250000000 -4708734122900499/4882812500000000
1216853597543419/31250000000000000 2439554631998089/2441406250000000
7513303914360837/9765625000000000 6238404918813393/9765625000000000
182176094871823/195312500000000 7041905362543967/19531250000000000
937607266778371/2441406250000000 4508373139314649/4882812500000000
-1477213151255653/2441406250000000 -194378645516847/244140625000000
95689083817649/97656250000000 -3900473828659507/19531250000000000
-5944729113056773/9765625000000000 -968468728626861/1220703125000000
600765376705061/610351562500000 6895979062202649/39062500000000000
96240519257789/195312500000000 8497754866616409/9765625000000000
2954148499961333/4882812500000000 7775568030782691/9765625000000000
21871506929601/30517578125000 -6810512414391059/9765625000000000
637319257056513/1220703125000000 1665799245696321/1953125000000000
-2273120388616341/2441406250000000 -1781446801221699/4882812500000000
-692644198136069/1220703125000000 1608266751345501/1953125000000000
2159886402682413/2441406250000000 -113813672511113/244140625000000
4791256928441709/9765625000000000 -8509482280743307/9765625000000000
-2353263264215219/2441406250000000 5200716792653527/19531250000000000
6923595724194341/9765625000000000 860879400385723/1220703125000000
-1560355416043243/1953125000000000 -1174729007579841/1953125000000000
1432916963038953/3906250000000000 -4542428115751947/4882812500000000
193014838178033/195312500000000 -5974093736652409/39062500000000000
-4381750016401221/4882812500000000 -430911810185061/976562500000000
922255420814989/976562500000000 -3211218696750779/9765625000000000
7412448008038387/19531250000000000 903500610252461/976562500000000
4864932437588153/4882812500000000 -3339847065804919/39062500000000000
8156773120463831/9765625000000000 671221879088611/1220703125000000
-4654917499814061/4882812500000000 -5897254927616489/19531250000000000
1106366818594359/4882812500000000 -951163716147113/976562500000000
1681503429743913/1953125000000000 -4968006344059097/9765625000000000
7289546402393303/1250000000000000000 4882729471971039/4882812500000000
6720446831125647/9765625000000000 -7085409376361979/9765625000000000
4393196361255599/19531250000000000 -4757688201045957/4882812500000000
-1220511121680627/1220703125000000 -5542392542670847/312500000000000000
-8532143399786051/9765625000000000 -2375392633129959/4882812500000000
-4807950320509457/4882812500000000 340698488560019/1953125000000000
-4845416978494657/4882812500000000 4825215201315451/39062500000000000
5890139934968047/9765625000000000 7789331369708161/9765625000000000
210508321867991/305175781250000 -70703711344689/97656250000000
-8785001994817491/9765625000000000 -170604438824681/390625000000000
-134229296465661/152587890625000 4644107571440587/9765625000000000
-4620058051313447/4882812500000000 -6320660108121679/19531250000000000
-769092611995629/7812500000000000 -607386844871001/610351562500000
-312970653850469/781250000000000 -279617913264289/305175781250000
-1679977233549877/7812500000000000 -596072926941929/610351562500000
-1420833709747027/15625000000000000 -121564572747343/122070312500000
8313583784992399/19531250000000000 8836770496233501/9765625000000000
-115573788787433/390625000000000 -4664201934185757/4882812500000000
-1222095709273563/1953125000000000 1904427137865277/2441406250000000
2438923307944263/2441406250000000 1761277754742437/39062500000000000
-8967497059562121/78125000000000000 606317430482383/610351562500000
-5590030550389591/9765625000000000 200185835672657/244140625000000
1746113975376913/9765625000000000 1201031572399447/1220703125000000
-2363186765237701/2441406250000000 613035716858677/2441406250000000
1191576488392703/7812500000000000 965136824191829/976562500000000
953719038308441/976562500000000 1049932287986617/4882812500000000
6065596913626963/9765625000000000 306139747754581/390625000000000
-75511798865331/76293945312500 1394755589954199/9765625000000000
-7432210639258337/19531250000000000 112886830009949/122070312500000
1420878178141523/3906250000000000 454833318806551/488281250000000
-2433291118500997/2441406250000000 -3182303474181359/39062500000000000
-2311375037192987/2441406250000000 -62890885316341/195312500000000
8273151008041301/9765625000000000 5188680375468333/9765625000000000
-280943641122541/390625000000000 6785027686835961/9765625000000000
-2414159017425351/2441406250000000 -58197064640297/390625000000000
2440747464147259/2441406250000000 -1451836872144191/62500000000000000
1866891907360993/4882812500000000 -563978231466903/610351562500000
-349932191890667/976562500000000 569821030526267/610351562500000
