5000
6964014877432849/9765625000000000 -6846161583509327/9765625000000000
2257131792004943/2441406250000000 3721979153213229/9765625000000000
-73593897814163/97656250000000 -401203334931549/610351562500000
2325946651894771/2441406250000000 -2967656718904173/9765625000000000
5181870082004229/9765625000000000 2069354580748767/2441406250000000
5501986619044233/9765625000000000 8068182873763039/9765625000000000
-4701939018966919/4882812500000000 -2633345683401753/9765625000000000
4448845706511/19073486328125 74189557495791/76293945312500
481582776810379/488281250000000 -806015395707003/4882812500000000
-110124415998127/122070312500000 -4213330612173987/9765625000000000
-683918197409971/976562500000000 6970869498547121/9765625000000000
1358007923627471/1953125000000000 -7018745872643497/9765625000000000
4768431845167543/4882812500000000 2101347803813843/9765625000000000
-366571028151111/3906250000000000 4861265065517321/4882812500000000
3746577128166529/19531250000000000 -4792134743418111/4882812500000000
2396018163889987/2441406250000000 7497181308809981/39062500000000000
238324327579601/488281250000000 -1704676363350151/1953125000000000
4561777824600217/4882812500000000 -6965102714696419/19531250000000000
-3968539777057247/4882812500000000 5689481504696421/9765625000000000
157535677065843/195312500000000 1154533806679407/1953125000000000
-3215446275018953/9765625000000000 -1152635139128839/1220703125000000
2395356704215723/2441406250000000 -3775548592575979/19531250000000000
-4821089047498803/4882812500000000 3095695866827563/19531250000000000
1497101584021049/1953125000000000 1567932612125491/2441406250000000
6931669224745257/19531250000000000 228247976552237/244140625000000
-1538305368818757/3906250000000000 -8976499058222597/9765625000000000
-1428885746739549/2441406250000000 -494895822389901/610351562500000
301888879703943/1953125000000000 4824132285924653/4882812500000000
2424147397030127/2441406250000000 2318259692250147/19531250000000000
-1127550277244731/2441406250000000 -4330863585856471/4882812500000000
5831756981440473/9765625000000000 156662748795041/195312500000000
-37643220886213/38146972656250 -253089861756391/1562500000000000
1483494947995557/1953125000000000 -6352046923820423/9765625000000000
-3551785944543679/9765625000000000 -568551642074949/610351562500000
4808355219318041/4882812500000000 1698914941971143/9765625000000000
7303520185622353/9765625000000000 1296549644847151/1953125000000000
932351613674401/976562500000000 581015610409877/1953125000000000
-2372953154985213/2441406250000000 -459257001190251/1953125000000000
1220702918707007/1220703125000000 -2906847136639163/5000000000000000000
2489734097748671/19531250000000000 19371911384399/19531250000000
-4522610616341439/4882812500000000 3681223233172343/9765625000000000
8094445917957083/156250000000000000 1219064023178233/1220703125000000
1203472992190937/1220703125000000 -6539979318514739/39062500000000000
4214984068984343/4882812500000000 2464907139906987/4882812500000000
7272487991149171/9765625000000000 651754171902383/976562500000000
424171036478507/488281250000000 -4837251736856853/9765625000000000
540681303404113/610351562500000 2265466069423009/4882812500000000
-1179615000295501/1220703125000000 628090982143863/2441406250000000
6177103813642899/39062500000000000 2410687705566899/2441406250000000
709572962466559/976562500000000 -335477468447093/488281250000000
4741416143588199/4882812500000000 4666186217419889/19531250000000000
8931556492772641/9765625000000000 3949016365759439/9765625000000000
7666479053851273/78125000000000000 2429622833527883/2441406250000000
1376739748475237/1953125000000000 -1731728241974501/2441406250000000
-2600492117627223/9765625000000000 -4706508057646977/4882812500000000
-96738643830977/152587890625000 377609479950563/488281250000000
-5546187193941769/9765625000000000 -2009465713354879/2441406250000000
-4304080101063137/4882812500000000 184464672282383/390625000000000
-2690150168841161/19531250000000000 -1209068628233991/1220703125000000
8629766840542527/78125000000000000 2426465960989701/2441406250000000
2433251920205589/2441406250000000 -6379934172340203/78125000000000000
-8317940617291503/19531250000000000 -4417872723733337/4882812500000000
357740525433429/781250000000000 2170409305262323/2441406250000000
-4773924927983231/9765625000000000 4259608914636569/4882812500000000
-5974303926033739/9765625000000000 1544993517656341/1953125000000000
970118271091253/1953125000000000 -8475800560595911/9765625000000000
-937168077629079/1220703125000000 6257575830471259/9765625000000000
7453834930614223/78125000000000000 4860537831057107/4882812500000000
279847881805527/305175781250000 -7790516954030667/19531250000000000
2356983795656217/2441406250000000 5091746196679171/19531250000000000
4076518387574243/4882812500000000 -537544630553607/976562500000000
-2928691021635389/156250000000000000 -1220488675385549/1220703125000000
-1069341876585389/1953125000000000 8171911062606223/9765625000000000
1175162618080431/1220703125000000 5285062795793899/19531250000000000
8399288713151637/78125000000000000 4854511261329959/4882812500000000
-294340721682869/15625000000000000 -2440973029260889/2441406250000000
-1576441864400787/19531250000000000 486688142969053/488281250000000
1320161313122409/9765625000000000 1209497608435781/1220703125000000
-6480964950456133/9765625000000000 7305102665369197/9765625000000000
-2359193994777247/2441406250000000 -1005161938056679/3906250000000000
-2388672781416589/2441406250000000 504684872825211/2441406250000000
5570703393435269/39062500000000000 1208226267238099/1220703125000000
3639970758865739/5000000000000000000 4882811206114367/4882812500000000
-3657404943173107/4882812500000000 -258800271923309/390625000000000
4826491112150189/19531250000000000 -4731376055829551/4882812500000000
6204189580437299/19531250000000000 2314957336987057/2441406250000000
-1091968834145107/625000000000000000 4882805047519721/4882812500000000
733933172199511/1953125000000000 904991624874253/976562500000000
-1019476801057347/3906250000000000 -4713586763715259/4882812500000000
4876436405599267/4882812500000000 7982437830487879/156250000000000000
-2261466957889469/2441406250000000 -294370724790209/781250000000000
861331233512753/2441406250000000 2284419616382783/2441406250000000
-1256357393673119/2441406250000000 -837332008407843/976562500000000
1427648506414429/2441406250000000 7921903023563681/9765625000000000
270734664966263/390625000000000 439978004073909/610351562500000
-311474155687297/2441406250000000 -2421455828190543/2441406250000000
-955961605739929/976562500000000 3990575134357773/19531250000000000
5842322793047231/9765625000000000 -3912630062453701/4882812500000000
1415429381878931/9765625000000000 483125220066027/488281250000000
-7605548105407689/9765625000000000 -1531401924237937/2441406250000000
-8858183434753803/9765625000000000 2055481566256331/4882812500000000
-2249030564741909/2441406250000000 7599267317927969/19531250000000000
-2645906493723419/4882812500000000 -4103783222421537/4882812500000000
-803329666900813/976562500000000 -1388199739508149/2441406250000000
784530788253831/2441406250000000 -924768158605897/976562500000000
101582181560913/122070312500000 2707684348862951/4882812500000000
2437364510408599/2441406250000000 -4493547623233187/78125000000000000
-419686280519803/488281250000000 4991272585023413/9765625000000000
-1589157460516299/1953125000000000 -5677314134585093/9765625000000000
