5000
-5567280964004771/19531250000000000 -4680245113975937/4882812500000000
4676819528198819/4882812500000000 -701643964346311/2441406250000000
-1611062240059291/19531250000000000 -4866172809695747/4882812500000000
-8269572215389831/78125000000000000 -303461319757101/305175781250000
4670904964570241/4882812500000000 -5691403654086503/19531250000000000
1299276035311223/4882812500000000 941355186828483/976562500000000
363236625815601/610351562500000 30656118342753/38146972656250
4155476948853799/4882812500000000 5127911558403077/9765625000000000
2354114607038409/2441406250000000 -2587999673778831/9765625000000000
-4500529216928537/4882812500000000 7575850766987281/19531250000000000
12822422659541/30517578125000 -8861793526130597/9765625000000000
-4708368390906469/4882812500000000 5173973336876147/19531250000000000
48567573544809/6250000000000000 4882665072199339/4882812500000000
-4873147280975987/4882812500000000 982631832307189/15625000000000000
3517868351317019/4882812500000000 -3386216202925963/4882812500000000
-4837805682211583/4882812500000000 1322866722413969/9765625000000000
1214086216132363/1220703125000000 8123407630431677/78125000000000000
-4743492352645533/4882812500000000 579037609000831/2441406250000000
3508633890022/3814697265625 7665314521180817/19531250000000000
2988634613788329/4882812500000000 965334173208381/1220703125000000
-7801668742437197/9765625000000000 5873788936785471/9765625000000000
-225942209747533/610351562500000 1133982623677441/1220703125000000
4873062877250539/4882812500000000 4934543824595267/78125000000000000
-8923322285034577/9765625000000000 -1587035023584813/3906250000000000
3166488781438599/9765625000000000 -4619003692292541/4882812500000000
4654345004042687/4882812500000000 -738060040494527/2441406250000000
1744812116056213/1953125000000000 -8776832830175363/19531250000000000
466945669107529/488281250000000 5710386495260659/19531250000000000
1996677594538049/2441406250000000 -1404899662256637/2441406250000000
5888914912176393/9765625000000000 -7790257556574847/9765625000000000
-1456404387673513/4882812500000000 4660551916857229/4882812500000000
4188011424634781/9765625000000000 8822017453380693/9765625000000000
2430633277467617/2441406250000000 -293246709398729/3125000000000000
-8938365310407091/19531250000000000 8682962514893911/9765625000000000
7810558387381371/78125000000000000 -2429174644964737/2441406250000000
4596287086575509/4882812500000000 -6592120057080843/19531250000000000
211018515886867/1562500000000000 1209519693165369/1220703125000000
1222519553707987/7812500000000000 -2411329909551049/2441406250000000
-2153154723607231/2441406250000000 -2301642208291229/4882812500000000
1194506565649003/1220703125000000 8049140849950289/39062500000000000
4882297953301431/4882812500000000 2268302421014761/156250000000000000
-7116036119688293/9765625000000000 3344004395328921/4882812500000000
2362985510480377/4882812500000000 -8545913031950663/9765625000000000
-5072115879858819/78125000000000000 -194900443584367/195312500000000
7924412826737349/9765625000000000 -2853555369712737/4882812500000000
-3034396289084979/4882812500000000 956369994789659/1220703125000000
1217672899446629/1220703125000000 -5501331199670537/78125000000000000
-8005884835512611/156250000000000000 -609549858576261/610351562500000
147935823565889/152587890625000 -1196498987287319/4882812500000000
-4852137396613221/4882812500000000 4371695100392771/39062500000000000
1206151527217519/1220703125000000 -3006749219764879/19531250000000000
723448664977769/1220703125000000 -245807107877123/305175781250000
-2423208498652601/2441406250000000 -4760505508535687/39062500000000000
-595487213975907/610351562500000 8568356674532513/39062500000000000
7634328553765491/9765625000000000 76121263428191/122070312500000
2601750015489677/4882812500000000 1652767606994073/1953125000000000
8080580839429227/19531250000000000 -8890640301181199/9765625000000000
3806186818183153/4882812500000000 1529280861650751/2441406250000000
1262107247043959/1953125000000000 -7452822556897687/9765625000000000
1220700956361999/1220703125000000 -2356206347327681/1250000000000000000
-2338480759707621/2441406250000000 -350703654819967/1220703125000000
7883089351313607/78125000000000000 -4857891665597783/4882812500000000
-946004878352313/976562500000000 605955271347829/2441406250000000
-1433920507731777/1953125000000000 -3315276424307673/4882812500000000
-6494072162534713/9765625000000000 7293453118270983/9765625000000000
8905733787912531/9765625000000000 -160276447874081/390625000000000
100323233354687/488281250000000 1194659543423417/1220703125000000
4783100450434691/4882812500000000 1963474462485019/9765625000000000
4102706511970409/4882812500000000 -2647575718802363/4882812500000000
5307021106866443/19531250000000000 -4699103993939789/4882812500000000
-431728325127379/976562500000000 8759480405189329/9765625000000000
2431497841384589/4882812500000000 -211717241607163/244140625000000
8050444493315267/19531250000000000 889747253469419/976562500000000
-3012590082577449/4882812500000000 -960669002066797/1220703125000000
3246807096987049/19531250000000000 -4814872598505687/4882812500000000
1865640566358799/2441406250000000 1259803096918367/1953125000000000
1751836001505491/19531250000000000 4863131688957803/4882812500000000
3887187924198263/19531250000000000 2392564969743727/2441406250000000
2144868714226471/2441406250000000 4664766105641821/9765625000000000
-2403283867401481/2441406250000000 859514119085531/4882812500000000
-102883471217589/390625000000000 -588801089989067/610351562500000
2439483967067539/2441406250000000 6199235696926333/156250000000000000
3025893081811319/4882812500000000 95805235267973/122070312500000
6241332387698561/9765625000000000 -1877718057691469/2441406250000000
4444070932325919/9765625000000000 -2173960458315089/2441406250000000
