5000
-296308572017203/305175781250000 -4673966757832183/19531250000000000
-4492394991780633/4882812500000000 7652706865396623/19531250000000000
-4679665653596249/4882812500000000 696883648952219/2441406250000000
3210134942523329/4882812500000000 147170059786341/195312500000000
-6971550763664819/9765625000000000 6838487522125743/9765625000000000
2112736651314197/2441406250000000 -122344117951487/244140625000000
-681424492574043/1220703125000000 -4051225553444239/4882812500000000
588661871673609/976562500000000 -3895996397726689/4882812500000000
-1578565003741163/9765625000000000 192743938083239/195312500000000
195273629693127/195312500000000 1558573846643457/78125000000000000
4153245038200199/4882812500000000 5135139165717587/9765625000000000
-870139955193681/2441406250000000 -2281078897345421/2441406250000000
-3465136545475749/9765625000000000 4565092013361653/4882812500000000
7557982966114843/9765625000000000 386512477182491/610351562500000
-4919339853933837/9765625000000000 8436084817148487/9765625000000000
-5827594363998671/9765625000000000 -3918117391341023/4882812500000000
1066840881380903/1953125000000000 -4090039577619801/4882812500000000
8430712894787553/9765625000000000 1232135131750163/2441406250000000
2586265390312599/4882812500000000 8283257629949093/9765625000000000
3774975001743669/39062500000000000 -151873697408041/152587890625000
8825615362067881/9765625000000000 8360848072165031/19531250000000000
-4827722645466733/4882812500000000 731404107593017/4882812500000000
8086327720684563/39062500000000000 -2388522531558873/2441406250000000
444806990649513/488281250000000 -8056333674409129/19531250000000000
-905687169527563/5000000000000000000 244140620994779/244140625000000
1138865980645847/1220703125000000 -175772761262871/488281250000000
-8208426158592153/9765625000000000 5290479339300463/9765625000000000
2982913394558101/4882812500000000 -386575808745479/488281250000000
-5304116061707919/9765625000000000 -8199620993958017/9765625000000000
4909073990742891/78125000000000000 4873163362982819/4882812500000000
-7574845089623641/39062500000000000 958025517704971/976562500000000
1304315678414073/4882812500000000 -941076373546791/976562500000000
1053456977079607/1220703125000000 -986753243256529/1953125000000000
7230877688496841/9765625000000000 205114867529071/305175781250000
-8700211036812503/9765625000000000 -2217755597194543/4882812500000000
-8072269565876203/39062500000000000 -2388708275984563/2441406250000000
993794310583699/1220703125000000 5670916610982663/9765625000000000
4898294726341493/78125000000000000 -2436602866508219/2441406250000000
1229045094058299/1953125000000000 -3794852947081931/4882812500000000
2233924511978667/2441406250000000 315170882280647/781250000000000
8745672223803299/19531250000000000 -8731880437745003/9765625000000000
-7418101187255877/9765625000000000 -1270263065923873/1953125000000000
-2770678996215531/4882812500000000 2010298224772033/2441406250000000
-975115952238311/976562500000000 1700280213065237/31250000000000000
-1495803630679407/78125000000000000 305119840410289/305175781250000
344124292292251/1220703125000000 -2342387321378873/2441406250000000
510164690580629/976562500000000 -4163551083183143/4882812500000000
-6725995905357701/9765625000000000 1770035499674661/2441406250000000
4836747196287033/4882812500000000 -334564817847669/2441406250000000
353496649502019/390625000000000 -831083771587539/1953125000000000
-8075402588791279/9765625000000000 -85802884153703/152587890625000
3717411961247123/9765625000000000 -4515204312957549/4882812500000000
387204979919587/610351562500000 3774451660279473/4882812500000000
-4752002080037493/4882812500000000 -1796233671373941/7812500000000000
1002780447859239/1220703125000000 5568755654332783/9765625000000000
-565342661437183/610351562500000 -1472232399119671/3906250000000000
-586071251648229/610351562500000 5454054112838789/19531250000000000
-7048303252465239/9765625000000000 -422459562145417/610351562500000
1619356198506759/2441406250000000 7308241900645381/9765625000000000
-8842717772093091/9765625000000000 -2072062622348441/4882812500000000
606584032553963/3906250000000000 -1205895546770837/1220703125000000
3753679631454489/4882812500000000 -1249111500839533/1953125000000000
-4515760413758021/4882812500000000 -1857354515350323/4882812500000000
800436398060187/1953125000000000 -278370627065479/305175781250000
488068805755391/488281250000000 -4608666063738261/156250000000000000
3512261637901759/4882812500000000 -6784062528332091/9765625000000000
4256396740086639/9765625000000000 2197306852029389/2441406250000000
7988742441701417/156250000000000000 -4876426323214813/4882812500000000
-2411260639609697/2441406250000000 -6119589118925607/39062500000000000
4527293783788527/4882812500000000 7316249208905899/19531250000000000
4651827616957039/39062500000000000 -4848065667859379/4882812500000000
