5000
-2438112634944671/2441406250000000 4056718751270641/78125000000000000
5573808573859437/9765625000000000 -8018733667019751/9765625000000000
1598552774626093/3906250000000000 4455231841827093/4882812500000000
-651715681745397/2441406250000000 2352813453656323/2441406250000000
6293310319237151/9765625000000000 3733687080702137/4882812500000000
4804861613118393/4882812500000000 -3476004117230163/19531250000000000
8376074105879813/9765625000000000 2510418999561363/4882812500000000
566298257878403/1953125000000000 4673063468398491/4882812500000000
-4683342257393333/4882812500000000 5525451236263217/19531250000000000
-1551125739533979/3906250000000000 1120337473686743/1220703125000000
-4732616320082461/4882812500000000 480699603003023/1953125000000000
1359324142372103/4882812500000000 2344893163137747/2441406250000000
-1220685591810479/1220703125000000 -334980009956951/62500000000000000
-2323194735643343/9765625000000000 948526213980953/976562500000000
5811235282249423/9765625000000000 7848374107734957/9765625000000000
-1006408870667341/4882812500000000 -477797018567491/488281250000000
-2389859648605663/2441406250000000 -998068810264059/4882812500000000
-6400352374509773/9765625000000000 -1843958397082417/2441406250000000
90162626914037/97656250000000 750318298330161/1953125000000000
-1262398679042533/2441406250000000 4179384668915141/4882812500000000
-804281430268783/2441406250000000 2305123827143319/2441406250000000
-1404977624346619/4882812500000000 4676312199291401/4882812500000000
4812486779520477/4882812500000000 1651458636596003/9765625000000000
-4621459555270797/19531250000000000 2372076615744289/2441406250000000
4509796602663709/4882812500000000 7487154346221657/19531250000000000
-4079086695791241/156250000000000000 610143540197133/610351562500000
559926563645583/15625000000000000 -2439838157631099/2441406250000000
7586366257251229/19531250000000000 -4499422001583509/4882812500000000
-4586808193440781/19531250000000000 -4746254557273849/4882812500000000
6092244576947319/19531250000000000 2319598168922381/2441406250000000
1591134386843293/1953125000000000 5663454397781043/9765625000000000
6717795664013589/9765625000000000 3543961521277609/4882812500000000
-191458301336007/390625000000000 -8512182794182801/9765625000000000
-4882607004949171/4882812500000000 -2866989547662367/312500000000000000
180362125261871/488281250000000 4537489205194693/4882812500000000
610124033720889/610351562500000 -8532035999237219/312500000000000000
-933441466820341/2441406250000000 -2255914782424051/2441406250000000
-5179700720350763/9765625000000000 -8278776001814687/9765625000000000
-3317855002528573/9765625000000000 143511410205207/152587890625000
-969919853086171/976562500000000 -4548370256793167/39062500000000000
-7542797479663469/9765625000000000 -6202712134333449/9765625000000000
-524301540562319/610351562500000 -4999505240421657/9765625000000000
-3705592838989269/4882812500000000 -6359383498984063/9765625000000000
-4219130259277487/19531250000000000 -4767524688044029/4882812500000000
2310230087858991/2441406250000000 3157977628014743/9765625000000000
1184243640295277/1220703125000000 -59222671268681/244140625000000
-7913753482139261/39062500000000000 2390779334947871/2441406250000000
4824055292551303/4882812500000000 1208342674113547/7812500000000000
4848641026327099/9765625000000000 -8476916410962343/9765625000000000
7493452912109933/9765625000000000 -6262235630716571/9765625000000000
-11281036462903/15625000000000 -105576677870037/152587890625000
9002549546732583/9765625000000000 -3784380173720653/9765625000000000
-4808377800264759/4882812500000000 -1358927426538239/7812500000000000
-6786862207820257/9765625000000000 -7021818355147487/9765625000000000
240906513356293/244140625000000 -3168541971726271/19531250000000000
-821957001239971/39062500000000000 610216424877247/610351562500000
-1214150754395807/4882812500000000 -4729449847049479/4882812500000000
-65390872371969/312500000000000 2387358417380833/2441406250000000
-6474497161749607/39062500000000000 4815274837613919/4882812500000000
-4243864583072419/4882812500000000 -1207421975812497/2441406250000000
-4858862354585553/4882812500000000 19321057086923/195312500000000
-1453173310491677/1953125000000000 -815615324487549/1220703125000000
-8355494634038713/9765625000000000 -252750573991313/488281250000000
-1003381509623581/1953125000000000 -4189214433944107/4882812500000000
-3101719405798033/4882812500000000 754219984828091/976562500000000
4878584842348709/4882812500000000 -1300127293299377/31250000000000000
819070366092947/4882812500000000 -4813624585023703/4882812500000000
-190259280907219/305175781250000 -7635448344005803/9765625000000000
-3530504423772597/9765625000000000 -4552553408647369/4882812500000000
-4604950175901137/4882812500000000 3247332312914301/9765625000000000
-1750342465123147/1953125000000000 541626067537181/1220703125000000
-4615056892628113/4882812500000000 -637884978717887/1953125000000000
5664188960466507/39062500000000000 4831206936532089/4882812500000000
7306176737112217/78125000000000000 -4861413521969331/4882812500000000
463490717426923/488281250000000 -1536064255187221/4882812500000000
-6328034611037867/9765625000000000 -7437970798687759/9765625000000000
6857191693117473/39062500000000000 -4806990073602843/4882812500000000
8254299328759449/19531250000000000 8850653494993199/9765625000000000
8940928590916177/9765625000000000 1963875478025699/4882812500000000
-301419224058467/390625000000000 -6211599129501179/9765625000000000
4856293655752167/4882812500000000 63525319663883/610351562500000
-237053425894877/244140625000000 4671834275754343/19531250000000000
-4675729638041333/4882812500000000 -5627660632409337/19531250000000000
-4353810006088399/4882812500000000 110523711721069/244140625000000
-4187079220683259/156250000000000000 4881059021912187/4882812500000000
-4702593916341793/4882812500000000 5257327637713143/19531250000000000
385032178023177/1953125000000000 -2393496229208869/2441406250000000
-565730304691369/7812500000000000 973998728441433/976562500000000
-132711027023443/152587890625000 4819521974591431/9765625000000000
1853257155464301/2441406250000000 1589308778450377/2441406250000000
8762444228703393/9765625000000000 -4311264638071711/9765625000000000
2362723152889467/4882812500000000 2136550795848083/2441406250000000
4055764076474633/9765625000000000 -2220898036220411/2441406250000000
-1361912430798253/1953125000000000 -6999806776729971/9765625000000000
500429013201357/1220703125000000 4453649150314527/4882812500000000
7853440291851497/19531250000000000 -8941381355037143/9765625000000000
2680492421429267/4882812500000000 8162553102753209/9765625000000000
-1174944902470853/2441406250000000 8560344809594361/9765625000000000
8031266529830967/39062500000000000 -1194624051814073/1220703125000000
8782394244389871/19531250000000000 -2180665315257191/2441406250000000
-4274755196100903/4882812500000000 2359730053112979/4882812500000000
2367814497602767/2441406250000000 1189821805954519/4882812500000000
-192289169607291/195312500000000 -1711613206881501/9765625000000000
-7128509283055317/9765625000000000 -834339063289949/1220703125000000
-3530957433994579/4882812500000000 6745130839197907/9765625000000000
7499600471473951/9765625000000000 6254872053758789/9765625000000000
6958265112447487/9765625000000000 -856500677407069/1220703125000000
7740356920433629/9765625000000000 37214699288869/61035156250000
2305772209893747/4882812500000000 -8608198981491531/9765625000000000
-2330695398317243/4882812500000000 -2145327298480297/2441406250000000
4669118493592949/4882812500000000 -5714809397268899/19531250000000000
-4678473074898133/4882812500000000 -1118212172385033/3906250000000000
4751145528583223/4882812500000000 -4505062177382049/19531250000000000
6279719425809693/9765625000000000 3739403547817933/4882812500000000
5441824395390401/19531250000000000 293091130194501/305175781250000
-815116489580339/1220703125000000 -3634724149751099/4882812500000000
-1164255102430747/1220703125000000 -587063037648229/1953125000000000
3672661673369577/4882812500000000 6435344324313479/9765625000000000
-3600590707692123/4882812500000000 6596242708038383/9765625000000000
592122496561281/1953125000000000 -1163253823919649/1220703125000000
-4996464315088973/312500000000000000 -305136771482289/305175781250000
-4784165360698719/4882812500000000 -390613816785171/1953125000000000
-8312849132402599/9765625000000000 1281209656499921/2441406250000000
-967040467658433/976562500000000 5441624804002441/39062500000000000
-304911288261927/305175781250000 -3251943242288389/78125000000000000
2978191186505219/4882812500000000 -7738794522864367/9765625000000000
-7216037469827773/19531250000000000 4537334912950977/4882812500000000
25338046068473/39062500000000 1486491109695867/1953125000000000
-8480544255502211/9765625000000000 2421146462478749/4882812500000000
1856093773190543/2441406250000000 -6343980305974923/9765625000000000
-2257390948943299/2441406250000000 3719463576738851/9765625000000000
3117544520227607/4882812500000000 7516055900418801/9765625000000000
-3864578658395363/4882812500000000 1193776508613323/1953125000000000
482772317897829/488281250000000 1462801172151579/9765625000000000
1087991636997473/1953125000000000 2027533701726897/2441406250000000
2261410499585843/2441406250000000 7360378381151751/19531250000000000
1564864364807771/1953125000000000 -1168715870252377/1953125000000000
8600143252230813/9765625000000000 4626550300357039/9765625000000000
4868213185990223/4882812500000000 -188651985085749/2441406250000000
570667072282579/4882812500000000 -4849350162936131/4882812500000000
5123710264031857/78125000000000000 -2436150110616201/2441406250000000
-330792083961621/9765625000000000 -4880010456899999/4882812500000000
4832330316271287/4882812500000000 -350157687550087/2441406250000000
-6436444143797527/78125000000000000 -973242631922387/976562500000000
