1000
904932605036136615/2574461492429849843 1084330166313524798/6973210133657338826
3847859486078536200/5125425283532950976 432558267141179368/5321225441166622074
1502796497723071401/5311214478662905650 307858492501382482/6687841518082649200
4036380941480283339/6791062082444048341 6718078522348473530/6910108263410248052
1038368108136209049/3847628784869776736 6158434708149173364/6231578091990387040
6780057690432718893/7457795494186753429 919433210768237230/5888153100239908647
3638019321097385904/6926478952069274694 3854727984783565915/7221259036019040065
2636711091252650781/4120519662752654426 2983003809262207199/6155615571827058635
5158336541964129051/9194995825451921405 5042678185899896884/5261373191569123135
1120457016267297976/1606131179035887337 827044554315779261/4390224842197292869
4908139074655546682/6427613701854120527 4681937922029835585/8792809333618823949
316075124361939749/2764572452757541385 520327202561796437/6951506579546125378
5945154308041904785/5945602234844485166 9086842809670440187/9128692165681926067
4559699275833768677/6726433843589181496 5063556001774510455/6970770682546782032
1847801266169909187/4027995941245086623 5681578930764762665/6810157474207831706
3850137082614920040/3923211572522648687 1005921197358358493/3344812729452641524
1426001467871380620/3087197783241894433 4834296422762418130/4977781977373662658
3092929181017288271/7778085824051769814 785636865665022937/2423615635059877503
2212941784390194506/3002854401855665776 3470863811429159135/7292924518670425526
238728576143860727/4368592179014646921 6650592802428101892/7809675850741431273
6894951558998414058/8974895933473490123 6137282548410595116/6667718151293720697
3920459224765205029/8508585701201427529 789102879727939579/3776027826277164353
55265155118768255/7199005826248729387 465088493992141465/8800388713758239317
2761901577818586513/5115606103734498986 4262055088717407651/8292208897227006200
2708485864717260752/5490684274206562702 4241606476955331407/7829511396030052421
5199680968675041133/6980214059533580252 1765458992074399330/5385462772311291917
4225853219116868368/5129796266633460799 3072096279664490617/4218535697512637229
5224953865810802219/7116033389719996581 1724993836681246658/5276318862198659189
1787248195172957546/3069996415258395936 3169580493302651664/6799017298284633947
3714898854822905069/5919108226104658363 3055229092104343474/7423724074968129037
622612777531587872/4254897624366185632 1495950399542710617/7445195266404698221
1125020715162729556/4174379440037153904 4145418170027189714/4635356175718976351
6270824991521138530/6367680765584073866 587339303346339736/2599116124123368044
837338680634360810/1312737549361033981 2414752766216936899/8220297511037933398
1114633112548031111/8036140601191742839 4199480842055379434/4728990014427550736
3716155783111758668/4235854723854446328 4975018941753987752/5953827169455361276
3240803050700382915/6314349394217877085 5217617937501705121/8506447048986855225
321382326139847624/7001310027758955515 365697876777189728/3921472528014505165
7288220400900249382/7335008581338358320 51137449894573568/6922028430459893254
5694136993058064285/7268777375035792882 3595686295800129182/8505443331938082480
2299576300629934620/4863678849454387279 6744544414746262789/7375007752710086931
1744337752338856582/9021814427995916492 8434621291799862594/9102708811580117746
2224707823223803048/8538861245042568412 5035830870631495500/6291671625479473549
6709056148792174540/6772375465755730233 2472185305871533355/7930795950948962465
4598789933874822576/8817068251377713764 1397489141065022983/2431230105287811327
7242626889505833662/8195061406356832670 7130340258750383827/8609530794433328431
3586290021521288547/4108256376205286439 253894526934284396/8812691111212782991
5240260693873193259/5259021203065569224 1117405093091006582/4724472939446570548
1722792888109192007/6871338150763837086 1634430089243148320/8107509434556878462
2380821234223133554/7100434352935210995 3177013842534856665/7546247242689678666
309347967962523072/5083004210547414946 7115172172032667188/7832134080419099557
5222864029210909339/8813353586387968185 4661225866541504183/4810829547315313793
573869644999780883/5784220414399386359 2267726412349561419/6383688708392196592
4868355720383328838/6214448485131557560 6619639797375222408/7481571085847337469
2026587280296108082/4243558801686960387 3694204866381982467/6671540225603415254
3120896395772483195/4935338907588937916 1704739323862924485/2904870121457710245
4220397072813396026/8764279221210269280 7114221165870877896/7278413280249047730
4154464200786697209/7195900569750375210 2746064935021581990/4532133290795630857
3087827424438310023/5638972551382103411 1868815051267177392/5425082922171716934
7547258416119617/7999050034803438354 770810662870176783/8129356180852509519
3201355233212404982/3423734631853185273 961948952910170188/4063309735893922631
4107411488187698685/4180359470835465639 7567887927075856540/8496189530299113701
8226552530071700076/8925280744405557611 5062666373310881867/8710679396706369804
3450868552122313898/8603393900216004513 5295108220812919792/9013843488717221515
2012073401155256295/8615920561185349067 8478117891313187840/8548101367333551123
6008280656696101049/6052573380645413668 3303351316848383966/7254074824431383617
496032701489031161/8371695192915595803 5184084281294730973/8699881654520330443
448913750172104986/9033670066842939892 5818123933477961782/8782286739803293982
867056934268042319/3559584460350417114 293067324744603168/7530513221608866722
1058916173019092666/7493845384685628410 5139539043099716244/8975033685428831057
3908983251354797363/5073690400764471158 4657429009525712751/8853049040236489131
7101752160575028190/8585440571168929290 21666493305189617/6617395369938081395
413172903425089496/4116002439453144771 2279956070147483442/2287023503515372113
5932156591376300541/8897479713574865554 8057925218434848996/8786957662295936594
5674049256957835077/6784974737538937296 5678418136695304402/6126413746660898255
1959586717538441659/7253848727430065192 4508601474647862726/8141875577586992756
7211867850148566051/7223220381334727495 852112426587206745/8348064219313193656
6039237200172757251/7740979359338888815 6931586184796141826/8768582013375479347
650459537096128610/8364125730695587891 1676456070897807523/8174543360743596254
1269318387769943584/5225246641522708508 883271924786625658/2355920318421978043
2662915582897380488/3269197818276533651 2250589528319429697/2447914196942872993
2709798466818862910/7833969709579437559 4376586419548662068/7649013035727465961
2114382548767968073/9043141878068204316 3859809097461922065/5520044909318179850
7307354602814675361/8611725969519625991 6896947863088066738/7234878655135320167
4844996629104277898/8902709735698210642 4750734462408651188/6375541047423165407
8600365446311851837/9211131783201116040 1588309171945826736/4949471299769501549
1174483411993236489/4558390009072349092 1507216730467017283/8868591314988229772
5619297560653798902/8266536491096767164 1508673916567050292/3005393263468597892
4404159836461529362/7043257928731140792 5208019043712051261/5375518605376855443
5725310956597427626/7841708635143860282 790898902734830523/6613783439658084824
4748443202317246908/7883685774082449867 828150359655233747/6474315704354452419
7249369812197579852/8834961643530078730 5937261258448428567/8065231182437293432
3779898241783398527/7373878303361911014 6097815998139140399/8178242485476036986
6179654813756957737/6678168909612920343 3547928923610880025/6367050961722118341
3424998711796736090/7704913786898446363 197983207480962967/2142672030274947469
7305228292204826509/8626306671209241622 743093596741325076/6031399477668653450
2512877670550437713/6511773228393308377 2719603039540984849/2950549791672408421
8390247483587776004/8759051055289868147 2847564113240263666/3711138753089122846
4609496522117086456/8198912349868934733 4240031174306067054/5006560067792508103
1057011112959700803/3723902047650815394 2629995624733275609/5884686590911957064
2562750298958937465/3534897693193043889 769900719171879212/5042869452247426726
2217450425689113190/6797507680974655285 562106463007911879/1254990762910327245
3851905797716739533/8890644960413079753 2094591722160865503/7536760214267507648
2021330134142787929/2775554541073833558 3445428117281891084/5470165683839523154
3423668292797166205/6336659364761628507 764441208569036320/5860906757377295093
