250
5149012669718323/9765625000000000 -8297897334126591/9765625000000000
-4666118261787627/4882812500000000 5753883248267393/19531250000000000
-615217276902351/1220703125000000 -8434685802178987/9765625000000000
5215133432915419/9765625000000000 1032062671588377/1220703125000000
8021514625308111/9765625000000000 -5569805630055061/9765625000000000
-5685484356806051/19531250000000000 -467135549246023/488281250000000
-5672077913659569/9765625000000000 9936907512369/12207031250000
566601307666121/610351562500000 -3630695377925789/9765625000000000
-55478859811371/76293945312500 -6703659774548267/9765625000000000
3944607693839293/19531250000000000 1195548051470871/1220703125000000
6351943503735787/19531250000000000 -4617375744726711/4882812500000000
-7730701024978059/9765625000000000 -5966883047540667/9765625000000000
7894547280995687/9765625000000000 143708809030511/244140625000000
4870906436271981/4882812500000000 -1363104687046083/19531250000000000
-2133276448055771/2441406250000000 -4749056451481059/9765625000000000
157550913918869/195312500000000 721453669780541/1220703125000000
4823665318176409/9765625000000000 -8491153310289897/9765625000000000
4059410466017211/4882812500000000 169593316156463/305175781250000
2708265362308807/9765625000000000 -2345643972984063/2441406250000000
2890606455176313/4882812500000000 157410303253373/195312500000000
-355332744134117/488281250000000 669797641225111/976562500000000
1215537995108827/1220703125000000 -7179277366291597/78125000000000000
-4652749519737247/9765625000000000 214649938194741/244140625000000
631049591891907/4882812500000000 -193674507657479/195312500000000
388446718490391/1220703125000000 -4628996031588383/4882812500000000
-1404673583772687/1953125000000000 -424078664563439/610351562500000
-4641231263016459/4882812500000000 -3033697594260109/9765625000000000
1736109068165499/2441406250000000 6866020426386843/9765625000000000
-1739222881034989/2441406250000000 3426700014663329/4882812500000000
2387469039659749/2441406250000000 -816558337931443/3906250000000000
-1697240642994597/1953125000000000 -966473727212637/1953125000000000
-184187661867893/305175781250000 -3893203519642887/4882812500000000
-4320264445051597/4882812500000000 -4550680404062349/9765625000000000
-4854846922978599/4882812500000000 -4174737468930821/39062500000000000
-1672995547063959/1953125000000000 157478232400263/305175781250000
1849527563392109/2441406250000000 1593647473499679/2441406250000000
-3585484765637507/4882812500000000 -6629074416700299/9765625000000000
-2085070245204591/9765625000000000 477021785962621/488281250000000
143993268127643/195312500000000 824737443783501/1220703125000000
4420780295268819/4882812500000000 2073296768704177/4882812500000000
7205126164446361/78125000000000000 4862002618341481/4882812500000000
1676799055434559/1953125000000000 -5007599707741153/9765625000000000
-2849325436825919/4882812500000000 3965249357255233/4882812500000000
1285607951983471/1953125000000000 -7351716567275063/9765625000000000
947171246263051/1953125000000000 8540438946385453/9765625000000000
-4877866538407963/4882812500000000 -878871491276593/19531250000000000
-2439527035330613/2441406250000000 6129423184742197/156250000000000000
-1799426067141167/3906250000000000 -8667776131811749/9765625000000000
-5310722890235499/39062500000000000 -4837475982875019/4882812500000000
114407803170533/122070312500000 -1362168912419163/3906250000000000
7485972187441937/19531250000000000 -28186995343119/30517578125000
-5814811728926869/9765625000000000 7845724708257327/9765625000000000
8702392427708457/9765625000000000 8862459630325547/19531250000000000
4573850657207799/19531250000000000 -474703602740739/488281250000000
3924623374883671/4882812500000000 -5810056548940967/9765625000000000
-3892988233017191/4882812500000000 5894573955001647/9765625000000000
4868779484548739/4882812500000000 1479698569269127/19531250000000000
