250
-4820813411895259/4882812500000000 -387819532078723/2441406250000000
1219311618039179/1220703125000000 1864613804365921/39062500000000000
114968826002121/122070312500000 1312909047626181/3906250000000000
-3626883815212457/19531250000000000 -4797886516174661/4882812500000000
1314935189496907/2441406250000000 -4114078232100987/4882812500000000
3726459762172473/4882812500000000 78880271420781/122070312500000
-1128866390524761/1953125000000000 -3984625090557923/4882812500000000
-756954171025323/15625000000000000 304817458626819/305175781250000
-519872510977357/976562500000000 1653368547827553/1953125000000000
584547998865989/610351562500000 702369325844563/2441406250000000
-2507947322458159/4882812500000000 8379035299586989/9765625000000000
4881764522886023/4882812500000000 -6474147519355199/312500000000000000
192180802431001/195312500000000 435443709268661/2441406250000000
2969985657757927/4882812500000000 7751398093987553/9765625000000000
-240253762302523/244140625000000 1735637969104579/9765625000000000
-7304009826149603/19531250000000000 90570575660919/97656250000000
-8451906874925723/9765625000000000 -2446053035923807/4882812500000000
-2051072848261343/2441406250000000 1324222280685597/2441406250000000
-3407509746835893/4882812500000000 6994493615802259/9765625000000000
-1204967291156451/1220703125000000 -1250376348895301/7812500000000000
1205725895616601/7812500000000000 -2412155523387281/2441406250000000
7513135408013489/39062500000000000 -2395822945930171/2441406250000000
-4073471017272119/19531250000000000 2387717792533359/2441406250000000
-243460659958373/244140625000000 -582674070039739/7812500000000000
7077728103037581/9765625000000000 -3364267993936313/4882812500000000
-901674501260051/1220703125000000 3291441539902427/4882812500000000
-8970957086984533/19531250000000000 1734911108691111/1953125000000000
1470276024718667/1953125000000000 -6428424528534333/9765625000000000
-296256640012953/305175781250000 -2343715632669251/9765625000000000
-1195491266224203/1953125000000000 7722528565836859/9765625000000000
646368295291111/1220703125000000 1656849363805203/1953125000000000
-663777112160847/976562500000000 716292022695811/976562500000000
4843188349657789/4882812500000000 -310396729966391/2441406250000000
3677799597917697/9765625000000000 -452330691414427/488281250000000
4921772942057/15258789062500 4621832513570371/4882812500000000
1458613325953057/9765625000000000 2414019972032869/2441406250000000
4212456531898581/78125000000000000 -12189273543799/12207031250000
644001870440491/976562500000000 1835306356026493/2441406250000000
8371589828150771/9765625000000000 628538923190963/1220703125000000
-4534888122897473/39062500000000000 -606224567758037/610351562500000
3467171242135401/4882812500000000 -6876214507377009/9765625000000000
-8931881960131839/9765625000000000 -7896560337487811/19531250000000000
4924990943726629/156250000000000000 1220096585917501/1220703125000000
8102788709439169/19531250000000000 88855858232967/97656250000000
-996131810398273/3906250000000000 4721379313626981/4882812500000000
-8087372339090983/19531250000000000 -8889096343433989/9765625000000000
2458246197882921/4882812500000000 4218872306760471/4882812500000000
-8327366676268199/39062500000000000 -4770570377469583/4882812500000000
3291540953096461/19531250000000000 4812973903397649/4882812500000000
-8576379354080511/19531250000000000 -2193439948664403/2441406250000000
1362797382763297/39062500000000000 19519360194071/19531250000000
10133164206073/48828125000000 191060399839983/195312500000000
-6732672493391657/9765625000000000 -7073793376778287/9765625000000000
1629281722048179/2441406250000000 -909107467208743/1220703125000000
-5561434551102197/19531250000000000 1170169879988563/1220703125000000
1131859707209937/1220703125000000 457175811454851/1220703125000000
-8812937817909963/9765625000000000 1051771085427973/2441406250000000
6912155797143811/39062500000000000 75089998504389/76293945312500
-24802628685883/39062500000000 -7544486880001407/9765625000000000
6580155544957867/9765625000000000 -7215884190089613/9765625000000000
4770585193587257/9765625000000000 -8521088460481503/9765625000000000
