100
4857807422789841/4882812500000000 7896368027802939/78125000000000000
7987940786566279/19531250000000000 -4455772439718021/4882812500000000
8063835178487199/9765625000000000 5508356729081489/9765625000000000
1350166471486343/19531250000000000 -4871131651511883/4882812500000000
-7061096843265323/39062500000000000 -4802375417469249/4882812500000000
-4552765663712447/4882812500000000 -7058818849045173/19531250000000000
875323147597011/976562500000000 8659877682441277/19531250000000000
3649463413726533/39062500000000000 4861456062490871/4882812500000000
-595935566857911/1220703125000000 8522823643046029/9765625000000000
-4515898655688391/4882812500000000 -7428073496360181/19531250000000000
-4785091418794639/4882812500000000 3887946550937479/19531250000000000
4880015019207159/4882812500000000 -5288364038911683/156250000000000000
-8286497628974157/19531250000000000 8843128456710127/9765625000000000
-118183987378369/122070312500000 4889057355221719/19531250000000000
-3083351331505211/4882812500000000 -1893066459257393/2441406250000000
59810716642721/156250000000000 451091781848453/488281250000000
4512132504806291/9765625000000000 -4330360605645201/4882812500000000
5944912669376633/19531250000000000 -4651127147772793/4882812500000000
355219013111893/390625000000000 -406258410288427/976562500000000
1078387898968223/7812500000000000 -38688575765127/39062500000000
-1696728974467571/62500000000000000 4881012862599657/4882812500000000
-1202204774476923/1220703125000000 -3387309950398993/19531250000000000
-1533985227828301/2441406250000000 -7597214013932863/9765625000000000
-19073485618573/19073486328125 2727671504575593/10000000000000000000
-8111572978213849/19531250000000000 1776716382492183/1953125000000000
5333111941737051/19531250000000000 4697257468322617/4882812500000000
2607407601611553/19531250000000000 1209776503380309/1220703125000000
5948065533748587/78125000000000000 -486864013892669/488281250000000
-155876558984599/781250000000000 -2392317743962401/2441406250000000
8202530904205087/9765625000000000 -1059922985998237/1953125000000000
7987476574170699/9765625000000000 2809254777414257/4882812500000000
3758130590121303/4882812500000000 3117420789330621/4882812500000000
-352738916198763/4882812500000000 152189210613959/152587890625000
8574182453961911/9765625000000000 -4674486804644623/9765625000000000
3868004464567333/9765625000000000 560433611083837/610351562500000
-8554540610441417/9765625000000000 2355168071759083/4882812500000000
1177437717389517/7812500000000000 -1206759897407893/1220703125000000
151324360396949/244140625000000 -1532696086787617/1953125000000000
-3001173575194379/78125000000000000 -4879208352705143/4882812500000000
-4737061193317359/4882812500000000 -947285523477847/3906250000000000
-8388919534334427/9765625000000000 -124983650648513/244140625000000
-8094413265820357/9765625000000000 -5463323669959197/9765625000000000
-8292528023378861/9765625000000000 -515765553542511/976562500000000
-8734106171055637/19531250000000000 -8734774123513839/9765625000000000
8720882076042047/39062500000000000 -4759571150038377/4882812500000000
-249192166661367/305175781250000 1127481690370699/1953125000000000
2332013666176429/4882812500000000 8579876495829673/9765625000000000
-5151102378654093/9765625000000000 8296600263074577/9765625000000000
-4862112398051409/4882812500000000 -7186136677727687/78125000000000000
-5034346518186449/78125000000000000 -487266409586703/488281250000000
-7028200011190851/39062500000000000 2401564684329437/2441406250000000
-590867953660121/610351562500000 -152983957275567/610351562500000
2462264328475897/4882812500000000 -421652846389911/488281250000000
-8832145704112021/9765625000000000 1666643760470033/3906250000000000
-2428812810978319/4882812500000000 847177106380569/976562500000000
-738407115223551/2441406250000000 4654124798381021/4882812500000000
5085963931098713/19531250000000000 2357178853570457/2441406250000000
-480033586812451/610351562500000 603131636185751/976562500000000
1687757981841621/2441406250000000 1764068443192883/2441406250000000
4868156539452177/4882812500000000 -6048546378394277/78125000000000000
1939904574997943/2441406250000000 118584578220033/195312500000000
-8588441263085697/39062500000000000 -1190833144093171/1220703125000000
-8197320752372817/19531250000000000 8863882600830433/9765625000000000
-2989655608290093/9765625000000000 -290523152490893/305175781250000
-60997254001269/61035156250000 5505668370970119/156250000000000000
-119865615073459/152587890625000 -604293500113019/976562500000000
1869887307366271/2441406250000000 6278835478385563/9765625000000000
7934808461249603/9765625000000000 5692648445487101/9765625000000000
4378295248406937/9765625000000000 -872914442304641/976562500000000
-4646360253658081/4882812500000000 -6004257560608363/19531250000000000
1834822924769391/9765625000000000 -599481730836643/610351562500000
-6930368685403451/19531250000000000 -913016588631991/976562500000000
2160514098422983/2441406250000000 4547778900614387/9765625000000000
4146083838884769/4882812500000000 -5158234857427407/9765625000000000
-595309197959271/610351562500000 -8618875193293309/39062500000000000
1197098156381407/1220703125000000 -7644727224300059/39062500000000000
6243674162283931/9765625000000000 -7508925661894187/9765625000000000
-4701230576630903/4882812500000000 -1319200127163017/4882812500000000
-4541220223053211/9765625000000000 -1729100928533179/1953125000000000
4628757214442251/4882812500000000 6217992679191653/19531250000000000
1212607442328781/1220703125000000 8982670791755479/78125000000000000
-4355239571267021/4882812500000000 8830625062384747/19531250000000000
1391968106021593/39062500000000000 -243985569745059/244140625000000
1680286677753337/1953125000000000 -4978287723177653/9765625000000000
-107300122894511/152587890625000 6943262041439263/9765625000000000
6161479097470669/19531250000000000 -2316739026539823/2441406250000000
3883590079066279/9765625000000000 -8960198643914261/9765625000000000
144780325518671/152587890625000 3083791840633151/9765625000000000
690447376681369/3906250000000000 -300370777978671/305175781250000
4962303355333259/39062500000000000 151351660073531/152587890625000
516345400504809/976562500000000 4144459385082023/4882812500000000
4721455575401529/4882812500000000 4979502239647767/19531250000000000
1353282227052829/2441406250000000 1625613325040269/1953125000000000
1315875194975931/1953125000000000 11275929690507/15258789062500
2434054189415161/2441406250000000 -1211692252385477/15625000000000000
983154183292113/2441406250000000 8938789474566927/9765625000000000
8290047253311269/78125000000000000 -194209788977311/195312500000000
385251067900657/976562500000000 448680267865563/488281250000000
2988446787363149/4882812500000000 -7722964122473993/9765625000000000
354556280001027/4882812500000000 4869922766786767/4882812500000000
