100
-4634009602704671/4882812500000000 6155079739138583/19531250000000000
278807122912061/610351562500000 -4343606745070297/4882812500000000
1973352644452127/19531250000000000 242891309894703/244140625000000
-1287747421680581/1953125000000000 -7342349493826919/9765625000000000
8279621641884329/9765625000000000 2589174439269477/4882812500000000
-8970834029100143/9765625000000000 1543583802089871/3906250000000000
-5890723641122873/9765625000000000 1947222487039891/2441406250000000
-6403984851705961/39062500000000000 -2408373968661481/2441406250000000
4884087295585229/9765625000000000 2114135800536001/2441406250000000
84745088491071/152587890625000 -4060513066871743/4882812500000000
30109020716997/30517578125000 -6370420744009683/39062500000000000
4117801486238843/4882812500000000 -1312018371640183/2441406250000000
-92188504048707/152587890625000 7781816843058711/9765625000000000
1097142302692491/1220703125000000 -8562539989921817/19531250000000000
7551894901061477/9765625000000000 -6191632663841313/9765625000000000
-4863662232433341/4882812500000000 -6912437003922061/78125000000000000
-591014242930027/610351562500000 -1219342629453451/4882812500000000
2017035633895891/2441406250000000 687755721374469/1220703125000000
-266767227177409/305175781250000 4742860324825041/9765625000000000
344896312644723/19531250000000000 -4882051138456203/4882812500000000
1200365484008559/1220703125000000 7100743338983581/39062500000000000
-3950491156292321/4882812500000000 179359510810041/305175781250000
-800417407971873/1953125000000000 8907902725446361/9765625000000000
3552846593750069/4882812500000000 -6698996638731739/9765625000000000
7146155666805441/9765625000000000 6655816315555101/9765625000000000
4896408678431313/9765625000000000 4224707495626399/4882812500000000
6459767525473013/9765625000000000 -915481730749149/1220703125000000
1064551740320533/19531250000000000 609444271827667/610351562500000
-85638380590883/97656250000000 -117335281720631/244140625000000
4922222330619249/78125000000000000 -4873111554236273/4882812500000000
-75834252192339/76293945312500 2140813462350471/19531250000000000
-671952089579603/1953125000000000 -4584742123973963/4882812500000000
-4855517691488189/4882812500000000 -206225452474307/1953125000000000
-4516886641105701/4882812500000000 -1483691176827761/3906250000000000
4352181612653431/9765625000000000 8742193480534869/9765625000000000
-1958422674679969/2441406250000000 58310137778447/97656250000000
1220012717941907/1220703125000000 525437652771963/15625000000000000
3523975104677453/4882812500000000 1351944222031059/1953125000000000
-304720768802043/976562500000000 -1159754533206099/1220703125000000
2398098332606043/2441406250000000 -1464988045834389/7812500000000000
4694716244742979/4882812500000000 -5368794712413777/19531250000000000
2154304571966337/2441406250000000 -4594668717100723/9765625000000000
-4979259216027689/9765625000000000 -8400857652658347/9765625000000000
4832490201279729/19531250000000000 4730993322079911/4882812500000000
-8274644036132151/9765625000000000 -5186299038421099/9765625000000000
-6391099932787109/9765625000000000 7383852198531171/9765625000000000
-2829625165211301/4882812500000000 7958663037108473/9765625000000000
-5718564094445291/9765625000000000 7916151611632139/9765625000000000
497055903711453/610351562500000 1416838499938689/2441406250000000
4706910770815243/4882812500000000 -2597574950402547/9765625000000000
-8477284546688003/9765625000000000 -2423998677552743/4882812500000000
-8498846794665421/78125000000000000 -2426917176301199/2441406250000000
-3914456640395103/19531250000000000 4783740402217747/4882812500000000
-6887160536737163/9765625000000000 -1384694210023791/1953125000000000
5387589990943739/9765625000000000 -4072508616630167/4882812500000000
-2870287270510641/4882812500000000 -790020478086507/976562500000000
-8439275656069639/9765625000000000 4913863860700189/9765625000000000
60403454410881/61035156250000 1401375266864691/9765625000000000
-4815786229840517/4882812500000000 -1290021666680391/7812500000000000
-4221051134485007/4882812500000000 613625762895181/1220703125000000
-1739548390100619/4882812500000000 4562436773113091/4882812500000000
4875100853786359/4882812500000000 351125197914103/6250000000000000
3727518142440901/19531250000000000 958612715151789/976562500000000
1262079448184651/3906250000000000 -577616848656447/610351562500000
-634361019886157/1953125000000000 -4618091706859281/4882812500000000
981409788571723/4882812500000000 4783167646764209/4882812500000000
6893883724052527/9765625000000000 -1729194155522101/2441406250000000
-1214711579432621/1953125000000000 7647177656523529/9765625000000000
-2898991544654311/9765625000000000 466270521437523/488281250000000
4592073928442139/9765625000000000 344744052714699/390625000000000
1375940079555781/2441406250000000 -2016743259567537/2441406250000000
3335801042344713/4882812500000000 -285256816960977/390625000000000
-3108906348920373/39062500000000000 973464691053187/976562500000000
-1890198039572067/2441406250000000 -3090382402704867/4882812500000000
1690536561050417/9765625000000000 -300568338241893/305175781250000
31536264914503/38146972656250 -5494499070235933/9765625000000000
-2081958907877133/4882812500000000 2208353742953521/2441406250000000
-7354705575465859/9765625000000000 -1606154910392293/2441406250000000
2542347138130111/9765625000000000 -4714443304088687/4882812500000000
4715685766818351/4882812500000000 -1266556614914261/4882812500000000
3226119030300849/4882812500000000 -7330488090840053/9765625000000000
2555693217529167/4882812500000000 8321127348630511/9765625000000000
