fp1, fp2, fp3, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, n-100, test 1, 100, 1007, 4, False, 9, True
BigRandom, n-100, test 2, 100, 1007, 1, False, 3, True
BigRandom, n-100, test 3, 100, 1007, 1, False, 4, True
BigRandom, n-100, test 4, 100, 1013, 1, False, 3, True
BigRandom, n-100, test 5, 100, 1010, 1, False, 3, True
BigRandom, n-1000, test 1, 1000, 1013, 13, False, 45, True
BigRandom, n-1000, test 2, 1000, 1014, 15, False, 46, True
BigRandom, n-1000, test 3, 1000, 1013, 9, False, 30, True
BigRandom, n-1000, test 4, 1000, 1011, 9, False, 30, True
BigRandom, n-1000, test 5, 1000, 1008, 9, False, 29, True
CircleRandom, n-100, test 1, 100, 1066, 0, False, 1, True
CircleRandom, n-100, test 2, 100, 1079, 0, False, 1, True
CircleRandom, n-100, test 3, 100, 1069, 0, False, 1, False
CircleRandom, n-100, test 4, 100, 1066, 0, False, 1, True
CircleRandom, n-100, test 5, 100, 1066, 0, False, 1, True
CircleRandom, n-1000, test 1, 1000, 1713, 14, False, 35, False
CircleRandom, n-1000, test 2, 1000, 1749, 15, False, 17, True
CircleRandom, n-1000, test 3, 1000, 1749, 6, False, 13, True
CircleRandom, n-1000, test 4, 1000, 1777, 7, False, 15, True
CircleRandom, n-1000, test 5, 1000, 1792, 7, False, 13, True
DisturbedRandom, n-100, test 1, 100, 1080, 0, False, 1, True
DisturbedRandom, n-100, test 2, 100, 1063, 1, False, 2, True
DisturbedRandom, n-100, test 3, 100, 1101, 0, False, 1, False
DisturbedRandom, n-100, test 4, 100, 1093, 0, False, 1, True
DisturbedRandom, n-100, test 5, 100, 1088, 0, False, 1, True
DisturbedRandom, n-1000, test 1, 1000, 1844, 11, False, 18, False
DisturbedRandom, n-1000, test 2, 1000, 1848, 9, False, 36, False
DisturbedRandom, n-1000, test 3, 1000, 1837, 15, False, 30, False
DisturbedRandom, n-1000, test 4, 1000, 1777, 11, False, 24, False
DisturbedRandom, n-1000, test 5, 1000, 1805, 9, False, 21, True
UnitRandom, n-100, test 1, 100, 1010, 0, False, 1, True
UnitRandom, n-100, test 2, 100, 1014, 0, False, 1, True
UnitRandom, n-100, test 3, 100, 1013, 0, False, 1, True
UnitRandom, n-100, test 4, 100, 1011, 0, False, 1, True
UnitRandom, n-100, test 5, 100, 1014, 0, False, 1, True
UnitRandom, n-1000, test 1, 1000, 1014, 8, False, 20, True
UnitRandom, n-1000, test 2, 1000, 1019, 10, False, 22, True
UnitRandom, n-1000, test 3, 1000, 1017, 9, False, 20, True
UnitRandom, n-1000, test 4, 1000, 1018, 5, False, 17, True
UnitRandom, n-1000, test 5, 1000, 1018, 5, False, 14, True
