fp1, fp2, fp3, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, n-100, test 1, 100, 7, 12, True, 9, True
BigRandom, n-100, test 2, 100, 7, 7, True, 4, True
BigRandom, n-100, test 3, 100, 7, 7, True, 4, True
BigRandom, n-100, test 4, 100, 13, 13, True, 4, True
BigRandom, n-100, test 5, 100, 10, 10, True, 4, True
BigRandom, n-1000, test 1, 1000, 13, 141, True, 47, True
BigRandom, n-1000, test 2, 1000, 14, 102, True, 38, True
BigRandom, n-1000, test 3, 1000, 13, 99, True, 33, True
BigRandom, n-1000, test 4, 1000, 11, 81, True, 31, True
BigRandom, n-1000, test 5, 1000, 8, 60, True, 30, True
CircleRandom, n-100, test 1, 100, 100, 16, True, 1, True
CircleRandom, n-100, test 2, 100, 100, 16, True, 0, True
CircleRandom, n-100, test 3, 100, 100, 16, True, 1, True
CircleRandom, n-100, test 4, 100, 100, 16, True, 1, True
CircleRandom, n-100, test 5, 100, 100, 23, True, 1, True
CircleRandom, n-1000, test 1, 1000, 1000, 1639, True, 11, True
CircleRandom, n-1000, test 2, 1000, 1000, 1773, True, 11, True
CircleRandom, n-1000, test 3, 1000, 1000, 1636, True, 11, True
CircleRandom, n-1000, test 4, 1000, 1000, 1692, True, 10, True
CircleRandom, n-1000, test 5, 1000, 1000, 1621, True, 11, True
DisturbedRandom, n-100, test 1, 100, 79, 16, True, 1, True
DisturbedRandom, n-100, test 2, 100, 77, 16, True, 1, True
DisturbedRandom, n-100, test 3, 100, 74, 16, True, 1, True
DisturbedRandom, n-100, test 4, 100, 77, 16, True, 1, True
DisturbedRandom, n-100, test 5, 100, 76, 16, True, 1, True
DisturbedRandom, n-1000, test 1, 1000, 225, 726, True, 13, True
DisturbedRandom, n-1000, test 2, 1000, 227, 689, True, 14, True
DisturbedRandom, n-1000, test 3, 1000, 238, 700, True, 14, True
DisturbedRandom, n-1000, test 4, 1000, 230, 677, True, 13, True
DisturbedRandom, n-1000, test 5, 1000, 217, 644, True, 14, True
UnitRandom, n-100, test 1, 100, 10, 4, True, 1, True
UnitRandom, n-100, test 2, 100, 14, 5, True, 1, True
UnitRandom, n-100, test 3, 100, 13, 4, True, 1, True
UnitRandom, n-100, test 4, 100, 11, 4, True, 1, True
UnitRandom, n-100, test 5, 100, 14, 5, True, 1, True
UnitRandom, n-1000, test 1, 1000, 14, 49, True, 13, True
UnitRandom, n-1000, test 2, 1000, 19, 64, True, 14, True
UnitRandom, n-1000, test 3, 1000, 17, 56, True, 14, True
UnitRandom, n-1000, test 4, 1000, 18, 60, True, 15, True
UnitRandom, n-1000, test 5, 1000, 18, 63, True, 14, True
BigRandom, n-100, test 1, 100, 10, 7, True, 2, True
BigRandom, n-100, test 2, 100, 7, 5, True, 3, True
BigRandom, n-100, test 3, 100, 10, 7, True, 2, True
BigRandom, n-100, test 4, 100, 9, 6, True, 2, True
BigRandom, n-100, test 5, 100, 8, 5, True, 2, True
BigRandom, n-1000, test 1, 1000, 15, 111, True, 30, True
BigRandom, n-1000, test 2, 1000, 11, 83, True, 31, True
BigRandom, n-1000, test 3, 1000, 15, 109, True, 30, True
BigRandom, n-1000, test 4, 1000, 10, 76, True, 31, True
BigRandom, n-1000, test 5, 1000, 11, 81, True, 29, True
CircleRandom, n-100, test 1, 100, 100, 16, True, 1, True
CircleRandom, n-100, test 2, 100, 100, 16, True, 0, True
CircleRandom, n-100, test 3, 100, 100, 16, True, 1, True
CircleRandom, n-100, test 4, 100, 100, 16, True, 1, True
CircleRandom, n-100, test 5, 100, 100, 16, True, 0, True
CircleRandom, n-1000, test 1, 1000, 1000, 1741, True, 15, True
CircleRandom, n-1000, test 2, 1000, 1000, 1731, True, 11, True
CircleRandom, n-1000, test 3, 1000, 1000, 1761, True, 11, True
CircleRandom, n-1000, test 4, 1000, 1000, 1674, True, 11, True
CircleRandom, n-1000, test 5, 1000, 1000, 1617, True, 11, True
DisturbedRandom, n-100, test 1, 100, 76, 16, True, 1, True
DisturbedRandom, n-100, test 2, 100, 79, 16, True, 1, True
DisturbedRandom, n-100, test 3, 100, 74, 15, True, 1, True
DisturbedRandom, n-100, test 4, 100, 76, 15, True, 1, True
DisturbedRandom, n-100, test 5, 100, 76, 15, True, 1, True
DisturbedRandom, n-1000, test 1, 1000, 244, 728, True, 13, True
DisturbedRandom, n-1000, test 2, 1000, 236, 704, True, 13, True
DisturbedRandom, n-1000, test 3, 1000, 222, 658, True, 13, True
DisturbedRandom, n-1000, test 4, 1000, 231, 686, True, 13, True
DisturbedRandom, n-1000, test 5, 1000, 220, 654, True, 13, True
UnitRandom, n-100, test 1, 100, 15, 4, True, 1, True
UnitRandom, n-100, test 2, 100, 13, 3, True, 1, True
UnitRandom, n-100, test 3, 100, 12, 3, True, 1, True
UnitRandom, n-100, test 4, 100, 9, 2, True, 1, True
UnitRandom, n-100, test 5, 100, 9, 2, True, 1, True
UnitRandom, n-1000, test 1, 1000, 18, 58, True, 13, True
UnitRandom, n-1000, test 2, 1000, 17, 57, True, 13, True
UnitRandom, n-1000, test 3, 1000, 19, 62, True, 14, True
UnitRandom, n-1000, test 4, 1000, 17, 55, True, 14, True
UnitRandom, n-1000, test 5, 1000, 20, 67, True, 13, True
BigRandom, n-100, test 1, 100, 9, 6, True, 2, True
BigRandom, n-100, test 2, 100, 6, 4, True, 2, True
BigRandom, n-100, test 3, 100, 13, 8, True, 2, True
BigRandom, n-100, test 4, 100, 8, 5, True, 2, True
BigRandom, n-100, test 5, 100, 9, 6, True, 2, True
BigRandom, n-1000, test 1, 1000, 11, 81, True, 31, True
BigRandom, n-1000, test 2, 1000, 10, 74, True, 30, True
BigRandom, n-1000, test 3, 1000, 8, 60, True, 29, True
BigRandom, n-1000, test 4, 1000, 11, 81, True, 30, True
BigRandom, n-1000, test 5, 1000, 8, 59, True, 29, True
CircleRandom, n-100, test 1, 100, 100, 16, True, 0, True
CircleRandom, n-100, test 2, 100, 100, 16, True, 0, True
CircleRandom, n-100, test 3, 100, 100, 16, True, 0, True
CircleRandom, n-100, test 4, 100, 100, 16, True, 0, True
CircleRandom, n-100, test 5, 100, 100, 16, True, 1, True
CircleRandom, n-1000, test 1, 1000, 1000, 1590, True, 11, True
CircleRandom, n-1000, test 2, 1000, 1000, 1620, True, 10, True
CircleRandom, n-1000, test 3, 1000, 1000, 1632, True, 11, True
CircleRandom, n-1000, test 4, 1000, 1000, 1639, True, 11, True
CircleRandom, n-1000, test 5, 1000, 1000, 1730, True, 11, True
DisturbedRandom, n-100, test 1, 100, 77, 15, True, 1, True
DisturbedRandom, n-100, test 2, 100, 72, 16, True, 1, True
DisturbedRandom, n-100, test 3, 100, 75, 15, True, 1, True
DisturbedRandom, n-100, test 4, 100, 79, 16, True, 1, True
DisturbedRandom, n-100, test 5, 100, 72, 15, True, 1, True
DisturbedRandom, n-1000, test 1, 1000, 241, 757, True, 13, True
DisturbedRandom, n-1000, test 2, 1000, 223, 666, True, 13, True
DisturbedRandom, n-1000, test 3, 1000, 229, 686, True, 14, True
DisturbedRandom, n-1000, test 4, 1000, 225, 734, True, 13, True
DisturbedRandom, n-1000, test 5, 1000, 237, 701, True, 13, True
UnitRandom, n-100, test 1, 100, 12, 3, True, 1, True
UnitRandom, n-100, test 2, 100, 10, 3, True, 1, True
UnitRandom, n-100, test 3, 100, 14, 4, True, 1, True
UnitRandom, n-100, test 4, 100, 13, 4, True, 1, True
UnitRandom, n-100, test 5, 100, 14, 4, True, 1, True
UnitRandom, n-1000, test 1, 1000, 17, 58, True, 14, True
UnitRandom, n-1000, test 2, 1000, 18, 60, True, 14, True
UnitRandom, n-1000, test 3, 1000, 20, 66, True, 14, True
UnitRandom, n-1000, test 4, 1000, 21, 71, True, 14, True
UnitRandom, n-1000, test 5, 1000, 18, 62, True, 14, True
