fp1, fp2, fp3, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, n-100, test 1, 100, 11007, 31484, True, 11, True
BigRandom, n-100, test 2, 100, 10007, 9, True, 4, True
BigRandom, n-100, test 3, 100, 8007, 7, True, 4, True
BigRandom, n-100, test 4, 100, 14013, 13, False, 4, True
BigRandom, n-100, test 5, 100, 14010, 13, True, 4, True
BigRandom, n-1000, test 1, 1000, 20013, 229, True, 31, True
BigRandom, n-1000, test 2, 1000, 9014, 61, True, 30, True
BigRandom, n-1000, test 3, 1000, 14013, 104, False, 30, True
BigRandom, n-1000, test 4, 1000, 17011, 118, True, 32, True
BigRandom, n-1000, test 5, 1000, 10008, 72, False, 30, True
CircleRandom, n-100, test 1, 100, 98066, 15, False, 1, True
CircleRandom, n-100, test 2, 100, 99079, 17, False, 1, True
CircleRandom, n-100, test 3, 100, 100069, 16, False, 1, False
CircleRandom, n-100, test 4, 100, 98066, 15, False, 1, True
CircleRandom, n-100, test 5, 100, 99066, 26, False, 2, True
CircleRandom, n-1000, test 1, 1000, 1000713, 1622, False, 13, False
CircleRandom, n-1000, test 2, 1000, 996749, 1598, False, 12, True
CircleRandom, n-1000, test 3, 1000, 997749, 1689, False, 13, True
CircleRandom, n-1000, test 4, 1000, 999777, 1665, False, 12, True
CircleRandom, n-1000, test 5, 1000, 1000792, 1678, False, 12, True
DisturbedRandom, n-100, test 1, 100, 100080, 28, False, 1, True
DisturbedRandom, n-100, test 2, 100, 99063, 40, False, 3, True
DisturbedRandom, n-100, test 3, 100, 98101, 32, False, 1, False
DisturbedRandom, n-100, test 4, 100, 99093, 29, False, 6, True
DisturbedRandom, n-100, test 5, 100, 100088, 34, False, 1, True
DisturbedRandom, n-1000, test 1, 1000, 999844, 2427, False, 17, False
DisturbedRandom, n-1000, test 2, 1000, 998848, 2474, False, 18, False
DisturbedRandom, n-1000, test 3, 1000, 991837, 2447, False, 17, False
DisturbedRandom, n-1000, test 4, 1000, 999777, 2464, False, 18, False
DisturbedRandom, n-1000, test 5, 1000, 998805, 2480, False, 18, True
UnitRandom, n-100, test 1, 100, 3010, 1, True, 1, True
UnitRandom, n-100, test 2, 100, 13014, 5, False, 1, True
UnitRandom, n-100, test 3, 100, 6013, 1, True, 1, True
UnitRandom, n-100, test 4, 100, 7011, 1, True, 1, True
UnitRandom, n-100, test 5, 100, 16014, 5, True, 1, True
UnitRandom, n-1000, test 1, 1000, 8014, 51, True, 20, True
UnitRandom, n-1000, test 2, 1000, 16019, 52, True, 14, True
UnitRandom, n-1000, test 3, 1000, 25017, 79, False, 14, True
UnitRandom, n-1000, test 4, 1000, 27018, 16539, True, 13, True
UnitRandom, n-1000, test 5, 1000, 14018, 43, False, 14, True
