fp1, fp2, fp3, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, n-100, test 1, 100, 7, 11, True, 8, True
BigRandom, n-100, test 2, 100, 7, 10, True, 4, True
BigRandom, n-100, test 3, 100, 7, 8, True, 4, True
BigRandom, n-100, test 4, 100, 13, 13, True, 4, True
BigRandom, n-100, test 5, 100, 10, 11, True, 4, True
BigRandom, n-1000, test 1, 1000, 13, 153, True, 30, True
BigRandom, n-1000, test 2, 1000, 14, 108, True, 36, True
BigRandom, n-1000, test 3, 1000, 13, 107, True, 32, True
BigRandom, n-1000, test 4, 1000, 11, 90, True, 31, True
BigRandom, n-1000, test 5, 1000, 8, 63, True, 30, True
CircleRandom, n-100, test 1, 100, 98, 16, False, 1, True
CircleRandom, n-100, test 2, 100, 99, 16, False, 1, True
CircleRandom, n-100, test 3, 100, 100, 17, False, 1, False
CircleRandom, n-100, test 4, 100, 97, 17, False, 1, True
CircleRandom, n-100, test 5, 100, 100, 16, False, 1, True
CircleRandom, n-1000, test 1, 1000, 998, 1660, False, 11, False
CircleRandom, n-1000, test 2, 1000, 997, 1616, False, 11, True
CircleRandom, n-1000, test 3, 1000, 999, 1603, False, 11, True
CircleRandom, n-1000, test 4, 1000, 998, 1632, False, 11, True
CircleRandom, n-1000, test 5, 1000, 1000, 1611, False, 11, True
DisturbedRandom, n-100, test 1, 100, 100, 27, False, 1, True
DisturbedRandom, n-100, test 2, 100, 99, 27, False, 1, True
DisturbedRandom, n-100, test 3, 100, 101, 24, False, 1, False
DisturbedRandom, n-100, test 4, 100, 99, 24, False, 1, True
DisturbedRandom, n-100, test 5, 100, 98, 24, False, 1, True
DisturbedRandom, n-1000, test 1, 1000, 995, 2427, False, 16, False
DisturbedRandom, n-1000, test 2, 1000, 999, 2407, False, 16, False
DisturbedRandom, n-1000, test 3, 1000, 995, 2427, False, 17, False
DisturbedRandom, n-1000, test 4, 1000, 997, 2546, False, 17, False
DisturbedRandom, n-1000, test 5, 1000, 996, 2496, False, 16, True
UnitRandom, n-100, test 1, 100, 10, 4, True, 2, True
UnitRandom, n-100, test 2, 100, 14, 7, True, 1, True
UnitRandom, n-100, test 3, 100, 13, 7, True, 1, True
UnitRandom, n-100, test 4, 100, 11, 4, True, 1, True
UnitRandom, n-100, test 5, 100, 14, 5, True, 1, True
UnitRandom, n-1000, test 1, 1000, 14, 49, True, 13, True
UnitRandom, n-1000, test 2, 1000, 19, 65, True, 12, True
UnitRandom, n-1000, test 3, 1000, 17, 58, True, 16, True
UnitRandom, n-1000, test 4, 1000, 18, 66, True, 12, True
UnitRandom, n-1000, test 5, 1000, 18, 60, True, 12, True
