fp1, fp2, fp3, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, n-100, test 1, 100, 7, 10, True, 9, True
BigRandom, n-100, test 2, 100, 7, 8, True, 3, True
BigRandom, n-100, test 3, 100, 7, 6, True, 4, True
BigRandom, n-100, test 4, 100, 13, 22, True, 6, True
BigRandom, n-100, test 5, 100, 10, 14, True, 4, True
BigRandom, n-1000, test 1, 1000, 13, 138, True, 30, True
BigRandom, n-1000, test 2, 1000, 14, 103, True, 29, True
BigRandom, n-1000, test 3, 1000, 13, 94, True, 31, True
BigRandom, n-1000, test 4, 1000, 11, 80, True, 29, True
BigRandom, n-1000, test 5, 1000, 8, 58, True, 30, True
CircleRandom, n-100, test 1, 100, 98, 15, False, 1, False
CircleRandom, n-100, test 2, 100, 99, 15, False, 0, False
CircleRandom, n-100, test 3, 100, 100, 15, False, 1, False
CircleRandom, n-100, test 4, 100, 97, 16, False, 1, False
CircleRandom, n-100, test 5, 100, 100, 18, False, 1, False
CircleRandom, n-1000, test 1, 1000, 998, 1562, False, 11, False
CircleRandom, n-1000, test 2, 1000, 997, 1532, False, 11, False
CircleRandom, n-1000, test 3, 1000, 999, 1538, False, 14, False
CircleRandom, n-1000, test 4, 1000, 998, 1618, False, 11, False
CircleRandom, n-1000, test 5, 1000, 1000, 1544, False, 11, False
DisturbedRandom, n-100, test 1, 100, 100, 23, False, 1, False
DisturbedRandom, n-100, test 2, 100, 99, 23, False, 1, False
DisturbedRandom, n-100, test 3, 100, 101, 23, False, 1, False
DisturbedRandom, n-100, test 4, 100, 99, 23, False, 1, False
DisturbedRandom, n-100, test 5, 100, 98, 23, False, 2, False
DisturbedRandom, n-1000, test 1, 1000, 995, 2327, False, 16, False
DisturbedRandom, n-1000, test 2, 1000, 999, 2287, False, 16, False
DisturbedRandom, n-1000, test 3, 1000, 995, 2380, False, 16, False
DisturbedRandom, n-1000, test 4, 1000, 997, 2345, False, 16, False
DisturbedRandom, n-1000, test 5, 1000, 996, 2316, False, 16, False
UnitRandom, n-100, test 1, 100, 10, 3, True, 1, True
UnitRandom, n-100, test 2, 100, 14, 4, True, 1, True
UnitRandom, n-100, test 3, 100, 13, 3, True, 1, True
UnitRandom, n-100, test 4, 100, 11, 3, True, 1, True
UnitRandom, n-100, test 5, 100, 14, 4, True, 1, True
UnitRandom, n-1000, test 1, 1000, 14, 43, True, 12, True
UnitRandom, n-1000, test 2, 1000, 19, 58, True, 13, True
UnitRandom, n-1000, test 3, 1000, 17, 52, True, 13, True
UnitRandom, n-1000, test 4, 1000, 18, 56, True, 13, True
UnitRandom, n-1000, test 5, 1000, 18, 59, True, 13, True
