fp1, fp2, fp3, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, n-100, test 1, 100, 7007, 14, True, 9, True
BigRandom, n-100, test 2, 100, 7007, 38, True, 4, True
BigRandom, n-100, test 3, 100, 7007, 8, True, 4, True
BigRandom, n-100, test 4, 100, 13013, 12, True, 5, True
BigRandom, n-100, test 5, 100, 10010, 11, True, 4, True
BigRandom, n-1000, test 1, 1000, 13013, 144, True, 32, True
BigRandom, n-1000, test 2, 1000, 14014, 106, True, 57, True
BigRandom, n-1000, test 3, 1000, 13013, 101, True, 34, True
BigRandom, n-1000, test 4, 1000, 11011, 85, True, 32, True
BigRandom, n-1000, test 5, 1000, 8008, 64, True, 32, True
CircleRandom, n-100, test 1, 100, 98066, 16, False, 1, False
CircleRandom, n-100, test 2, 100, 99079, 16, False, 1, False
CircleRandom, n-100, test 3, 100, 100069, 16, False, 1, False
CircleRandom, n-100, test 4, 100, 98066, 16, False, 1, False
CircleRandom, n-100, test 5, 100, 99066, 16, False, 1, False
CircleRandom, n-1000, test 1, 1000, 1000713, 1636, False, 12, False
CircleRandom, n-1000, test 2, 1000, 996749, 1551, False, 11, False
CircleRandom, n-1000, test 3, 1000, 997749, 1549, False, 11, False
CircleRandom, n-1000, test 4, 1000, 999777, 1556, False, 11, False
CircleRandom, n-1000, test 5, 1000, 1000792, 1617, False, 11, False
DisturbedRandom, n-100, test 1, 100, 100080, 23, False, 1, False
DisturbedRandom, n-100, test 2, 100, 99063, 23, False, 1, False
DisturbedRandom, n-100, test 3, 100, 98101, 23, False, 1, False
DisturbedRandom, n-100, test 4, 100, 99093, 23, False, 1, False
DisturbedRandom, n-100, test 5, 100, 100088, 23, False, 1, False
DisturbedRandom, n-1000, test 1, 1000, 999844, 2361, False, 16, False
DisturbedRandom, n-1000, test 2, 1000, 998848, 2363, False, 17, False
DisturbedRandom, n-1000, test 3, 1000, 991837, 2390, False, 17, False
DisturbedRandom, n-1000, test 4, 1000, 999777, 2472, False, 17, False
DisturbedRandom, n-1000, test 5, 1000, 998805, 2723, False, 18, False
UnitRandom, n-100, test 1, 100, 10010, 3, True, 1, True
UnitRandom, n-100, test 2, 100, 14014, 4, True, 1, True
UnitRandom, n-100, test 3, 100, 13013, 3, True, 1, True
UnitRandom, n-100, test 4, 100, 11011, 3, True, 1, True
UnitRandom, n-100, test 5, 100, 14014, 4, True, 1, True
UnitRandom, n-1000, test 1, 1000, 14014, 50, True, 14, True
UnitRandom, n-1000, test 2, 1000, 19019, 71, True, 13, True
UnitRandom, n-1000, test 3, 1000, 17017, 56, True, 14, True
UnitRandom, n-1000, test 4, 1000, 18018, 65, True, 14, True
UnitRandom, n-1000, test 5, 1000, 18018, 63, True, 13, True
