Distribution, Test Case, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
ConstantHull, test 1, 100, 4, 9, True, 9, True
ConstantHull, test 2, 100, 4, 3, True, 5, True
ConstantHull, test 3, 100, 4, 4, True, 4, True
ConstantHull, test 4, 100, 4, 4, True, 4, True
ConstantHull, test 5, 100, 4, 3, True, 4, True
ConstantHull, test 6, 100, 4, 4, True, 4, True
ConstantHull, test 7, 100, 4, 3, True, 4, True
ConstantHull, test 8, 100, 4, 3, True, 6, True
ConstantHull, test 9, 100, 4, 4, True, 5, True
ConstantHull, test 10, 100, 4, 3, True, 5, True
ConstantHull, test 1, 1000, 4, 17, True, 38, True
ConstantHull, test 2, 1000, 4, 18, True, 45, True
ConstantHull, test 3, 1000, 4, 24, True, 21, True
ConstantHull, test 4, 1000, 4, 14, True, 20, True
ConstantHull, test 5, 1000, 4, 13, True, 17, True
ConstantHull, test 6, 1000, 4, 12, True, 18, True
ConstantHull, test 7, 1000, 4, 13, True, 18, True
ConstantHull, test 8, 1000, 4, 16, True, 21, True
ConstantHull, test 9, 1000, 4, 16, True, 24, True
ConstantHull, test 10, 1000, 4, 12, True, 17, True
ConstantHull, test 1, 1500, 4, 17, True, 24, True
ConstantHull, test 2, 1500, 4, 17, True, 25, True
ConstantHull, test 3, 1500, 4, 17, True, 25, True
ConstantHull, test 4, 1500, 4, 22, True, 28, True
ConstantHull, test 5, 1500, 4, 16, True, 24, True
ConstantHull, test 6, 1500, 4, 17, True, 25, True
ConstantHull, test 7, 1500, 4, 17, True, 24, True
ConstantHull, test 8, 1500, 4, 17, True, 25, True
ConstantHull, test 9, 1500, 4, 16, True, 24, True
ConstantHull, test 10, 1500, 4, 17, True, 28, True
ConstantHull, test 1, 2000, 4, 22, True, 36, True
ConstantHull, test 2, 2000, 4, 22, True, 32, True
ConstantHull, test 3, 2000, 4, 22, True, 40, True
ConstantHull, test 4, 2000, 4, 23, True, 38, True
ConstantHull, test 5, 2000, 4, 27, True, 32, True
ConstantHull, test 6, 2000, 4, 26, True, 42, True
ConstantHull, test 7, 2000, 4, 23, True, 32, True
ConstantHull, test 8, 2000, 4, 23, True, 32, True
ConstantHull, test 9, 2000, 4, 22, True, 31, True
ConstantHull, test 10, 2000, 4, 21, True, 32, True
ConstantHull, test 1, 250, 4, 5, True, 6, True
ConstantHull, test 2, 250, 4, 5, True, 6, True
ConstantHull, test 3, 250, 4, 4, True, 5, True
ConstantHull, test 4, 250, 4, 4, True, 6, True
ConstantHull, test 5, 250, 4, 4, True, 5, True
ConstantHull, test 6, 250, 4, 5, True, 5, True
ConstantHull, test 7, 250, 4, 4, True, 5, True
ConstantHull, test 8, 250, 4, 4, True, 5, True
ConstantHull, test 9, 250, 4, 5, True, 5, True
ConstantHull, test 10, 250, 4, 4, True, 5, True
ConstantHull, test 1, 3000, 4, 46, True, 46, True
ConstantHull, test 2, 3000, 4, 34, True, 47, True
ConstantHull, test 3, 3000, 4, 33, True, 61, True
ConstantHull, test 4, 3000, 4, 35, True, 47, True
ConstantHull, test 5, 3000, 4, 34, True, 55, True
ConstantHull, test 6, 3000, 4, 33, True, 48, True
ConstantHull, test 7, 3000, 4, 34, True, 52, True
ConstantHull, test 8, 3000, 4, 34, True, 46, True
ConstantHull, test 9, 3000, 4, 33, True, 46, True
ConstantHull, test 10, 3000, 4, 33, True, 52, True
ConstantHull, test 1, 500, 4, 8, True, 9, True
ConstantHull, test 2, 500, 4, 8, True, 9, True
ConstantHull, test 3, 500, 4, 7, True, 9, True
ConstantHull, test 4, 500, 4, 6, True, 9, True
ConstantHull, test 5, 500, 4, 7, True, 9, True
ConstantHull, test 6, 500, 4, 6, True, 13, True
ConstantHull, test 7, 500, 4, 6, True, 9, True
ConstantHull, test 8, 500, 4, 7, True, 9, True
ConstantHull, test 9, 500, 4, 6, True, 9, True
ConstantHull, test 10, 500, 4, 7, True, 9, True
