fp1; fp2; fp3; #Points; #Points on CH; #Points on CH; Jarvis March runtime (ms); Jarvis March validity; Graham Scan runtime (ms); Graham Scan validity
serious-tests; BigRandom; n-100; 94; 8; 10; True; 8; True
serious-tests; BigRandom; n-100; 94; 11; 7; True; 3; True
serious-tests; BigRandom; n-100; 94; 9; 7; True; 3; True
serious-tests; BigRandom; n-100; 88; 13; 12; True; 3; True
serious-tests; BigRandom; n-100; 91; 14; 10; True; 3; True
serious-tests; BigRandom; n-1000; 988; 18; 136; True; 50; True
serious-tests; BigRandom; n-1000; 987; 14; 108; True; 34; True
serious-tests; BigRandom; n-1000; 988; 13; 96; True; 29; True
serious-tests; BigRandom; n-1000; 990; 16; 81; True; 29; True
serious-tests; BigRandom; n-1000; 993; 15; 59; True; 29; True
serious-tests; CircleRandom; n-100; 3; 98; 16; False; 0; False
serious-tests; CircleRandom; n-100; 2; 99; 19; False; 0; True
serious-tests; CircleRandom; n-100; 1; 100; 18; False; 0; False
serious-tests; CircleRandom; n-100; 4; 97; 17; False; 0; False
serious-tests; CircleRandom; n-100; 1; 100; 16; False; 0; False
serious-tests; CircleRandom; n-1000; 3; 998; 1613; False; 0; False
serious-tests; CircleRandom; n-1000; 4; 997; 1586; False; 0; True
serious-tests; CircleRandom; n-1000; 2; 999; 1563; False; 0; True
serious-tests; CircleRandom; n-1000; 3; 998; 1647; False; 0; False
serious-tests; CircleRandom; n-1000; 1; 1000; 1580; False; 0; False
serious-tests; DisturbedRandom; n-100; 1; 100; 23; False; 0; False
serious-tests; DisturbedRandom; n-100; 2; 99; 25; False; 0; True
serious-tests; DisturbedRandom; n-100; 3; 98; 24; False; 0; True
serious-tests; DisturbedRandom; n-100; 2; 99; 25; False; 0; True
serious-tests; DisturbedRandom; n-100; 3; 98; 25; False; 0; True
serious-tests; DisturbedRandom; n-1000; 6; 995; 2353; False; 0; True
serious-tests; DisturbedRandom; n-1000; 2; 999; 2308; False; 0; True
serious-tests; DisturbedRandom; n-1000; 6; 995; 2414; False; 0; False
serious-tests; DisturbedRandom; n-1000; 4; 997; 2357; False; 0; False
serious-tests; DisturbedRandom; n-1000; 5; 996; 2384; False; 0; False
serious-tests; UnitRandom; n-100; 91; 13; 3; True; 1; True
serious-tests; UnitRandom; n-100; 87; 14; 3; True; 0; True
serious-tests; UnitRandom; n-100; 88; 14; 3; True; 1; True
serious-tests; UnitRandom; n-100; 90; 13; 3; True; 1; True
serious-tests; UnitRandom; n-100; 87; 14; 3; True; 0; True
serious-tests; UnitRandom; n-1000; 987; 25; 44; True; 12; True
serious-tests; UnitRandom; n-1000; 982; 19; 58; True; 12; True
serious-tests; UnitRandom; n-1000; 984; 22; 72; True; 12; True
serious-tests; UnitRandom; n-1000; 983; 20; 55; True; 12; True
serious-tests; UnitRandom; n-1000; 983; 21; 57; True; 12; True
