Distribution, Test Case, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, test 1, 100, -1, DNF, DNF, DNF, DNF
BigRandom, test 2, 100, -1, DNF, DNF, DNF, DNF
BigRandom, test 3, 100, 13, DNF, DNF, 12, True
BigRandom, test 4, 100, 8, DNF, DNF, 10, True
BigRandom, test 5, 100, 9, 13, True, DNF, DNF
BigRandom, test 1, 1000, -1, DNF, DNF, DNF, DNF
BigRandom, test 2, 1000, -1, DNF, DNF, DNF, DNF
BigRandom, test 3, 1000, -1, DNF, DNF, DNF, DNF
BigRandom, test 4, 1000, -1, DNF, DNF, DNF, DNF
BigRandom, test 5, 1000, -1, DNF, DNF, DNF, DNF
CircleRandom, test 1, 100, 100, DNF, DNF, 4, True
CircleRandom, test 2, 100, 100, DNF, DNF, 3, True
CircleRandom, test 3, 100, 100, DNF, DNF, 4, True
CircleRandom, test 4, 100, 100, DNF, DNF, 3, True
CircleRandom, test 5, 100, 100, DNF, DNF, 3, True
CircleRandom, test 1, 1000, -1, DNF, DNF, DNF, DNF
CircleRandom, test 2, 1000, -1, DNF, DNF, DNF, DNF
CircleRandom, test 3, 1000, -1, DNF, DNF, DNF, DNF
CircleRandom, test 4, 1000, -1, DNF, DNF, DNF, DNF
CircleRandom, test 5, 1000, -1, DNF, DNF, DNF, DNF
DisturbedRandom, test 1, 100, 77, DNF, DNF, 4, True
DisturbedRandom, test 2, 100, 72, DNF, DNF, 4, True
DisturbedRandom, test 3, 100, 75, DNF, DNF, 4, True
DisturbedRandom, test 4, 100, 79, DNF, DNF, 4, True
DisturbedRandom, test 5, 100, 72, DNF, DNF, 3, True
DisturbedRandom, test 1, 1000, -1, DNF, DNF, DNF, DNF
DisturbedRandom, test 2, 1000, -1, DNF, DNF, DNF, DNF
DisturbedRandom, test 3, 1000, -1, DNF, DNF, DNF, DNF
DisturbedRandom, test 4, 1000, -1, DNF, DNF, DNF, DNF
DisturbedRandom, test 5, 1000, -1, DNF, DNF, DNF, DNF
UnitRandom, test 1, 100, 12, 6, True, 3, True
UnitRandom, test 2, 100, 10, 5, True, 4, True
UnitRandom, test 3, 100, -1, DNF, DNF, DNF, DNF
UnitRandom, test 4, 100, 13, DNF, DNF, 5, True
UnitRandom, test 5, 100, 14, 8, True, 3, True
UnitRandom, test 1, 1000, -1, DNF, DNF, DNF, DNF
UnitRandom, test 2, 1000, -1, DNF, DNF, DNF, DNF
UnitRandom, test 3, 1000, -1, DNF, DNF, DNF, DNF
UnitRandom, test 4, 1000, -1, DNF, DNF, DNF, DNF
UnitRandom, test 5, 1000, -1, DNF, DNF, DNF, DNF
