fp1, fp2, fp3, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, n-100, test 1, 100, 1007, 4, True, 9, True
BigRandom, n-100, test 2, 100, 1007, 2, True, 4, True
BigRandom, n-100, test 3, 100, 1007, 1, True, 4, True
BigRandom, n-100, test 4, 100, 1013, 1, True, 4, True
BigRandom, n-100, test 5, 100, 1010, 1, True, 3, True
BigRandom, n-1000, test 1, 1000, 1013, 13, True, 44, True
BigRandom, n-1000, test 2, 1000, 1014, 16, True, 64, True
BigRandom, n-1000, test 3, 1000, 1013, 9, True, 30, True
BigRandom, n-1000, test 4, 1000, 1011, 10, True, 30, True
BigRandom, n-1000, test 5, 1000, 1008, 29, True, 46, True
CircleRandom, n-100, test 1, 100, 1066, 0, True, 1, True
CircleRandom, n-100, test 2, 100, 1079, 0, True, 1, True
CircleRandom, n-100, test 3, 100, 1069, 0, True, 1, False
CircleRandom, n-100, test 4, 100, 1066, 0, True, 1, True
CircleRandom, n-100, test 5, 100, 1066, 0, True, 1, True
CircleRandom, n-1000, test 1, 1000, 1713, 8, True, 13, False
CircleRandom, n-1000, test 2, 1000, 1749, 16, True, 31, True
CircleRandom, n-1000, test 3, 1000, 1749, 10, True, 19, True
CircleRandom, n-1000, test 4, 1000, 1777, 8, True, 16, True
CircleRandom, n-1000, test 5, 1000, 1792, 9, True, 18, True
DisturbedRandom, n-100, test 1, 100, 1080, 1, True, 2, True
DisturbedRandom, n-100, test 2, 100, 1063, 1, True, 2, True
DisturbedRandom, n-100, test 3, 100, 1101, 0, True, 2, False
DisturbedRandom, n-100, test 4, 100, 1093, 1, True, 2, True
DisturbedRandom, n-100, test 5, 100, 1088, 1, True, 1, True
DisturbedRandom, n-1000, test 1, 1000, 1844, 30, True, 33, False
DisturbedRandom, n-1000, test 2, 1000, 1848, 20, True, 39, False
DisturbedRandom, n-1000, test 3, 1000, 1837, 10, True, 25, False
DisturbedRandom, n-1000, test 4, 1000, 1777, 8, True, 25, False
DisturbedRandom, n-1000, test 5, 1000, 1805, 9, True, 23, True
UnitRandom, n-100, test 1, 100, 1010, 0, True, 1, True
UnitRandom, n-100, test 2, 100, 1014, 0, True, 1, True
UnitRandom, n-100, test 3, 100, 1013, 0, True, 1, True
UnitRandom, n-100, test 4, 100, 1011, 0, True, 1, True
UnitRandom, n-100, test 5, 100, 1014, 0, True, 1, True
UnitRandom, n-1000, test 1, 1000, 1014, 9, True, 19, True
UnitRandom, n-1000, test 2, 1000, 1019, 9, True, 21, True
UnitRandom, n-1000, test 3, 1000, 1017, 8, True, 22, True
UnitRandom, n-1000, test 4, 1000, 1018, 8, True, 18, True
UnitRandom, n-1000, test 5, 1000, 1018, 6, True, 15, True
