Distribution, Test Case, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, test 1, 100, -1, DNF, DNF, DNF, DNF
BigRandom, test 2, 100, 0, 0, False, 0, False
BigRandom, test 3, 100, 0, DNF, DNF, 2, False
BigRandom, test 4, 100, 0, 0, False, 3, False
BigRandom, test 5, 100, 0, 0, False, 7, False
BigRandom, test 1, 1000, 0, 0, False, DNF, DNF
BigRandom, test 2, 1000, 0, 0, False, DNF, DNF
BigRandom, test 3, 1000, 0, 0, False, DNF, DNF
BigRandom, test 4, 1000, 0, 0, False, DNF, DNF
BigRandom, test 5, 1000, 0, 0, False, 40, False
CircleRandom, test 1, 100, 0, DNF, DNF, 33, False
CircleRandom, test 2, 100, 0, 83, False, DNF, DNF
CircleRandom, test 3, 100, 0, 0, False, DNF, DNF
CircleRandom, test 4, 100, 0, 0, False, DNF, DNF
CircleRandom, test 5, 100, 100, 0, False, 35, True
CircleRandom, test 1, 1000, 0, 0, False, DNF, DNF
CircleRandom, test 2, 1000, 0, 0, False, DNF, DNF
CircleRandom, test 3, 1000, 0, 0, False, DNF, DNF
CircleRandom, test 4, 1000, 0, 0, False, DNF, DNF
CircleRandom, test 5, 1000, 0, 0, False, DNF, DNF
DisturbedRandom, test 1, 100, 77, 6, False, 7, True
DisturbedRandom, test 2, 100, 0, 0, False, DNF, DNF
DisturbedRandom, test 3, 100, 0, 0, False, DNF, DNF
DisturbedRandom, test 4, 100, 0, 1, False, DNF, DNF
DisturbedRandom, test 5, 100, 72, 1, False, 31, True
DisturbedRandom, test 1, 1000, 0, 0, False, DNF, DNF
DisturbedRandom, test 2, 1000, 0, 0, False, DNF, DNF
DisturbedRandom, test 3, 1000, 0, 0, False, DNF, DNF
DisturbedRandom, test 4, 1000, 0, 1, False, DNF, DNF
DisturbedRandom, test 5, 1000, 0, 0, False, DNF, DNF
UnitRandom, test 1, 100, 0, DNF, DNF, 3, False
UnitRandom, test 2, 100, 10, 1, False, 34, True
UnitRandom, test 3, 100, 0, 0, False, DNF, DNF
UnitRandom, test 4, 100, 0, 32, False, DNF, DNF
UnitRandom, test 5, 100, 0, 1, False, DNF, DNF
UnitRandom, test 1, 1000, 0, 1, False, 6, False
UnitRandom, test 2, 1000, 0, DNF, DNF, 1, False
UnitRandom, test 3, 1000, 0, DNF, DNF, 2, False
UnitRandom, test 4, 1000, 0, 2, False, DNF, DNF
UnitRandom, test 5, 1000, 0, 1, False, DNF, DNF
