Distribution, Test Case, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, test 1, 100, 7, 12, True, 9, True
BigRandom, test 2, 100, 7, 7, True, 4, True
BigRandom, test 3, 100, 7, 7, True, 4, True
BigRandom, test 4, 100, 13, 13, True, 4, True
BigRandom, test 5, 100, 10, 10, True, 4, True
BigRandom, test 1, 1000, 13, 144, True, 31, True
BigRandom, test 2, 1000, 14, 104, True, 30, True
BigRandom, test 3, 1000, 13, 97, True, 30, True
BigRandom, test 4, 1000, 11, 85, True, 31, True
BigRandom, test 5, 1000, 8, 62, True, 31, True
CircleRandom, test 1, 100, 100, 16, True, 1, True
CircleRandom, test 2, 100, 100, 16, True, 1, True
CircleRandom, test 3, 100, 100, 17, True, 1, True
CircleRandom, test 4, 100, 100, 17, True, 1, True
CircleRandom, test 5, 100, 100, 17, True, 1, True
CircleRandom, test 1, 1000, 1000, 1678, True, 11, True
CircleRandom, test 2, 1000, 1000, 1696, True, 14, True
CircleRandom, test 3, 1000, 1000, 1729, True, 11, True
CircleRandom, test 4, 1000, 1000, 1725, True, 12, True
CircleRandom, test 5, 1000, 1000, 1726, True, 13, True
DisturbedRandom, test 1, 100, 79, 16, True, 1, True
DisturbedRandom, test 2, 100, 77, 17, True, 1, True
DisturbedRandom, test 3, 100, 74, 16, True, 1, True
DisturbedRandom, test 4, 100, 77, 17, True, 1, True
DisturbedRandom, test 5, 100, 76, 17, True, 1, True
DisturbedRandom, test 1, 1000, 225, 709, True, 14, True
DisturbedRandom, test 2, 1000, 227, 711, True, 14, True
DisturbedRandom, test 3, 1000, 238, 749, True, 14, True
DisturbedRandom, test 4, 1000, 230, 718, True, 15, True
DisturbedRandom, test 5, 1000, 217, 688, True, 14, True
UnitRandom, test 1, 100, 10, 3, True, 1, True
UnitRandom, test 2, 100, 14, 4, True, 1, True
UnitRandom, test 3, 100, 13, 4, True, 1, True
UnitRandom, test 4, 100, 11, 3, True, 1, True
UnitRandom, test 5, 100, 14, 7, True, 2, True
UnitRandom, test 1, 1000, 14, 66, True, 14, True
UnitRandom, test 2, 1000, 19, 65, True, 14, True
UnitRandom, test 3, 1000, 17, 64, True, 15, True
UnitRandom, test 4, 1000, 18, 63, True, 15, True
UnitRandom, test 5, 1000, 18, 62, True, 16, True
BigRandom, test 1, 100, 10, 7, True, 3, True
BigRandom, test 2, 100, 7, 5, True, 3, True
BigRandom, test 3, 100, 10, 8, True, 3, True
BigRandom, test 4, 100, 9, 6, True, 3, True
BigRandom, test 5, 100, 8, 6, True, 3, True
BigRandom, test 1, 1000, 15, 116, True, 31, True
BigRandom, test 2, 1000, 11, 86, True, 32, True
BigRandom, test 3, 1000, 15, 116, True, 31, True
BigRandom, test 4, 1000, 10, 77, True, 32, True
BigRandom, test 5, 1000, 11, 86, True, 31, True
CircleRandom, test 1, 100, 100, 16, True, 1, True
CircleRandom, test 2, 100, 100, 17, True, 1, True
CircleRandom, test 3, 100, 100, 17, True, 1, True
CircleRandom, test 4, 100, 100, 20, True, 1, True
CircleRandom, test 5, 100, 100, 17, True, 1, True
CircleRandom, test 1, 1000, 1000, 1714, True, 11, True
CircleRandom, test 2, 1000, 1000, 1643, True, 11, True
CircleRandom, test 3, 1000, 1000, 1704, True, 11, True
CircleRandom, test 4, 1000, 1000, 1721, True, 13, True
CircleRandom, test 5, 1000, 1000, 1717, True, 11, True
DisturbedRandom, test 1, 100, 76, 16, True, 1, True
DisturbedRandom, test 2, 100, 79, 18, True, 1, True
DisturbedRandom, test 3, 100, 74, 16, True, 1, True
DisturbedRandom, test 4, 100, 76, 17, True, 1, True
DisturbedRandom, test 5, 100, 76, 16, True, 1, True
DisturbedRandom, test 1, 1000, 244, 732, True, 14, True
DisturbedRandom, test 2, 1000, 236, 743, True, 15, True
DisturbedRandom, test 3, 1000, 222, 697, True, 14, True
DisturbedRandom, test 4, 1000, 231, 723, True, 14, True
DisturbedRandom, test 5, 1000, 220, 712, True, 15, True
UnitRandom, test 1, 100, 15, 5, True, 1, True
UnitRandom, test 2, 100, 13, 4, True, 1, True
UnitRandom, test 3, 100, 12, 4, True, 1, True
UnitRandom, test 4, 100, 9, 3, True, 1, True
UnitRandom, test 5, 100, 9, 3, True, 1, True
UnitRandom, test 1, 1000, 18, 63, True, 14, True
UnitRandom, test 2, 1000, 17, 59, True, 14, True
UnitRandom, test 3, 1000, 19, 67, True, 14, True
UnitRandom, test 4, 1000, 17, 57, True, 14, True
UnitRandom, test 5, 1000, 20, 93, True, 14, True
BigRandom, test 1, 100, 9, 6, True, 3, True
BigRandom, test 2, 100, 6, 4, True, 2, True
BigRandom, test 3, 100, 13, 9, True, 2, True
BigRandom, test 4, 100, 8, 5, True, 3, True
BigRandom, test 5, 100, 9, 6, True, 3, True
BigRandom, test 1, 1000, 11, 83, True, 30, True
BigRandom, test 2, 1000, 10, 77, True, 32, True
BigRandom, test 3, 1000, 8, 63, True, 32, True
BigRandom, test 4, 1000, 11, 85, True, 31, True
BigRandom, test 5, 1000, 8, 64, True, 32, True
CircleRandom, test 1, 100, 100, 17, True, 1, True
CircleRandom, test 2, 100, 100, 19, True, 1, True
CircleRandom, test 3, 100, 100, 16, True, 1, True
