Distribution, Test Case, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, test 1, 100, 9, 20, True, 15, True
BigRandom, test 2, 100, 10, 14, True, 7, True
BigRandom, test 3, 100, 14, 32, True, 9, True
BigRandom, test 4, 100, 8, 12, True, 7, True
BigRandom, test 5, 100, 9, 13, True, 7, True
BigRandom, test 6, 100, 8, 12, True, 7, True
BigRandom, test 7, 100, 11, 15, True, 10, True
BigRandom, test 8, 100, 7, 20, True, 5, True
BigRandom, test 9, 100, 9, 10, True, 5, True
BigRandom, test 10, 100, 13, 12, True, 5, True
BigRandom, test 1, 1000, 12, 107, True, 39, True
BigRandom, test 2, 1000, 12, 110, True, 45, True
BigRandom, test 3, 1000, 10, 89, True, 38, True
BigRandom, test 4, 1000, 13, 116, True, 38, True
BigRandom, test 5, 1000, 16, 150, True, 41, True
BigRandom, test 6, 1000, 15, 141, True, 45, True
BigRandom, test 7, 1000, 15, 195, True, 38, True
BigRandom, test 8, 1000, 13, 121, True, 40, True
BigRandom, test 9, 1000, 11, 105, True, 38, True
BigRandom, test 10, 1000, 14, 126, True, 40, True
BigRandom, test 1, 1500, 14, 195, True, 58, True
BigRandom, test 2, 1500, 11, 147, True, 57, True
BigRandom, test 3, 1500, 10, 145, True, 59, True
BigRandom, test 4, 1500, 12, 159, True, 55, True
BigRandom, test 5, 1500, 14, 194, True, 58, True
BigRandom, test 6, 1500, 14, 184, True, 58, True
BigRandom, test 7, 1500, 13, 187, True, 61, True
BigRandom, test 8, 1500, 15, 203, True, 58, True
BigRandom, test 9, 1500, 11, 158, True, 68, True
BigRandom, test 10, 1500, 13, 173, True, 57, True
BigRandom, test 1, 2000, 19, 356, True, 79, True
BigRandom, test 2, 2000, 12, 221, True, 79, True
BigRandom, test 3, 2000, 16, 278, True, 74, True
BigRandom, test 4, 2000, 16, 278, True, 76, True
BigRandom, test 5, 2000, 12, 221, True, 83, True
BigRandom, test 6, 2000, 12, 225, True, 79, True
BigRandom, test 7, 2000, 11, 208, True, 83, True
BigRandom, test 8, 2000, 13, 235, True, 79, True
BigRandom, test 9, 2000, 11, 211, True, 87, True
BigRandom, test 10, 2000, 13, 253, True, 78, True
BigRandom, test 1, 250, 12, 30, True, 11, True
BigRandom, test 2, 250, 10, 26, True, 11, True
BigRandom, test 3, 250, 14, 36, True, 16, True
BigRandom, test 4, 250, 8, 21, True, 11, True
BigRandom, test 5, 250, 8, 20, True, 11, True
BigRandom, test 6, 250, 10, 23, True, 11, True
BigRandom, test 7, 250, 10, 24, True, 11, True
BigRandom, test 8, 250, 7, 17, True, 11, True
BigRandom, test 9, 250, 8, 19, True, 11, True
BigRandom, test 10, 250, 10, 25, True, 12, True
BigRandom, test 1, 3000, 17, 468, True, 123, True
BigRandom, test 2, 3000, 11, 292, True, 113, True
BigRandom, test 3, 3000, 14, 368, True, 125, True
BigRandom, test 4, 3000, 17, 466, True, 119, True
BigRandom, test 5, 3000, 13, 357, True, 115, True
BigRandom, test 6, 3000, 11, 308, True, 117, True
BigRandom, test 7, 3000, 11, 306, True, 115, True
BigRandom, test 8, 3000, 16, 447, True, 143, True
BigRandom, test 9, 3000, 17, 471, True, 116, True
BigRandom, test 10, 3000, 14, 372, True, 124, True
BigRandom, test 1, 500, 9, 42, True, 20, True
BigRandom, test 2, 500, 12, 54, True, 20, True
BigRandom, test 3, 500, 10, 49, True, 22, True
BigRandom, test 4, 500, 10, 51, True, 20, True
BigRandom, test 5, 500, 10, 47, True, 20, True
BigRandom, test 6, 500, 13, 67, True, 21, True
BigRandom, test 7, 500, 13, 60, True, 20, True
BigRandom, test 8, 500, 7, 33, True, 23, True
BigRandom, test 9, 500, 16, 76, True, 23, True
BigRandom, test 10, 500, 17, 85, True, 20, True
CircleRandom, test 1, 100, 100, 19, True, 3, True
CircleRandom, test 2, 100, 100, 19, True, 3, True
CircleRandom, test 3, 100, 100, 19, True, 3, True
CircleRandom, test 4, 100, 100, 19, True, 3, True
CircleRandom, test 5, 100, 100, 19, True, 3, True
CircleRandom, test 6, 100, 100, 19, True, 3, True
CircleRandom, test 7, 100, 100, 19, True, 3, True
CircleRandom, test 8, 100, 100, 19, True, 3, True
CircleRandom, test 9, 100, 100, 19, True, 3, True
CircleRandom, test 10, 100, 100, 20, True, 3, True
CircleRandom, test 1, 1000, 1000, 1674, True, 14, True
CircleRandom, test 2, 1000, 1000, 1692, True, 14, True
CircleRandom, test 3, 1000, 1000, 1690, True, 15, True
CircleRandom, test 4, 1000, 1000, 1678, True, 13, True
CircleRandom, test 5, 1000, 1000, 1713, True, 14, True
CircleRandom, test 6, 1000, 1000, 1653, True, 15, True
CircleRandom, test 7, 1000, 1000, 1664, True, 13, True
CircleRandom, test 8, 1000, 1000, 1691, True, 13, True
CircleRandom, test 9, 1000, 1000, 1712, True, 14, True
CircleRandom, test 10, 1000, 1000, 1699, True, 14, True
CircleRandom, test 1, 1500, 1500, 4039, True, 20, True
CircleRandom, test 2, 1500, 1500, 3973, True, 19, True
CircleRandom, test 3, 1500, 1500, 3864, True, 19, True
CircleRandom, test 4, 1500, 1500, 3919, True, 19, True
CircleRandom, test 5, 1500, 1500, 3887, True, 19, True
CircleRandom, test 6, 1500, 1500, 3915, True, 20, True
CircleRandom, test 7, 1500, 1500, 3965, True, 20, True
CircleRandom, test 8, 1500, 1500, 3915, True, 23, True
CircleRandom, test 9, 1500, 1500, 3936, True, 22, True
CircleRandom, test 10, 1500, 1500, 3964, True, 19, True
CircleRandom, test 1, 2000, 2000, 6793, True, 26, True
CircleRandom, test 2, 2000, 2000, 6740, True, 25, True
CircleRandom, test 3, 2000, 2000, 6767, True, 26, True
CircleRandom, test 4, 2000, 2000, 7116, True, 25, True
CircleRandom, test 5, 2000, 2000, 6714, True, 25, True
CircleRandom, test 6, 2000, 2000, 6843, True, 26, True
CircleRandom, test 7, 2000, 2000, 6726, True, 26, True
CircleRandom, test 8, 2000, 2000, 6687, True, 29, True
CircleRandom, test 9, 2000, 2000, 6517, True, 25, True
CircleRandom, test 10, 2000, 2000, 6700, True, 25, True
CircleRandom, test 1, 250, 250, 117, True, 5, True
CircleRandom, test 2, 250, 250, 126, True, 4, True
CircleRandom, test 3, 250, 250, 108, True, 5, True
CircleRandom, test 4, 250, 250, 109, True, 4, True
CircleRandom, test 5, 250, 250, 109, True, 5, True
CircleRandom, test 6, 250, 250, 106, True, 5, True
CircleRandom, test 7, 250, 250, 109, True, 5, True
CircleRandom, test 8, 250, 250, 114, True, 4, True
CircleRandom, test 9, 250, 250, 104, True, 5, True
CircleRandom, test 10, 250, 250, 104, True, 5, True
CircleRandom, test 1, 3000, 3000, DNF, DNF, 41, True
CircleRandom, test 2, 3000, 3000, DNF, DNF, 41, True
CircleRandom, test 3, 3000, 3000, DNF, DNF, 40, True
CircleRandom, test 4, 3000, 3000, DNF, DNF, 40, True
CircleRandom, test 5, 3000, 3000, DNF, DNF, 39, True
CircleRandom, test 6, 3000, 3000, DNF, DNF, 40, True
CircleRandom, test 7, 3000, 3000, DNF, DNF, 44, True
CircleRandom, test 8, 3000, 3000, DNF, DNF, 40, True
CircleRandom, test 9, 3000, 3000, DNF, DNF, 47, True
CircleRandom, test 10, 3000, 3000, DNF, DNF, 40, True
CircleRandom, test 1, 500, 500, 431, True, 8, True
CircleRandom, test 2, 500, 500, 419, True, 7, True
CircleRandom, test 3, 500, 500, 414, True, 7, True
CircleRandom, test 4, 500, 500, 417, True, 8, True
CircleRandom, test 5, 500, 500, 415, True, 8, True
CircleRandom, test 6, 500, 500, 425, True, 9, True
CircleRandom, test 7, 500, 500, 423, True, 8, True
CircleRandom, test 8, 500, 500, 408, True, 7, True
CircleRandom, test 9, 500, 500, 415, True, 9, True
CircleRandom, test 10, 500, 500, 458, True, 8, True
DisturbedCircle, test 1, 100, 76, 19, True, 3, True
DisturbedCircle, test 2, 100, 75, 19, True, 3, True
DisturbedCircle, test 3, 100, 74, 20, True, 3, True
DisturbedCircle, test 4, 100, 79, 19, True, 3, True
DisturbedCircle, test 5, 100, 82, 18, True, 3, True
DisturbedCircle, test 6, 100, 73, 18, True, 3, True
DisturbedCircle, test 7, 100, 72, 18, True, 3, True
DisturbedCircle, test 8, 100, 74, 18, True, 3, True
DisturbedCircle, test 9, 100, 83, 19, True, 3, True
DisturbedCircle, test 10, 100, 71, 20, True, 3, True
DisturbedCircle, test 1, 1000, 239, 717, True, 16, True
DisturbedCircle, test 2, 1000, 238, 704, True, 16, True
DisturbedCircle, test 3, 1000, 232, 713, True, 18, True
DisturbedCircle, test 4, 1000, 226, 865, True, 16, True
DisturbedCircle, test 5, 1000, 225, 781, True, 18, True
DisturbedCircle, test 6, 1000, 229, 797, True, 16, True
DisturbedCircle, test 7, 1000, 223, 681, True, 16, True
DisturbedCircle, test 8, 1000, 220, 698, True, 16, True
DisturbedCircle, test 9, 1000, 223, 696, True, 16, True
DisturbedCircle, test 10, 1000, 230, 729, True, 18, True
DisturbedCircle, test 1, 1500, 302, 1606, True, 26, True
DisturbedCircle, test 2, 1500, 283, 1311, True, 23, True
DisturbedCircle, test 3, 1500, 277, 1467, True, 26, True
DisturbedCircle, test 4, 1500, 272, 1318, True, 24, True
DisturbedCircle, test 5, 1500, 287, 1458, True, 27, True
DisturbedCircle, test 6, 1500, 282, 1334, True, 23, True
DisturbedCircle, test 7, 1500, 274, 1407, True, 25, True
DisturbedCircle, test 8, 1500, 286, 1332, True, 23, True
DisturbedCircle, test 9, 1500, 300, 1549, True, 27, True
DisturbedCircle, test 10, 1500, 279, 1314, True, 26, True
DisturbedCircle, test 1, 2000, 315, 2049, True, 36, True
DisturbedCircle, test 2, 2000, 338, 2106, True, 30, True
DisturbedCircle, test 3, 2000, 321, 2027, True, 32, True
DisturbedCircle, test 4, 2000, 313, 2170, True, 32, True
DisturbedCircle, test 5, 2000, 310, 2165, True, 32, True
DisturbedCircle, test 6, 2000, 331, 2924, True, 31, True
DisturbedCircle, test 7, 2000, 325, 2152, True, 35, True
DisturbedCircle, test 8, 2000, 313, 2039, True, 31, True
DisturbedCircle, test 9, 2000, 329, 2067, True, 35, True
DisturbedCircle, test 10, 2000, 320, 2023, True, 32, True
DisturbedCircle, test 1, 250, 130, 90, True, 5, True
DisturbedCircle, test 2, 250, 131, 97, True, 6, True
DisturbedCircle, test 3, 250, 125, 100, True, 6, True
DisturbedCircle, test 4, 250, 124, 95, True, 5, True
DisturbedCircle, test 5, 250, 122, 85, True, 6, True
DisturbedCircle, test 6, 250, 130, 88, True, 5, True
DisturbedCircle, test 7, 250, 128, 87, True, 5, True
DisturbedCircle, test 8, 250, 128, 89, True, 5, True
DisturbedCircle, test 9, 250, 124, 86, True, 5, True
DisturbedCircle, test 10, 250, 126, 87, True, 6, True
DisturbedCircle, test 1, 3000, 408, 4012, True, 51, True
DisturbedCircle, test 2, 3000, 401, 4186, True, 45, True
DisturbedCircle, test 3, 3000, 394, 3856, True, 50, True
DisturbedCircle, test 4, 3000, 398, 3823, True, 46, True
DisturbedCircle, test 5, 3000, 392, 3875, True, 46, True
DisturbedCircle, test 6, 3000, 381, 4170, True, 54, True
DisturbedCircle, test 7, 3000, 393, 3799, True, 45, True
DisturbedCircle, test 8, 3000, 385, 4210, True, 56, True
DisturbedCircle, test 9, 3000, 402, 3875, True, 46, True
DisturbedCircle, test 10, 3000, 394, 3831, True, 46, True
DisturbedCircle, test 1, 500, 168, 252, True, 8, True
DisturbedCircle, test 2, 500, 170, 268, True, 9, True
DisturbedCircle, test 3, 500, 165, 243, True, 10, True
DisturbedCircle, test 4, 500, 168, 246, True, 9, True
DisturbedCircle, test 5, 500, 176, 259, True, 9, True
DisturbedCircle, test 6, 500, 162, 241, True, 9, True
DisturbedCircle, test 7, 500, 166, 249, True, 9, True
DisturbedCircle, test 8, 500, 162, 246, True, 9, True
DisturbedCircle, test 9, 500, 160, 238, True, 8, True
DisturbedCircle, test 10, 500, 168, 243, True, 9, True
UnitRandom, test 1, 100, 10, 5, True, 3, True
