fp1, fp2, fp3, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, n-100, test 1, 100, 11007, 15, True, 11, True
BigRandom, n-100, test 2, 100, 10007, 9, True, 4, True
BigRandom, n-100, test 3, 100, 8007, 7, True, 5, True
BigRandom, n-100, test 4, 100, 14013, 13, False, 4, True
BigRandom, n-100, test 5, 100, 14010, 13, True, 4, True
BigRandom, n-1000, test 1, 1000, 20013, 224, True, 34, True
BigRandom, n-1000, test 2, 1000, 9014, 63, True, 32, True
BigRandom, n-1000, test 3, 1000, 14013, 103, False, 32, True
BigRandom, n-1000, test 4, 1000, 17011, 124, True, 32, True
BigRandom, n-1000, test 5, 1000, 10008, 71, False, 33, True
CircleRandom, n-100, test 1, 100, 98066, 16, False, 1, True
CircleRandom, n-100, test 2, 100, 99079, 20, False, 1, True
CircleRandom, n-100, test 3, 100, 100069, 19, False, 1, False
CircleRandom, n-100, test 4, 100, 98066, 17, False, 1, True
CircleRandom, n-100, test 5, 100, 99066, 15, False, 1, True
CircleRandom, n-1000, test 1, 1000, 1000713, 1597, False, 11, False
CircleRandom, n-1000, test 2, 1000, 996749, 1570, False, 12, True
CircleRandom, n-1000, test 3, 1000, 997749, 1678, False, 12, True
CircleRandom, n-1000, test 4, 1000, 999777, 1608, False, 12, True
CircleRandom, n-1000, test 5, 1000, 1000792, 1604, False, 11, True
DisturbedRandom, n-100, test 1, 100, 100080, 24, False, 1, True
DisturbedRandom, n-100, test 2, 100, 99063, 32, False, 4, True
DisturbedRandom, n-100, test 3, 100, 98101, 38, False, 2, False
DisturbedRandom, n-100, test 4, 100, 99093, 26, False, 1, True
DisturbedRandom, n-100, test 5, 100, 100088, 27, False, 1, True
DisturbedRandom, n-1000, test 1, 1000, 999844, 2402, False, 17, False
DisturbedRandom, n-1000, test 2, 1000, 998848, 2383, False, 17, False
DisturbedRandom, n-1000, test 3, 1000, 991837, 2405, False, 20, False
DisturbedRandom, n-1000, test 4, 1000, 999777, 2442, False, 17, False
DisturbedRandom, n-1000, test 5, 1000, 998805, 2385, False, 17, True
UnitRandom, n-100, test 1, 100, 3010, 0, True, 1, True
UnitRandom, n-100, test 2, 100, 13014, 4, False, 5, True
UnitRandom, n-100, test 3, 100, 6013, 3, True, 2, True
UnitRandom, n-100, test 4, 100, 7011, 4, True, 1, True
UnitRandom, n-100, test 5, 100, 16014, 6, True, 2, True
UnitRandom, n-1000, test 1, 1000, 8014, 28, True, 13, True
UnitRandom, n-1000, test 2, 1000, 16019, 50, True, 13, True
UnitRandom, n-1000, test 3, 1000, 25017, 76, False, 13, True
UnitRandom, n-1000, test 4, 1000, 27018, 83, True, 13, True
UnitRandom, n-1000, test 5, 1000, 14018, 41, False, 13, True
