fp1, fp2, fp3, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, n-100, test 1, 100, 11007, 14, False, 9, True
BigRandom, n-100, test 2, 100, 10007, 9, False, 5, True
BigRandom, n-100, test 3, 100, 8007, 7, False, 4, True
BigRandom, n-100, test 4, 100, 14013, 13, False, 4, True
BigRandom, n-100, test 5, 100, 14010, 17, False, 5, True
BigRandom, n-1000, test 1, 1000, 20013, 232, False, 46, True
BigRandom, n-1000, test 2, 1000, 9014, 64, False, 33, True
BigRandom, n-1000, test 3, 1000, 14013, 135, False, 73, True
BigRandom, n-1000, test 4, 1000, 17011, 124, False, 32, True
BigRandom, n-1000, test 5, 1000, 10008, 72, False, 32, True
CircleRandom, n-100, test 1, 100, 98066, 15, False, 1, False
CircleRandom, n-100, test 2, 100, 99079, 15, False, 1, False
CircleRandom, n-100, test 3, 100, 100069, 15, False, 1, False
CircleRandom, n-100, test 4, 100, 98066, 15, False, 1, False
CircleRandom, n-100, test 5, 100, 99066, 15, False, 1, False
CircleRandom, n-1000, test 1, 1000, 1000713, 1526, False, 11, False
CircleRandom, n-1000, test 2, 1000, 996749, 1519, False, 12, False
CircleRandom, n-1000, test 3, 1000, 997749, 1548, False, 11, False
CircleRandom, n-1000, test 4, 1000, 999777, 1517, False, 11, False
CircleRandom, n-1000, test 5, 1000, 1000792, 1520, False, 11, False
DisturbedRandom, n-100, test 1, 100, 100080, 23, False, 1, False
DisturbedRandom, n-100, test 2, 100, 99063, 23, False, 2, False
DisturbedRandom, n-100, test 3, 100, 98101, 23, False, 1, False
DisturbedRandom, n-100, test 4, 100, 99093, 46, False, 2, False
DisturbedRandom, n-100, test 5, 100, 100088, 29, False, 1, False
DisturbedRandom, n-1000, test 1, 1000, 999844, 2405, False, 17, False
DisturbedRandom, n-1000, test 2, 1000, 998848, 2358, False, 17, False
DisturbedRandom, n-1000, test 3, 1000, 991837, 2347, False, 17, False
DisturbedRandom, n-1000, test 4, 1000, 999777, 2360, False, 18, False
DisturbedRandom, n-1000, test 5, 1000, 998805, 2402, False, 17, False
UnitRandom, n-100, test 1, 100, 3010, 0, False, 1, True
UnitRandom, n-100, test 2, 100, 13014, 3, False, 1, True
UnitRandom, n-100, test 3, 100, 6013, 1, False, 1, True
UnitRandom, n-100, test 4, 100, 7011, 1, False, 1, True
UnitRandom, n-100, test 5, 100, 16014, 4, False, 1, True
UnitRandom, n-1000, test 1, 1000, 8014, 27, False, 14, True
UnitRandom, n-1000, test 2, 1000, 16019, 74, False, 19, True
UnitRandom, n-1000, test 3, 1000, 25017, 94, False, 15, True
UnitRandom, n-1000, test 4, 1000, 27018, 85, False, 15, True
UnitRandom, n-1000, test 5, 1000, 14018, 42, False, 14, True
