fp1, fp2, fp3, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, n-100, test 1, 100, 7, 4, True, 9, True
BigRandom, n-100, test 2, 100, 7, 1, True, 3, True
BigRandom, n-100, test 3, 100, 7, 1, True, 4, True
BigRandom, n-100, test 4, 100, 13, 1, True, 3, True
BigRandom, n-100, test 5, 100, 10, 1, True, 3, True
BigRandom, n-1000, test 1, 1000, 13, 13, True, 44, True
BigRandom, n-1000, test 2, 1000, 14, 16, True, 55, True
BigRandom, n-1000, test 3, 1000, 13, 9, True, 30, True
BigRandom, n-1000, test 4, 1000, 11, 9, True, 37, True
BigRandom, n-1000, test 5, 1000, 8, 13, True, 36, True
CircleRandom, n-100, test 1, 100, 66, 0, True, 1, True
CircleRandom, n-100, test 2, 100, 79, 0, True, 1, True
CircleRandom, n-100, test 3, 100, 69, 0, True, 1, False
CircleRandom, n-100, test 4, 100, 66, 0, True, 1, True
CircleRandom, n-100, test 5, 100, 66, 0, True, 1, True
CircleRandom, n-1000, test 1, 1000, 713, 7, True, 14, False
CircleRandom, n-1000, test 2, 1000, 749, 6, True, 13, True
CircleRandom, n-1000, test 3, 1000, 749, 7, True, 18, True
CircleRandom, n-1000, test 4, 1000, 777, 7, True, 28, True
CircleRandom, n-1000, test 5, 1000, 792, 13, True, 21, True
DisturbedRandom, n-100, test 1, 100, 80, 0, True, 1, True
DisturbedRandom, n-100, test 2, 100, 63, 0, True, 1, True
DisturbedRandom, n-100, test 3, 100, 101, 0, True, 2, False
DisturbedRandom, n-100, test 4, 100, 93, 0, True, 1, True
DisturbedRandom, n-100, test 5, 100, 88, 1, True, 2, True
DisturbedRandom, n-1000, test 1, 1000, 844, 10, True, 19, False
DisturbedRandom, n-1000, test 2, 1000, 848, 8, True, 21, False
DisturbedRandom, n-1000, test 3, 1000, 837, 9, True, 20, False
DisturbedRandom, n-1000, test 4, 1000, 777, 10, True, 46, False
DisturbedRandom, n-1000, test 5, 1000, 805, 31, True, 35, True
UnitRandom, n-100, test 1, 100, 10, 0, True, 1, True
UnitRandom, n-100, test 2, 100, 14, 0, True, 1, True
UnitRandom, n-100, test 3, 100, 13, 0, True, 1, True
UnitRandom, n-100, test 4, 100, 11, 0, True, 1, True
UnitRandom, n-100, test 5, 100, 14, 0, True, 1, True
UnitRandom, n-1000, test 1, 1000, 14, 7, True, 17, True
UnitRandom, n-1000, test 2, 1000, 19, 6, True, 17, True
UnitRandom, n-1000, test 3, 1000, 17, 6, True, 18, True
UnitRandom, n-1000, test 4, 1000, 18, 14, True, 19, True
UnitRandom, n-1000, test 5, 1000, 18, 6, True, 18, True
