Distribution, Test Case, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, test 1, 100, 9, 21, True, 16, True
BigRandom, test 2, 100, 10, 16, True, 7, True
BigRandom, test 3, 100, 14, 19, True, 7, True
BigRandom, test 4, 100, 8, 13, True, 10, True
BigRandom, test 5, 100, 9, 13, True, 7, True
BigRandom, test 6, 100, 8, 13, True, 7, True
BigRandom, test 7, 100, 11, 16, True, 9, True
BigRandom, test 8, 100, 7, 17, True, 6, True
BigRandom, test 9, 100, 9, 10, True, 5, True
BigRandom, test 10, 100, 13, 13, True, 6, True
BigRandom, test 1, 1000, 12, 177, True, 39, True
BigRandom, test 2, 1000, 12, 118, True, 40, True
BigRandom, test 3, 1000, 10, 97, True, 50, True
BigRandom, test 4, 1000, 13, 118, True, 43, True
BigRandom, test 5, 1000, 16, 147, True, 40, True
BigRandom, test 6, 1000, 15, 139, True, 39, True
BigRandom, test 7, 1000, 15, 139, True, 39, True
BigRandom, test 8, 1000, 13, 120, True, 39, True
BigRandom, test 9, 1000, 11, 102, True, 39, True
BigRandom, test 10, 1000, 14, 127, True, 40, True
BigRandom, test 1, 1500, 14, 202, True, 57, True
BigRandom, test 2, 1500, 11, 152, True, 59, True
BigRandom, test 3, 1500, 10, 137, True, 59, True
BigRandom, test 4, 1500, 12, 167, True, 57, True
BigRandom, test 5, 1500, 14, 190, True, 57, True
BigRandom, test 6, 1500, 14, 211, True, 66, True
BigRandom, test 7, 1500, 13, 178, True, 57, True
BigRandom, test 8, 1500, 15, 202, True, 57, True
BigRandom, test 9, 1500, 11, 153, True, 57, True
BigRandom, test 10, 1500, 13, 185, True, 60, True
BigRandom, test 1, 2000, 19, 348, True, 76, True
BigRandom, test 2, 2000, 12, 221, True, 76, True
BigRandom, test 3, 2000, 16, 289, True, 75, True
BigRandom, test 4, 2000, 16, 283, True, 77, True
BigRandom, test 5, 2000, 12, 222, True, 76, True
BigRandom, test 6, 2000, 12, 215, True, 76, True
BigRandom, test 7, 2000, 11, 196, True, 77, True
BigRandom, test 8, 2000, 13, 231, True, 76, True
BigRandom, test 9, 2000, 11, 201, True, 78, True
BigRandom, test 10, 2000, 13, 235, True, 76, True
BigRandom, test 1, 250, 12, 29, True, 10, True
