fp1, fp2, fp3, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, n-100, test 1, 100, 11007, 116861, True, 11, True
BigRandom, n-100, test 2, 100, 10007, 97, True, 4, True
BigRandom, n-100, test 3, 100, 8007, 97, True, 4, True
BigRandom, n-100, test 4, 100, 14013, 111, False, 9, True
BigRandom, n-100, test 5, 100, 14010, 145, True, 10, True
BigRandom, n-1000, test 1, 1000, 20013, 1088, True, 31, True
BigRandom, n-1000, test 2, 1000, 9014, 930, True, 33, True
BigRandom, n-1000, test 3, 1000, 14013, 1040, False, 32, True
BigRandom, n-1000, test 4, 1000, 17011, 1047, True, 35, True
BigRandom, n-1000, test 5, 1000, 10008, 945, False, 32, True
CircleRandom, n-100, test 1, 100, 98066, 134, False, 1, True
CircleRandom, n-100, test 2, 100, 99079, 104, False, 1, True
CircleRandom, n-100, test 3, 100, 100069, 99, False, 1, False
CircleRandom, n-100, test 4, 100, 98066, 97, False, 1, True
CircleRandom, n-100, test 5, 100, 99066, 130, False, 1, True
CircleRandom, n-1000, test 1, 1000, 1000713, 2475, False, 11, False
CircleRandom, n-1000, test 2, 1000, 996749, 2456, False, 11, True
CircleRandom, n-1000, test 3, 1000, 997749, 2452, False, 12, True
CircleRandom, n-1000, test 4, 1000, 999777, 2477, False, 11, True
CircleRandom, n-1000, test 5, 1000, 1000792, 2471, False, 11, True
DisturbedRandom, n-100, test 1, 100, 100080, 142, False, 2, True
DisturbedRandom, n-100, test 2, 100, 99063, 111, False, 1, True
DisturbedRandom, n-100, test 3, 100, 98101, 109, False, 1, False
DisturbedRandom, n-100, test 4, 100, 99093, 130, False, 1, True
DisturbedRandom, n-100, test 5, 100, 100088, 111, False, 1, True
DisturbedRandom, n-1000, test 1, 1000, 999844, 3315, False, 17, False
DisturbedRandom, n-1000, test 2, 1000, 998848, 3265, False, 17, False
DisturbedRandom, n-1000, test 3, 1000, 991837, 3427, False, 17, False
DisturbedRandom, n-1000, test 4, 1000, 999777, 3366, False, 17, False
DisturbedRandom, n-1000, test 5, 1000, 998805, 3311, False, 18, True
UnitRandom, n-100, test 1, 100, 3010, 126, True, 1, True
UnitRandom, n-100, test 2, 100, 13014, 101, False, 1, True
UnitRandom, n-100, test 3, 100, 6013, 90, True, 1, True
UnitRandom, n-100, test 4, 100, 7011, 85, True, 1, True
UnitRandom, n-100, test 5, 100, 16014, 94, True, 1, True
UnitRandom, n-1000, test 1, 1000, 8014, 914, True, 15, True
UnitRandom, n-1000, test 2, 1000, 16019, 934, True, 13, True
UnitRandom, n-1000, test 3, 1000, 25017, 987, False, 14, True
UnitRandom, n-1000, test 4, 1000, 27018, 963, True, 13, True
UnitRandom, n-1000, test 5, 1000, 14018, 889, False, 13, True
