Distribution, Test Case, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, test 1, 100, 0, DNF, DNF, 0, False
BigRandom, test 2, 100, 0, DNF, DNF, 0, False
BigRandom, test 3, 100, 0, 3, False, DNF, DNF
BigRandom, test 4, 100, 0, 0, False, DNF, DNF
BigRandom, test 5, 100, 0, 0, False, DNF, DNF
BigRandom, test 1, 1000, 0, 0, False, DNF, DNF
BigRandom, test 2, 1000, 0, 0, False, DNF, DNF
BigRandom, test 3, 1000, 0, 0, False, DNF, DNF
BigRandom, test 4, 1000, 0, 0, False, DNF, DNF
BigRandom, test 5, 1000, 0, 0, False, DNF, DNF
CircleRandom, test 1, 100, 0, 0, False, DNF, DNF
CircleRandom, test 2, 100, 100, 0, False, 6, True
CircleRandom, test 3, 100, 100, 0, False, 5, True
CircleRandom, test 4, 100, 0, 0, False, DNF, DNF
CircleRandom, test 5, 100, 100, 0, False, 7, True
CircleRandom, test 1, 1000, 0, 0, False, DNF, DNF
CircleRandom, test 2, 1000, 0, 0, False, DNF, DNF
CircleRandom, test 3, 1000, 0, 0, False, DNF, DNF
CircleRandom, test 4, 1000, 0, 0, False, DNF, DNF
CircleRandom, test 5, 1000, 0, 1, False, DNF, DNF
DisturbedRandom, test 1, 100, 77, 0, False, 7, True
DisturbedRandom, test 2, 100, 0, 0, False, DNF, DNF
DisturbedRandom, test 3, 100, 75, 0, False, 28, True
DisturbedRandom, test 4, 100, 0, 0, False, DNF, DNF
DisturbedRandom, test 5, 100, 0, 0, False, DNF, DNF
DisturbedRandom, test 1, 1000, 0, 0, False, DNF, DNF
DisturbedRandom, test 2, 1000, 0, 0, False, DNF, DNF
DisturbedRandom, test 3, 1000, 0, 0, False, DNF, DNF
DisturbedRandom, test 4, 1000, 0, 0, False, DNF, DNF
DisturbedRandom, test 5, 1000, 0, 0, False, DNF, DNF
UnitRandom, test 1, 100, 0, 1, False, DNF, DNF
UnitRandom, test 2, 100, 0, 1, False, 42, False
UnitRandom, test 3, 100, 0, 1, False, DNF, DNF
UnitRandom, test 4, 100, 0, 1, False, DNF, DNF
UnitRandom, test 5, 100, 0, 3, False, DNF, DNF
UnitRandom, test 1, 1000, 0, 2, False, DNF, DNF
UnitRandom, test 2, 1000, 0, 1, False, DNF, DNF
UnitRandom, test 3, 1000, 0, 2, False, DNF, DNF
UnitRandom, test 4, 1000, 0, 1, False, DNF, DNF
UnitRandom, test 5, 1000, 0, 1, False, DNF, DNF
