Distribution, Test Case, #Points, #Points on CH, Jarvis March runtime (ms), Jarvis March validity, Graham Scan runtime (ms), Graham Scan validity
BigRandom, test 1, 100, 0, DNF, DNF, 3, False
BigRandom, test 2, 100, 0, DNF, DNF, 1, False
BigRandom, test 3, 100, 13, 3, False, 7, True
BigRandom, test 4, 100, 0, DNF, DNF, 1, False
BigRandom, test 5, 100, 9, 2, False, 6, True
BigRandom, test 1, 1000, 0, DNF, DNF, 4, False
BigRandom, test 2, 1000, 0, DNF, DNF, 4, False
BigRandom, test 3, 1000, 0, 14, False, DNF, DNF
BigRandom, test 4, 1000, 0, DNF, DNF, 4, False
BigRandom, test 5, 1000, -1, DNF, DNF, DNF, DNF
CircleRandom, test 1, 100, 0, 2, False, DNF, DNF
CircleRandom, test 2, 100, 0, 28, False, DNF, DNF
CircleRandom, test 3, 100, 0, DNF, DNF, 33, False
CircleRandom, test 4, 100, 0, DNF, DNF, 3, False
CircleRandom, test 5, 100, 0, DNF, DNF, 0, False
CircleRandom, test 1, 1000, 0, 8, False, DNF, DNF
CircleRandom, test 2, 1000, -1, DNF, DNF, DNF, DNF
CircleRandom, test 3, 1000, -1, DNF, DNF, DNF, DNF
CircleRandom, test 4, 1000, -1, DNF, DNF, DNF, DNF
CircleRandom, test 5, 1000, 0, DNF, DNF, 5, False
DisturbedRandom, test 1, 100, 0, DNF, DNF, 2, False
DisturbedRandom, test 2, 100, 72, 0, False, 28, True
DisturbedRandom, test 3, 100, 0, DNF, DNF, 2, False
DisturbedRandom, test 4, 100, 0, 2, False, DNF, DNF
DisturbedRandom, test 5, 100, 0, DNF, DNF, 1, False
DisturbedRandom, test 1, 1000, -1, DNF, DNF, DNF, DNF
DisturbedRandom, test 2, 1000, 0, DNF, DNF, 6, False
DisturbedRandom, test 3, 1000, 0, 5, False, DNF, DNF
DisturbedRandom, test 4, 1000, -1, DNF, DNF, DNF, DNF
DisturbedRandom, test 5, 1000, 0, DNF, DNF, 6, False
UnitRandom, test 1, 100, 0, DNF, DNF, 0, False
UnitRandom, test 2, 100, 10, 28, False, 6, True
UnitRandom, test 3, 100, 0, DNF, DNF, 3, False
UnitRandom, test 4, 100, 0, DNF, DNF, 2, False
UnitRandom, test 5, 100, 0, 3, False, DNF, DNF
UnitRandom, test 1, 1000, 0, DNF, DNF, 3, False
UnitRandom, test 2, 1000, -1, DNF, DNF, DNF, DNF
UnitRandom, test 3, 1000, 0, DNF, DNF, 3, False
UnitRandom, test 4, 1000, -1, DNF, DNF, DNF, DNF
UnitRandom, test 5, 1000, 0, DNF, DNF, 3, False
