2000
8438956304460889/9765625000000000 -4914412287550243/9765625000000000
245746848368239/781250000000000 4634955707957693/4882812500000000
-505600707774797/610351562500000 1367607862766609/2441406250000000
-4817917557685029/4882812500000000 1586856411281847/9765625000000000
4803736285115543/4882812500000000 3500801309918801/19531250000000000
4843780591968879/4882812500000000 4929243265390653/39062500000000000
-4168695247170009/39062500000000000 -2427464023763263/2441406250000000
-5919681566742623/9765625000000000 -7766904260321007/9765625000000000
4804739753889463/4882812500000000 -3478698164659807/19531250000000000
-2682799578107713/19531250000000000 4836529702342147/4882812500000000
-8410617446907199/19531250000000000 -4406892617850759/4882812500000000
-1011700232456011/1953125000000000 -8353382406656379/9765625000000000
-866643685458229/1220703125000000 3438708692146269/4882812500000000
4124472800830401/9765625000000000 -4425950625454243/4882812500000000
7594070408241443/9765625000000000 1227966225517569/1953125000000000
-4797745295902031/4882812500000000 -3629871591792047/19531250000000000
-8881642464131389/9765625000000000 507503983666063/1220703125000000
4981757078575277/312500000000000000 -1220548003246457/1220703125000000
4525138915735061/4882812500000000 -7337548041089871/19531250000000000
-6427921279065451/156250000000000000 -4878678933158231/4882812500000000
-1684202022624287/2441406250000000 7069854906038537/9765625000000000
973296902989817/976562500000000 199490836830301/2441406250000000
-880495289978237/976562500000000 1689508144910301/3906250000000000
-7001378622784199/9765625000000000 -6807946020720599/9765625000000000
7263403540877499/9765625000000000 652766425630127/976562500000000
-6979636307354343/9765625000000000 6830234890374271/9765625000000000
-773615164543279/1953125000000000 8966906995745071/9765625000000000
1589149120981771/7812500000000000 298795600051051/305175781250000
1762824928784503/3906250000000000 8714656237108521/9765625000000000
429337288782779/610351562500000 -6941096578391059/9765625000000000
7373715514537307/9765625000000000 1600698112373489/2441406250000000
1040891404099881/1220703125000000 -5101599462165527/9765625000000000
4616052037689529/4882812500000000 -6367318425206771/19531250000000000
-4880768632812043/4882812500000000 4520441817903771/156250000000000000
-6928845983112543/9765625000000000 3440876522883747/4882812500000000
-1320122359048703/1953125000000000 14056986165272/19073486328125
-1102720081721841/1953125000000000 -8060250751360617/9765625000000000
