2000
-8538493608020449/9765625000000000 4739362673020387/9765625000000000
-575931432217/610351562500 -1293243729483387/3906250000000000
-5254607141133451/19531250000000000 -4702783951786227/4882812500000000
2382458624038621/2441406250000000 -8531997296323061/39062500000000000
961153633990643/976562500000000 6911787991289201/39062500000000000
4291895911189511/4882812500000000 2328408769454153/4882812500000000
125342753663861/152587890625000 -5569198388497923/9765625000000000
-4882576527423/4882812500000 3072242666555367/312500000000000000
4283180559120323/9765625000000000 -1755241247676213/1953125000000000
-275634592560027/488281250000000 1612174434660619/1953125000000000
1774066872494557/1953125000000000 8169357364826079/19531250000000000
-7151506688297951/19531250000000000 -567964497619681/610351562500000
2148529550101729/312500000000000000 -4882697094155493/4882812500000000
-557093814535927/610351562500000 7979205720599613/19531250000000000
-947996732810529/1220703125000000 6152298114833269/9765625000000000
-1428347373520583/1953125000000000 3330278747888317/4882812500000000
-4634820835317201/19531250000000000 -1185834625622079/1220703125000000
4880638669591041/4882812500000000 -4661916466219827/156250000000000000
3864082352325163/4882812500000000 -5970167664180123/9765625000000000
-7970596864705383/9765625000000000 -1128486016944361/1953125000000000
-1640991178674973/2441406250000000 1807653846578483/2441406250000000
2671332164026089/4882812500000000 -817455622761161/976562500000000
308461876771083/610351562500000 -337068199410893/390625000000000
3317403185210131/4882812500000000 -7165666477561993/9765625000000000
401365876482257/610351562500000 114955008329841/152587890625000
5727261944802581/39062500000000000 -2415022464363699/2441406250000000
2260537218082123/2441406250000000 -3688763398657279/9765625000000000
-1161060570615547/4882812500000000 474276251371689/488281250000000
5851770216447013/9765625000000000 -7818197808608367/9765625000000000
359609104911417/390625000000000 7627119752863707/19531250000000000
288340388043091/305175781250000 -6397464484853517/19531250000000000
-6442361557169087/9765625000000000 1467833903509997/1953125000000000
-972014681667269/976562500000000 -1882740027675389/19531250000000000
7772148851920843/19531250000000000 -4479560726134913/4882812500000000
-19240041189591/19531250000000 -672028022788983/3906250000000000
4876790941344257/4882812500000000 7757477500369669/156250000000000000
6995811064468873/9765625000000000 -106463548255487/152587890625000
2792826914096629/9765625000000000 -4678876720659631/4882812500000000
-6304495585251849/9765625000000000 -1864483290622447/2441406250000000
5591059649728811/19531250000000000 4678473165438661/4882812500000000
6057068640648899/9765625000000000 -1532048969492721/1953125000000000
613337567849983/1953125000000000 -463580784052849/488281250000000
-483423551637783/488281250000000 5496325360660093/39062500000000000
-7982262469489783/9765625000000000 -1125182963056229/1953125000000000
22690768888591/24414062500000 -7207793781665269/19531250000000000
-8526219200326471/39062500000000000 2382539424842667/2441406250000000
-562179316208269/976562500000000 3992582913459197/4882812500000000
8456920925929269/9765625000000000 -4883433228089091/9765625000000000
-4879729513615097/4882812500000000 -1110317628945209/31250000000000000
4842526768120001/4882812500000000 625933231421299/4882812500000000
-2344054280256529/2441406250000000 2730198553219479/9765625000000000
1321702499411601/125000000000000000 -1220634884909137/1220703125000000
3024512688952567/4882812500000000 7666597916813209/9765625000000000
2426741199744791/2441406250000000 -1710029544169109/15625000000000000
8746990957182601/19531250000000000 -2182887550633427/2441406250000000
-1022516763431869/1953125000000000 8320391718732081/9765625000000000
-8803263144968899/9765625000000000 -1690916420929541/3906250000000000
2289437042061343/2441406250000000 1356647640479933/3906250000000000
-5115985971908303/78125000000000000 974466385430319/976562500000000
8343824375694501/78125000000000000 -2427442435390857/2441406250000000
4091853904834041/4882812500000000 -2664317836079371/4882812500000000
7882802968721387/9765625000000000 -5764446981015811/9765625000000000
1718848106828559/2441406250000000 1387031515302447/1953125000000000
1078279147627133/1220703125000000 2288860674404693/4882812500000000
8332078345510101/9765625000000000 5093515690061891/9765625000000000
-7642981241926287/9765625000000000 3039418915524311/4882812500000000
1359792521960319/2441406250000000 2027665843959467/2441406250000000
4834874652746517/4882812500000000 5460227115484501/39062500000000000
778470224001991/1220703125000000 752212833595197/976562500000000
-195505368146183/1220703125000000 -2409891093315871/2441406250000000
3767000564489179/9765625000000000 4504917823550259/4882812500000000
-4858596887882707/4882812500000000 7771030366074909/78125000000000000
619521398055447/1953125000000000 578833223546551/610351562500000
4527523463026557/4882812500000000 -914246848764089/2441406250000000
-7821143883017011/9765625000000000 584783207708383/976562500000000
560387336553737/610351562500000 -967430103946741/2441406250000000
1145533219790751/2441406250000000 8623890648559869/9765625000000000
-4853046700261669/4882812500000000 -8613227189637403/78125000000000000
433816068559401/610351562500000 1717359128456743/2441406250000000
-3864071093866343/4882812500000000 -2985098405698347/4882812500000000
-480450440910323/488281250000000 174194752281907/976562500000000
970931282700807/976562500000000 -8377784214634559/78125000000000000
-7767977223596507/19531250000000000 -4480012949312939/4882812500000000
4922650525877517/9765625000000000 8434153392054403/9765625000000000
1548516479925903/7812500000000000 -2392967662654787/2441406250000000
11269950708623/12207031250000 -7504635020241309/19531250000000000
-8507885270621283/9765625000000000 4794092183361769/9765625000000000
-710877872103279/976562500000000 -6695722271421987/9765625000000000
3265918179757249/4882812500000000 -7259651879611679/9765625000000000
-296121809783531/2441406250000000 2423381181595167/2441406250000000
8609393003019773/2500000000000000000 -1220695886536363/1220703125000000
4228490459898617/4882812500000000 -1220832332949803/2441406250000000
5216034889509937/156250000000000000 -976018207918647/976562500000000
-1234505208571471/39062500000000000 -4880373485867927/4882812500000000
-1805784430259111/9765625000000000 -959721700453099/976562500000000
-2416059920392949/4882812500000000 -1697268976737727/1953125000000000
-4328736136448393/4882812500000000 -2259181571092083/4882812500000000
608274362739427/1220703125000000 2116712941349119/2441406250000000
-2336675857229097/2441406250000000 5659175435523309/19531250000000000
480889688577879/488281250000000 -6771085122387063/39062500000000000
256316309710177/488281250000000 332477274751217/390625000000000
-2430048343290811/2441406250000000 235222292329293/2441406250000000
-8023221707205103/9765625000000000 5567346322769747/9765625000000000
-3070388538945349/4882812500000000 -7593305506844643/9765625000000000
1042831160792503/3906250000000000 4705597104874843/4882812500000000
-3898728682079501/9765625000000000 4476810982835763/4882812500000000
2442384235011021/4882812500000000 1057018719049179/1220703125000000
-5208643739424751/9765625000000000 4130298476998253/4882812500000000
2730146043913457/9765625000000000 2344058102675901/2441406250000000
-460934765694919/488281250000000 -3222279992510439/9765625000000000
-4634996306434339/4882812500000000 -767897641208821/2441406250000000
2157565186362041/2441406250000000 571265468967273/1220703125000000
-1218500349544583/2441406250000000 -2115590077424923/2441406250000000
1767619272715171/4882812500000000 -182065394919/195312500000
-5713569136808173/9765625000000000 1979939382903207/2441406250000000
-7262891431449217/9765625000000000 -6528234041117593/9765625000000000
-4371982849511257/4882812500000000 8697239905842019/19531250000000000
-3489364454758691/4882812500000000 -1707790503254339/2441406250000000
-2853069003066073/4882812500000000 -7925113292287957/9765625000000000
250040907695523/976562500000000 1180011825208921/1220703125000000
