2000
-991011015087797/1220703125000000 -5702004067957411/9765625000000000
-4603965651497173/4882812500000000 6505822856476137/19531250000000000
8256975338567771/9765625000000000 -2607191491764109/4882812500000000
6522040942645107/19531250000000000 -2301265645333023/2441406250000000
-1154832283849793/9765625000000000 4848551176300073/4882812500000000
-6568888836764563/78125000000000000 -4865521765302639/4882812500000000
-4037513588898743/4882812500000000 -5491936609107663/9765625000000000
8119381450232843/9765625000000000 5426147482905327/9765625000000000
-6808916536426351/39062500000000000 -4808062177624779/4882812500000000
-8189598915087571/39062500000000000 -149196731025331/152587890625000
-4844591242762237/4882812500000000 -487799041053719/3906250000000000
-1800133252722543/1953125000000000 1894428571607341/4882812500000000
-692346399497209/976562500000000 1377433525814587/1953125000000000
8767858323145447/9765625000000000 -8600486513186127/19531250000000000
-3171793383427229/19531250000000000 -963599311559721/976562500000000
-7249619193879557/19531250000000000 141687123526737/152587890625000
-4879310767591921/4882812500000000 -2958241355087951/78125000000000000
4868893707730443/4882812500000000 -2947345631354701/39062500000000000
945459684375533/976562500000000 4890002111523777/19531250000000000
-1984933653588543/4882812500000000 -2230577072251029/2441406250000000
4854223619425069/4882812500000000 -168834790809997/1562500000000000
922269384301647/976562500000000 -3210817640198693/9765625000000000
1589569384870319/2441406250000000 7412134535446111/9765625000000000
-2172609027285613/9765625000000000 4760441199489341/4882812500000000
2296731758119343/2441406250000000 -6623534808714001/19531250000000000
-6715665268266203/19531250000000000 -4585095190990471/4882812500000000
-1183717227603687/1220703125000000 4771371813378793/19531250000000000
-7879271248396207/19531250000000000 -4467849113084903/4882812500000000
4589404472553599/4882812500000000 -6668402504301939/19531250000000000
747614381568673/1953125000000000 90218761935873/97656250000000
-443215690945497/15625000000000000 -4880847703205329/4882812500000000
7640644908960673/9765625000000000 -6081774166787051/9765625000000000
898150008566927/1220703125000000 -1653411844031601/2441406250000000
-2433841672610413/2441406250000000 -6145265719959191/78125000000000000
-434279392315459/2441406250000000 480494157589837/488281250000000
605272980692699/1953125000000000 -4642427896901291/4882812500000000
5026548979346709/9765625000000000 8372648147321943/9765625000000000
3283046938004791/19531250000000000 -2406668240812121/2441406250000000
4509048360837571/4882812500000000 -7494361389507997/19531250000000000
-6694513442395559/9765625000000000 -7109917116971911/9765625000000000
