100
4527809125383121/4882812500000000 -3655572422619247/9765625000000000
4908381767010169/9765625000000000 4221232641951493/4882812500000000
-2379213140840987/2441406250000000 1752155048448497/7812500000000000
-5803897785215413/19531250000000000 -2331122640828313/2441406250000000
-3046952343977111/19531250000000000 -2411514721005349/2441406250000000
100212236695083/390625000000000 -235969905259363/244140625000000
-1212726977392671/1220703125000000 -1114540915392209/9765625000000000
-2301074363642773/2441406250000000 -1631589716227789/4882812500000000
-2330995628880623/2441406250000000 290358083938709/976562500000000
-4831464483422443/4882812500000000 -282505605065459/1953125000000000
7642397795588693/9765625000000000 243182853259373/390625000000000
1742373038096139/4882812500000000 4561358800431279/4882812500000000
-450274778139251/488281250000000 -94434108341757/244140625000000
-5219621832024691/78125000000000000 -4871902530763557/4882812500000000
-4719860291544079/4882812500000000 -5003641455518871/19531250000000000
-1207222735938659/3906250000000000 2321889916534587/2441406250000000
-1983475957896851/2441406250000000 1138781833921629/1953125000000000
6485152954827/12207031250000 8273500950518113/9765625000000000
-1230759661822317/4882812500000000 2362577436031847/2441406250000000
-4682492249591621/4882812500000000 1107393116878199/3906250000000000
2597089479680473/4882812500000000 -8269699908627703/9765625000000000
517726806176739/1953125000000000 2354071014949101/2441406250000000
4777200286587089/4882812500000000 -80804567474409/390625000000000
-482398512123919/488281250000000 3022649063901837/19531250000000000
7285952217254531/9765625000000000 1625621648949041/2441406250000000
-1786768054602907/3906250000000000 -8684126676568629/9765625000000000
-4851373392006469/4882812500000000 8851256131244967/78125000000000000
-1172369608905229/2441406250000000 8565992274247707/9765625000000000
-1203432052849257/1220703125000000 -6547689018670923/39062500000000000
1233155607765393/1953125000000000 -3786509369344809/4882812500000000
4654689033461201/9765625000000000 343397848898099/390625000000000
1687624674615979/2441406250000000 1764195974138467/2441406250000000
-55235118408117/122070312500000 1741741134440469/1953125000000000
-1741999446860997/2441406250000000 -1710526937722713/2441406250000000
5446531031241099/9765625000000000 2026430534313241/2441406250000000
-2441379224128633/2441406250000000 -5881574949002631/1250000000000000000
-279500606918967/2441406250000000 4850708768116673/4882812500000000
1435026357227547/1953125000000000 -6624569079734991/9765625000000000
6406599304641369/9765625000000000 29481632787997/39062500000000
-3957190878590891/9765625000000000 -69749513463237/76293945312500
-8064287951288573/9765625000000000 -5507693844008303/9765625000000000
1554003496120707/3906250000000000 8959583624722963/9765625000000000
-4197015122033963/4882812500000000 -9747578619018/19073486328125
-6580154837025931/19531250000000000 4597358541075953/4882812500000000
1010331868048847/1220703125000000 -2740352198648029/4882812500000000
-8933117491960663/19531250000000000 868431255824729/976562500000000
