100
6496330472319957/9765625000000000 3645720848989681/4882812500000000
-2173545531118113/2441406250000000 -8894634073896167/19531250000000000
4569576981643167/4882812500000000 -1376563633166163/3906250000000000
479703800497871/488281250000000 -113899921048187/610351562500000
2399208483149127/2441406250000000 3615638317525261/19531250000000000
-1913573550327423/9765625000000000 9576307634371/9765625000000
4808716880204697/19531250000000000 -2366253527891369/2441406250000000
1733550293057369/2441406250000000 1375271402213779/1953125000000000
5416033611914537/9765625000000000 812613140154877/976562500000000
-1974867497496247/9765625000000000 4781927697277477/4882812500000000
962267480681399/1220703125000000 -6008833044818411/9765625000000000
-6969501844234861/9765625000000000 -26720998764283/38146972656250
-5902453676365901/9765625000000000 -3890002321303281/4882812500000000
2718108170270729/9765625000000000 4689864593336691/4882812500000000
1217288560842851/1220703125000000 5839339456660531/78125000000000000
1124082889757939/1953125000000000 3993068151949733/4882812500000000
6602327362968199/9765625000000000 1439120634732563/1953125000000000
4727696719278781/4882812500000000 610479655819279/2441406250000000
-8290063427558447/9765625000000000 161300500836181/305175781250000
139473334405127/152587890625000 -990224650752273/2441406250000000
6899903012818877/19531250000000000 -4567966348498209/4882812500000000
2184948287010839/4882812500000000 -8733351909374693/9765625000000000
6458106384848577/9765625000000000 -7325318666283607/9765625000000000
7485891942911931/9765625000000000 -6271272076674017/9765625000000000
4861060243004009/4882812500000000 -7366105711620411/78125000000000000
-2833644761384191/9765625000000000 -4672737126323953/4882812500000000
7060156534378411/19531250000000000 -569079503000183/610351562500000
1525999229150777/15625000000000000 4859469968451333/4882812500000000
426296429060139/15625000000000000 2440497437620353/2441406250000000
-870965057531743/976562500000000 -2208473369575563/4882812500000000
2306758373483733/9765625000000000 -4744636378243007/4882812500000000
5451080222579007/9765625000000000 -101283293945461/122070312500000
-5462433495152419/19531250000000000 -4687960289891123/4882812500000000
-6846350647639843/9765625000000000 -6963829007822241/9765625000000000
-7418757641947983/9765625000000000 -198454641707119/305175781250000
-803938713459869/976562500000000 -5543977465743711/9765625000000000
1237015893856671/2441406250000000 105240868438609/122070312500000
1285130958958127/1953125000000000 -3676900600329343/4882812500000000
2440309858053333/2441406250000000 -4682191285381861/156250000000000000
-4702292327009091/4882812500000000 5261641996955217/19531250000000000
-2081922915740803/2441406250000000 1275171145553559/2441406250000000
-949588571764051/976562500000000 911753131336413/3906250000000000
8150394858793017/39062500000000000 1193835881194031/1220703125000000
-2791509526721723/4882812500000000 4006161813054749/4882812500000000
7267545418619727/19531250000000000 -1133048484300897/1220703125000000
3138575193058301/4882812500000000 3740481742727171/4882812500000000
4757158651754317/4882812500000000 1760944817085409/7812500000000000
5282842095155377/19531250000000000 -1175201621598121/1220703125000000
456225320522387/4882812500000000 -1215363021052519/1220703125000000
-2564133036735153/78125000000000000 -1220045470020867/1220703125000000
3966641625678479/9765625000000000 8923742816445339/9765625000000000
4555770056802351/4882812500000000 -87846700275243/244140625000000
4863237759159067/4882812500000000 174711834994997/1953125000000000
773287734895421/1220703125000000 -1889065587474479/2441406250000000
-1246381271607731/2441406250000000 -839714065936691/976562500000000
8625691067678191/156250000000000000 -2437683284054881/2441406250000000
5720271236941209/9765625000000000 -1582983621095911/1953125000000000
-8079563119705099/39062500000000000 -4777223903005641/4882812500000000
-468134070599629/488281250000000 5552523180736351/19531250000000000
1208603620594509/1953125000000000 958916737846109/1220703125000000
288691045538551/610351562500000 -2151042575392871/2441406250000000
2420973450185643/2441406250000000 -100864503062343/781250000000000
1660020748804531/2441406250000000 7160777154558023/9765625000000000
-2187890081170339/2441406250000000 -2166657767397067/4882812500000000
476920681693321/976562500000000 -2130465001735871/2441406250000000
-4781498612776577/9765625000000000 8514969327991773/9765625000000000
-8604745527197553/9765625000000000 -923597012831867/1953125000000000
-2086258083521623/2441406250000000 -2536132241409937/4882812500000000
-1212216796317293/7812500000000000 964735121425227/976562500000000
-4449279752844217/4882812500000000 8045637417718251/19531250000000000
4854429249531813/4882812500000000 105142678574639/976562500000000
155004486438837/610351562500000 2361364483615433/2441406250000000
7064442804293829/9765625000000000 -337124159270313/488281250000000
-2812885124890377/4882812500000000 -1995591089397243/2441406250000000
3056343679171747/78125000000000000 -2439537287292133/2441406250000000
1127811802462639/1220703125000000 -7473158927009997/19531250000000000
1040276148308187/1220703125000000 -510962482941109/976562500000000
774338224859293/1953125000000000 8965346589991319/9765625000000000
5655545162729941/9765625000000000 -1990324102893593/2441406250000000
