100
954979887760619/976562500000000 -8167029362402531/39062500000000000
4652511686873089/9765625000000000 -8586126405087123/9765625000000000
6217821766817777/9765625000000000 1506069375782033/1953125000000000
-954187784735199/9765625000000000 1214862114810303/1220703125000000
1934620744777907/9765625000000000 -1196509730257787/1220703125000000
-2275927202903213/2441406250000000 3534107739442521/9765625000000000
974651402665779/976562500000000 -4885216679168829/78125000000000000
7785486298488177/9765625000000000 294761067377791/488281250000000
-2438029271259629/2441406250000000 8215404073030869/156250000000000000
4530268002176027/4882812500000000 -1457346572615593/3906250000000000
-1507578527238167/2441406250000000 1536264865028051/1953125000000000
-6305817427340321/9765625000000000 -7456815554489469/9765625000000000
-8496226169903057/9765625000000000 -96294491037607/195312500000000
4176630778123867/19531250000000000 1192465739002279/1220703125000000
-36956001904777/38146972656250 -242113542627947/976562500000000
-7989630794759641/9765625000000000 280772289427097/488281250000000
-160985426651253/305175781250000 -4148166241373439/4882812500000000
6546575959264513/9765625000000000 724636287044783/976562500000000
6584290158147367/312500000000000000 2440864278882461/2441406250000000
-1209991223012193/1220703125000000 5163550740436289/39062500000000000
3356500380092013/9765625000000000 4585339050688269/4882812500000000
-2286783789627223/4882812500000000 -8628436198907519/9765625000000000
-1734041376987861/3906250000000000 2187668704690463/2441406250000000
-4750186102075837/4882812500000000 4521220907324599/19531250000000000
753814916909083/976562500000000 -6208360391050139/9765625000000000
1253329701823889/1953125000000000 -7489762887019591/9765625000000000
2165537471008661/9765625000000000 74394479092379/76293945312500
976052675827861/976562500000000 1009644583749767/31250000000000000
547033738985443/976562500000000 8089674930538657/9765625000000000
2557853629815057/9765625000000000 4712345924512199/4882812500000000
-3118039022797109/9765625000000000 578404541514237/610351562500000
8867942572476897/9765625000000000 -1022467180765379/2441406250000000
-929153838945507/976562500000000 -6011570842269989/19531250000000000
-794137718923787/976562500000000 1136696265127627/1953125000000000
-4895062758414269/9765625000000000 8450194804370529/9765625000000000
-792711183519303/1220703125000000 -371316597831703/488281250000000
