1000
1175399544164885344/4639104809511919636 667399999768114368/5129100158927225318
1057648238776552686/1808489754270719355 4301618919742151539/6361182010031317707
381426818127225485/3393725845180214463 1255027633812154663/8381580858812493458
353726474225601350/7121789813075304689 1370048745986529501/3880567822279217860
1649934817867469941/6311656063607475458 2289318988316283623/3977894564070435326
559324028388535891/3373116237343482571 4380437588412833434/7719371067921616531
231739407863023676/8130218887187050606 7627418130448289024/8467218651113591341
4282317996391642934/7098199339227313196 3168847227041470727/6488498072378712876
73076364239507853/8917414774612435676 5707731652890896100/6322368525526356565
976707232592603525/1121620900169026229 5542394351562613843/5760848019115291115
59063654842808929/7822770374985984379 5897313722070010185/6083840361402156913
1421372182438062552/4692493066159219486 3662464476545256488/6143252208377250142
6783014675822765121/8315163810431372302 4438623601591950837/4806562643347518004
619978847102482764/2812522884140248303 1678397524868702283/7188128952075856940
6451033258849703869/7931409051950003774 1560793751863096987/1591104713836682645
1521900160483821626/2425359102134592477 1122675845619917011/5744199696598208132
1699336169252791787/4969686723733266093 2403893470092487048/3684345750456296100
8737965261132254238/8786917790182047911 324518004848414353/697928503618347520
1068834441824257718/2367842219847194219 1754805467222211093/6479549037466759395
745597205583326312/1293393556878630399 2715057273424708514/6892432687493477786
2550871272289919775/2575321139444060826 4061759215272112711/5619694113725631350
2489670496177724405/5631905895098033466 7684393072679849554/7945751938228479604
2448602800226490486/9047147975307313903 3289644096212043142/8290341981722988312
7837329813483471676/8569350492467996158 8494762017124804383/8546880388584221290
578445045736024924/8530106347658393528 1328595286182036743/4122993258914956221
6952664397734863274/7762714273229339141 6548041153749503944/7873704290687761564
1152514662934616066/1506614676472184746 1806629451659425294/4523026411086183443
2975345200485090878/5182620462112551354 1702535524913585985/1936230184150599867
3258608162469330101/4147339122957488555 5114918611295794801/6627300846784254443
2082282261388422031/6238206629384243288 6728577911350839860/8211384897656215304
4803471828756638069/8099492584094869877 3285671117223846606/5628021830256775941
5376297410227454174/7584624049719144811 1894283025047043752/9022301627286121008
1024912982349212336/2433245578942113051 398628407231651615/5720602590500352403
1347889963621320640/2206042187227337355 2990308010254855748/7256015548806020664
1369369892837951713/3491055753314508604 5367043093921862630/8404624564849987689
2242873368176051949/8694151552959474175 213224881521747557/1559790703898920528
730260485931986877/3649408856713788481 3815267046438366717/6107377618577238910
4043249706761776688/8192507106689560482 320492477455077838/7423193190971149882
938137618213535804/4357116089449457101 5651486128472918747/7955588175593492133
1150936487580835579/8993518137705634126 498998907141644462/6876635681469211860
759730940067940906/3165377835987292021 1301755472244261203/6467122953056582522
5162802526818261852/7758999827656952597 1755482039152997521/5770383254281527370
555611097078630349/2414965954927491156 7950411400450626107/7978150307812605570
4588367888878710270/5191506285820597916 3731515413314295530/6417580660111874863
2735770220876394278/7042395421250288755 2823811437362196986/3294584754320960075
6828229935328962409/8209093687364656389 564679314728713254/5797314610618743232
1662637488886275582/2818843219431844457 7079672531878067860/8936270055592238228
2351063178336422909/5850957701585892412 3830565517865750770/8491447003629770850
5822033717268811745/6946041716484646104 7644998163723130832/9196467685849210864
994802792570725176/6710707454502576500 2882068341634076135/5358249328067791805
645207094615756018/2443354378188456206 2307918241034995995/6664467010782358129
2017414891072393002/3733837421735332419 2418738491933663611/8365580130242319870
1689280573666544176/6012271667441340184 3327454016113136387/4672000349767064256
1774204796184499005/5761072275181289669 2626397406211654027/3225866245034457099
2482612075113224059/5136314866053501336 4854328662183732194/8941334737024111649
5994068287708946590/7197407319632949972 2770613838265420722/6106966713770388026
222881614487485074/6598445357929041504 5638023915544102507/7321108641462704611
3102413190030618001/5936063989683379426 1520695651383290044/3134908714549497510
2748875005628348670/4913293424876326945 356751635348981438/8531260289368247564
276311471427648384/5419513110149046787 6954271905070105340/9028743996668728481
5532924398992754425/7424997562814173806 584062285436284664/4068184200788459154
4838443494430251946/5119659727506464800 3035800816644080144/5808085467544741141
540358079232263666/3567013092779628674 4789676617974095542/8055382126610920521
3024199602141840207/4959624033822072831 1999097883421818584/8886512715734835221
7407301168935773684/8032331451579331369 761904945402744065/8539603430619979382
7089271939349098617/7527040472762830646 2716056130115053847/8992723107267550215
6058412807656993551/7664445382257823572 5170368146817819856/8021743378621969482
4265211896160849340/4480094514530832939 4333030378319763665/7537348422591386359
4895812680218178821/8253176760989181625 1163826674870258144/6586519556031798550
2626292484183183432/4433588222549114332 517520515856602173/4765123248801765294
2601022305021438504/3763245423881552262 1400043974353501626/7648183817956433199
7346344379793306139/7755830232129501734 3891096290014579039/5437904949070615412
4150828456934132270/4805383701407100533 3667881066316350652/7625601712110418099
6145145275500102167/8557914533545905824 59723393563342225/5398706818737222304
3277319127628290074/4364886047992881726 3630143129957024082/4382047057861207313
3677091271493999854/4182997732779791877 2713068229356518194/3205471405111844112
5506294187839484573/9212907947955018786 576755332788049327/4431230868963370797
1296406468277954745/6661899046519730914 4877044340602326538/7472717673009833093
3566290875050203799/7261616049843081981 5630197374615175696/8385978565800537354
91514545088407802/2667625198554188083 255403873947812254/2347668520759360001
151396176512905623/8216661421002568189 4565697562679848994/8914328960722271039
2716413539693417917/8891553426743537957 1089559831437602451/6648826608857451938
1030881952599390246/4355139231050475436 1000512876302749184/6172928076224196872
3013543790354244330/7473228677784658972 5261187484271763024/5528673399363153928
256303321811157424/3701481769930387662 5623901404678198163/5877081845985625174
3724808621589860548/4982690907127785219 4069752364500438210/6310947418459179341
7744713432048592631/9176624984646713058 2968930339800687335/6486352491548340339
2648673455169701480/7669541419930417586 1236198630906790028/4034406760477826050
1077593647033772127/8546100969624568053 8472307111488346087/8784739635958923707
7146155884170083378/7906946565843329599 318808334087998240/2951159620834511524
2739046606882368970/6605782127555276313 3890443160018167351/8521777527250614412
513576149487292643/8521914750323702590 4639835248789014662/4869419909233038528
3197672250543196049/8117678919669781665 3637355092580357113/5803507286602477509
4063139250135836177/8435015974221366629 6794157346040000295/8719424206553668436
946207555083915255/5542351590137762335 2006446650253363215/7254595594962292119
102697587847878269/6132594200752229414 6438298017974293427/7354476670617734792
4469825356685175588/8859716143693611604 636876726731650363/5355522429078509739
3547334795127637753/7783642521897382978 2936995981856089709/4687298791153859415
5260575400995087784/5937663555509221137 2865731483732730688/9089130456908719872
1241605621188541271/3222916202582152848 725708373515040271/4346316548017531369
8048633895126323968/8292990165803208447 6207869350065695873/8322938547798366940
4550709549704652427/6119674905706292239 4933435602570841704/6254282049076454938
712349551645239118/5399246432544065143 1567761434838462680/5617908194218751310
696126552597433748/3725035446438737459 3686948590939675984/5022558267801138639
7363251617387624969/9140329075113710501 2636154080175032084/6540037525871178963
6075027493924405919/8679327477690888868 6871303114761367688/7612849979131516327
6483146751469148307/8865496529286511288 839943858160570402/8662707269808056139
2470172466435940355/8546840192531885999 331043728916626639/591120175265592394
7300254214668636009/7988286601209694278 516174996952226273/3675268373773225601
6113320481026213984/6315961766742049568 1754148586686086040/4662982379273010057
3357926346922575306/4827884209006078925 1431817895963492341/2963372123423516884
3708099123156219862/5082985729554324150 3443282967679098706/7192336869615676499
907004036079384646/3255968900271057721 2077426345614102697/4597488267086621718
2668227916031368692/2853342333500673320 763483948412707229/6836098929749096117
8444282943547230594/8959543077331350510 4782268619913037439/7464479690249615426
529499680499601803/1543631706175714472 2504110163091238876/4510246602991347636
5209813785299536203/8196590688766248817 5524398863182765787/6567632228781828538
2496433338665172576/3430589700579436210 1993895632614042024/4084556906587549539
2314518942616291336/8127451502541368481 1513720481967476570/3419312306873630460
560308170369486732/5347875234160200092 1098052173821803327/8907667041748187228
3865771856577480214/7698470925919452791 4017641930571420406/5564423355441721769
1905683825479681729/4352065318980771742 6369055751433490207/8307424444982002757
1689127226743158906/4585210420168774640 180774726891347929/1122595333625782945
1516590107553163633/2244244043110531552 3330861139132677288/6786051932525189728
897835064431871275/8104621361241166184 4710959652298388917/6769972637340419778
1937850013309941290/7923502138253984029 6422772882324863849/7596166311312895822
3021058951701861430/3297069892645808806 3654051360574252849/9133119009322808847
4167304505100898430/8937483732760021311 1652436289595478349/2634545084676787076
5162462769665518510/5495999584705543994 7641780995770665087/7659582197062551759
2254856377848579486/7085057848541704658 76380688940817999/5754539979324709843
7346764891954901449/8180102466603651838 4347541109841311207/7848175412660491267
6312864154392712033/9154645825128389752 3109383508315116781/8683880334870132483
2825170134338187247/7934811699248100303 181236509508833724/626118806768887247
5883806634777116573/8661147976554200037 1212499869669785379/6583014014612427298
1242320104940885569/8406916339620067901 4364985378392135770/6315526108013606107
2487953262114288578/9046883839733356595 303954563598185967/5692010642329606511
5065087787356143473/5247719867797343681 4356628969719435534/9004848083189373262
5172740791108689951/9147944052666544362 7390121780310660091/8601168151664100681
2821461383496772739/6680815627199529383 1965723614826354692/9012704007846390831
923000358677750740/6169028563173345122 2633730287846424201/8689593752909435211
8150282837591359789/8856734845086201984 3244554942628493599/3402988876589340717
2015645929409274376/6142969038498110288 1831075416533879845/3839656472531257984
1327121651876540738/2727853594893946557 2533153494656029313/8259001720528628840
2620657426305058504/8662848770122257832 391805357659132751/2214544397476528908
4100512889307323415/7056394721338952622 2379912756146771264/8394870221597034854
967125657231643129/2055878508983005512 1324716334237079212/1743310767912388998
807174566911379931/7876161875960109596 5384826030575240986/6096172202678480639
4929962790182033957/9063194896187147783 2008764157362519276/4893403760710598810
1011441372839742775/8307476533505386414 4171768251058862105/7054324046958465095
7617192421464093490/8099893306449624930 790743625434185797/1676684148450935360
7651647965327631/2390908057090726341 2455141866022622893/3395072064208335625
506576765960850620/5247438622781169337 2666441827818600573/2833636210978103131
5671623179071939423/8366672370289673498 715078762879539394/7148203631737784960
3404314291888145572/8791675957689530361 2221247075424953431/7912633096239384184
2079571489163053021/2244738233632635133 808120581394266542/1313548996731549589
2850815474692741101/4850603876778078081 2905743832540781814/8772670183366617407
2380250026233655410/2875286271921626566 516817806873330451/7715377871932070554
3886814077960393425/7562372287361192575 36995361047826134/8286310713869409236
2828405360669950379/7174395926803795093 1614356408452064619/8680113264819286658
2507040725813903855/6632870234524602010 1249300915432674355/4764116761030224190
5213773263643991904/5580515840053159224 688949115289125371/5173228695280657992
1170897712330661133/3093201650872400605 5174594661884198526/5634311226686681736
6140155689048650527/8958502692610754651 4059832850545675643/4592464011814295494
4567457711605891363/4604826091997200478 353596767791588832/6601044103327293326
679045094990904428/2457460254498632599 5040360911210306630/5629468265847881111
5672511570912562524/6961329816078218586 207363918135856925/4240718359428908266
5935406468080089997/5984503544465871066 2011843491201486578/6268111292394964394
2409326556751876508/7935481274618012744 1037009410793406164/1778971222092578741
54628162531983554/1252872524581827567 1298588200598457079/2780468548086008752
250375552879671829/8299930056623924688 4869090725240919194/6395345175256601159
769633056937074382/6096976171785461877 4835428839729114308/7586922920286742554
468861773621348027/1927713389448192543 1288069294091961121/7182988244515793683
1055979262421119455/1672528276193043149 7762505195654329190/8969108587395164001
458004288632917726/4559877289267156511 3202608399922396885/9042455780940819169
323520364140806543/919470854963643633 324644172807642258/3626882685864826831
3561794856650839354/3602317050343082221 1728478549194965869/7639732740284285671
5215230113422754158/7073603804824798354 4937296772893227280/6638341127281753319
5216491000291020097/8412233562078565433 1744754762915574491/6040686962923396957
686305439032646136/5449715276445668323 2093974371070228214/2974403170991265522
3811531216157457939/8363574094573783231 4771865059128484772/5706857975486262943
1315761591671270589/2991267553342173673 5546481641258842784/7895329962353688356
768920273861750101/6202541411455672444 91016468052434917/8002723890044581030
7898313956406710231/8901762028049196510 197892173337906967/6762806376498278862
3368696119937892084/6921540808379875649 1761343094785404043/6631394809205078733
2749850306336783345/5858306730834546770 1735094202383135810/8779271268116401489
4395386423710212035/8677275652363723882 4394100668026683950/8094795598225321544
4191477914458645149/5735274316526337944 1774628881172874035/8132893475360674858
6453260857428574326/7612936487308747890 992202473114787144/5790660120118486058
645808477032238191/8849215567328946008 1354146040483229648/7991369591121454822
807971331551154439/8189094581697257831 3375120168067838005/8859566913450534982
1438224238994172571/6460387380667501967 4941325271882268007/8433693014748508507
4910196250701092977/8848785248107334616 912162477805601119/2212464073920431598
5442117258726735015/5589765188122453156 407374980253056963/4975968755846557897
2509403311983971101/5446604235249081108 2158994432949226877/8849585160150774259
6961344412713790548/7958884668684128888 4777586475112514209/7184575852709704943
4749251171316713026/6418636902270926022 589376200064404887/7683682155080541841
6564699615603051936/7757342990036040731 1508857930246107462/7637470611671001443
2356932769837189517/7380617614340159079 2211546756461276050/2876722809110670956
945561968930439833/4601613630207038762 2334529644709182084/4797332092241124115
3677539163532118853/6900917560301479946 2543925458618010123/6725274208218613541
36222201139115046/7460948663027253676 496671241296507423/1966155924288299881
5074099062241386195/5196217566193344401 5908216640322091408/6859986627140850934
2949040623203560187/3400536641291776588 119080569808881170/1046538163692083846
5275604754636188277/6886596207529780624 3354464388540762808/6380053642873352523
2562879562187675761/4039112576091302702 2352888195817211629/3943184638613772744
3284427162929176999/8722931602036609044 7096764812522034969/8425977946197145793
1387917424118902887/1812153743306170744 2104243032367123272/4428261002782572565
556418975833565158/8583363809905488931 4401936557459306111/4520123501095265323
5262968487286882013/8921732980726301076 444177294998600732/8235120566789025984
2369887285014041004/5993614500671611207 199587486299299069/2188246260951455519
4425618503558323885/5494228479483804804 4442939289801643685/6685981180110936738
1169709116435366605/6300218627287710772 4752283248199116083/8465500632756716022
1714485335377512373/7676146378789139519 4124491311416197226/6705419741721921079
1865433283330514713/3005001200622022360 2766809829598588069/6757714382018022558
2419994261601759613/8171004290670758970 5286530706126005926/8399035127392904514
575834960982223363/4626614393295665386 3254043296330446558/8688415426625752936
4124595672033803959/4202787890768239591 6235859317850586852/6280737554458453781
184569098303401546/1959598387196863753 179539901037366371/5679098343544033371
1226618898520851729/1408027786657710706 1176506621571336113/2488093894566056781
5298914497206702500/8475571736010604650 468533964360686306/1831032272710317326
2944956145774061712/5015474730790438548 6470770249009533735/7495813365256773345
128206692879306305/3586354997182531825 1390620228688820012/2280194590414009373
8685264628993253546/8736048791160160281 5217631637453548537/7057709111913276200
3106630441414147211/4468907705036633275 7125208458791610722/7767652547029013525
714190251373060964/6011224602703983316 281866688044473712/832541221375245079
3056150936599726568/7852941029468756951 5568291508790042785/8324755341376546230
1206424801863944955/7658414757722367277 5878369173649562404/6229533528988416295
2432566542055111277/4501570153451341263 1815567082945322493/6522912134657931478
674023847839126258/6869635965735826137 642280799836652781/652005283558036372
1140387961360378660/2460505431491516905 439791651025217751/1262268241758972412
