500
2513397406990142686/3091871354985270585 3918803596236792659/8010885173815716398
1038891747150120462/1444692923171327037 686012962666857513/5813974735842442953
4827749234339126210/5984962568015554556 3646586971591996669/7138775927958974237
3420961932519159987/3598695668970741940 7177766454964951147/9160704829602718262
1901164429988454829/4228837096019062488 774300942629596306/2740465757360399069
2592553851873131846/2995092427107850416 1190924356207219402/8976095145808805779
3887525533827604490/5158272866665169495 6865699555197520412/7182397791666100128
3646386097221018786/5712191700070006220 8667268901324631518/8672000588499458837
1158137238259064226/4297123751332582217 862446804963024230/940244353925242210
84214911431578279/7894899349121104212 1784260535314432247/3221305557983489043
2337832756228823177/7862435806349884367 1660150252455554448/6881922074058493594
2919574780424877275/3055670760508266468 2132090921302002737/7253806084083238590
5402147521597927132/8366471994362691486 7519488528740709507/8226915599752405856
2305426056107417348/4748213883737668917 1197675951163022074/2211338078754438104
4254537189665420441/5672294782918810336 5010258945129251712/5767967923888953952
5669969455570840390/5872900139532066173 4236250221269854114/8600659727494846760
670128461008839730/3514278565977449097 2511538331962536698/2641778898436819828
4874125346224210168/8109682488201705923 1233113984911767978/4483736352441531163
589171586765431767/5036796842759988181 248120276454748632/2536956637445651819
3699310499636143713/6381172138704897154 4430759399479333742/4946870862721336797
311411071015388475/6116020809709490424 6115443834763280986/6647907017290882525
5832727304250010778/9212930628887402771 3227316214865016452/5867985188561505222
1077691696796466140/5135486867520292673 2822044868510105657/8804888892544656567
2486763533168528496/6961629730317913676 3915995285620059071/7266863762022002215
77840832994037729/6499345506346009044 4333672574311380731/8802290181828388831
1407958956025117540/3457918746813021867 5478445352841788729/8860952293254401382
8188814640332611215/9156833144121723702 3672184480874786091/6367273865064346658
28588326712455847/749382436377679936 6282907617317617060/8220381740446236065
1476456770257130168/7509247991798708558 71261021859676313/6938951191307110831
2724321984825829867/8743359500464801917 917685596448756767/6528533108125143903
3978069722692606901/5414597493171794986 1875984972453345838/2060258418686856488
328809208056560554/3126706124308133054 3503916829771996306/8268114243888969545
1396956036066861007/7889164956034594627 5653544889657410917/6956712646192597811
6332820845214653709/7106688091577737314 1033314557488697136/9151236988208546454
344052068357554736/8288914120228579559 2293785677487170688/3329214803342735496
2628140688686790040/4821187839882471878 643624372604378028/4917266112451009590
649052330329692411/6925274385113882191 5953812769066337030/8853128269301378766
5316759589300961050/6699487838958120611 1500131154535569051/2124780120213864254
9008221668440198420/9017464962956975486 73795893132323521/280310911263785565
2356555940641936945/5435653732813631219 1847709914294866871/3758386352751118074
1352015930819517100/6654915586813731063 2805615129713386572/4312965873558546908
5430194712511502554/7257726455758728478 6367292528045931953/8174370428211612355
1543562328927552496/3561140599012330220 4979570001442828568/5624504911856754496
3667529759247388808/7570464129985868503 1232270976239544471/2157132423059086141
1698817261882181904/4639069823644298423 3019047199253333474/7385679621281861107
393666307545994107/3326465353702418306 658461485736267311/9186110716994542121
3254143713905268640/5845291787140361150 4820393789749335767/8851105751255123921
3637029103272648492/5138395009710570944 1079726638700562263/5184266714603784841
4563078207678758528/5037013813205634680 2585173022997147747/8349836531157751601
3603209732481814065/5401119566335165910 6861439173177975201/6955928874206016074
8316402677282424225/8394998719013275772 2986822752540026835/7308413450019077240
2567085522397666503/4444662024301813744 4466744830234913946/5942216370661037253
5468360305702369508/7446574456115211029 3555154462545334265/5843580506858576137
347558374983270390/4773847079341374420 1138813212246140116/8796194733593052560
5454077595391621760/6579297204277164149 3267678558284596888/6307067883492855107
5064305993450780432/6037885012363196728 1116338109508284937/1234196254976200868
378355067428268183/7990817588009261693 155876002613677758/831437398233390584
3490819216191824927/6239693994734339059 663583904785342371/5705236924741406803
5196061591128441046/9043066708819850166 4150897356896027606/9159654232287833862
3339084364998053525/4804385550676900879 2401999346247520556/6167648508542958733
245865906584454088/4099332051523513782 1040705866824542632/1080518550218961042
1328258130451610568/7727828731463031188 3452071586840330122/5062636307200443692
4534697024013297722/5872593799282544146 2921670738885282739/3021204189926171624
1624711145091170105/4835694716402670523 4741045947339322307/6799194403594035582
6804737348679259040/7512581981544223942 1416779672734321745/2067938782945560027
297641774127533178/7024287646641036797 79465544951000431/6279894663345019069
1932456707671625255/5846721572652614296 6209283078685588414/7333248040035720895
3582982994186614759/7232170074215265368 1449020601285400010/1650070371264345042
2811895922483628288/7282990673966168163 3221404849502773015/8908064958065933613
3322335976185632237/9177790066014680856 4275908247474980583/6468430909867241264
1078315274136933715/7446944124304470915 4968918140778352160/9207997874339291727
