500
4640089409423281/4882812500000000 -380084545094423/1220703125000000
144640200418351/152587890625000 -6221217155825439/19531250000000000
1600459639850389/1953125000000000 1399344828189117/2441406250000000
-606758620263969/610351562500000 8464475165786357/78125000000000000
5838747486022291/39062500000000000 4827958830545763/4882812500000000
8140663410715983/9765625000000000 5394166374339507/9765625000000000
1138753805601149/1220703125000000 -7035560229370401/19531250000000000
-1692702288726133/1953125000000000 4872002225385143/9765625000000000
-4107790496192233/4882812500000000 263968088024841/488281250000000
836549654558369/1220703125000000 7111909087576591/9765625000000000
282694135616819/305175781250000 7357574041759467/19531250000000000
4664898541798903/4882812500000000 5769685613450657/19531250000000000
-6580630392582663/9765625000000000 1803862787132837/2441406250000000
4882525413313813/4882812500000000 -3388676712264593/312500000000000000
-370652253585383/488281250000000 -3178607965975663/4882812500000000
1125138876433807/1220703125000000 3787800443504159/9765625000000000
-4803556498715047/4882812500000000 -7009492415557373/39062500000000000
-6212568508235537/9765625000000000 3767340712329623/4882812500000000
973829575515139/7812500000000000 484473023177681/488281250000000
-654973649941779/1953125000000000 2300036271285651/2441406250000000
5904151803729377/19531250000000000 -4654371050696721/4882812500000000
4574989622417979/4882812500000000 6825045482543309/19531250000000000
-1208995404813709/1220703125000000 5397123313088159/39062500000000000
1322293992795087/2441406250000000 4104633028253361/4882812500000000
-5783358756839081/19531250000000000 37310721679013/39062500000000
204511761231447/390625000000000 -8320262546301183/9765625000000000
4023454326397353/19531250000000000 4778085010270161/4882812500000000
4856265039803621/4882812500000000 8135614910648709/78125000000000000
-8918479717570657/19531250000000000 -271502279575859/305175781250000
4863657293318811/4882812500000000 1728331650131943/19531250000000000
8335051253107487/9765625000000000 -636081169258987/1220703125000000
1344145518534513/3906250000000000 -2292315788630809/2441406250000000
1606501740952179/1953125000000000 5553938741880887/9765625000000000
732707515806971/15625000000000000 -2438720471175463/2441406250000000
-122726375735931/195312500000000 -7596908804733193/9765625000000000
-4123323083881761/19531250000000000 -1193190204655589/1220703125000000
-2958654806465609/9765625000000000 -4653326589032919/4882812500000000
128557083733371/195312500000000 3675939410394049/4882812500000000
-3860373900989221/9765625000000000 8970225470142111/9765625000000000
4714430520274761/9765625000000000 8552284870730561/9765625000000000
58888140755203/61035156250000 5134750520735051/19531250000000000
6864740920630097/9765625000000000 -6945701097315637/9765625000000000
-8092366198448783/39062500000000000 -2388442644048009/2441406250000000
5545208972242687/19531250000000000 1170470631867829/1220703125000000
-1178854565641581/1220703125000000 -1014041740904109/3906250000000000
-826862747126931/1953125000000000 4423654642260391/4882812500000000
-7370183607169001/78125000000000000 -194441443926517/195312500000000
-5115443508703861/19531250000000000 589045477432889/610351562500000
-8498542929585629/9765625000000000 -4810634024181751/9765625000000000
6335555240250057/9765625000000000 -59452527045159/78125000000000
-869217491240809/976562500000000 8902477617546343/19531250000000000
-4684372127776093/4882812500000000 -1102293080060501/3906250000000000
1539325790998097/3906250000000000 -897540569127243/976562500000000
8063389409042121/19531250000000000 -1778908310736243/1953125000000000
-8383094969392303/9765625000000000 626138343024807/1220703125000000
-988012155458767/1953125000000000 -2105991915304817/2441406250000000
794512551749409/1220703125000000 7414001562438069/9765625000000000
-963477228103317/976562500000000 -6373187250674357/39062500000000000
-1682865657268241/2441406250000000 282997788016851/390625000000000
-4699737009598917/4882812500000000 -2649022424036819/9765625000000000
374208630693689/78125000000000000 152586140213719/152587890625000
4779423028850313/39062500000000000 -2423063032610803/2441406250000000
-4811690889959223/4882812500000000 -1660709113167837/9765625000000000
6087323291902011/9765625000000000 1909056160457509/2441406250000000
-2433118124534201/2441406250000000 1286394739925323/15625000000000000
7778646258499089/19531250000000000 -1119713950894027/1220703125000000
-2556891927385649/4882812500000000 1039956777401901/1220703125000000
4342758927505599/4882812500000000 446421451443663/976562500000000
8478638555557699/9765625000000000 -2422814473130137/4882812500000000
-601983301896193/610351562500000 1289255121525461/7812500000000000
-8959461406384143/9765625000000000 -7770581174696799/19531250000000000
-122060361558783/122070312500000 -159603794449577/12500000000000000
284623470555833/305175781250000 88079009877453/244140625000000
684841986647557/976562500000000 -6961794091546211/9765625000000000
8185233493822457/19531250000000000 138541791806779/152587890625000
6247739977755831/19531250000000000 -578281627206081/610351562500000
-6383090186937677/9765625000000000 115480897646331/152587890625000
144425977064939/152587890625000 -1260446232237727/3906250000000000
807329950826133/1220703125000000 7324848535810533/9765625000000000
-454118686870067/488281250000000 -1794290872098739/4882812500000000
-5960340540114303/9765625000000000 -7735746394918523/9765625000000000
4742014017584889/4882812500000000 -4656455247820453/19531250000000000
-1562845760812623/1953125000000000 -117141384383787/195312500000000
5779463405977573/9765625000000000 -491987496584291/610351562500000
-5625568699459359/9765625000000000 -1596501280278699/1953125000000000
1294242954970767/2441406250000000 -517530171285187/610351562500000
7730206949029973/9765625000000000 -372970194885103/610351562500000
476617035786637/976562500000000 16647575453959/19073486328125
-4793300180990327/4882812500000000 -7445293966309079/39062500000000000
6927613809699761/9765625000000000 34414967145227/48828125000000
-5433387103322991/9765625000000000 8114538571358719/9765625000000000
-1983502325154847/19531250000000000 -485756783977721/488281250000000
4877799782692037/4882812500000000 -884779657322749/19531250000000000
2281491185588179/4882812500000000 863403865644339/976562500000000
-1067681440632509/1220703125000000 -18492303633287/38146972656250
-3041940074876371/4882812500000000 -190974203042043/244140625000000
7319186407526571/9765625000000000 -1293011090014363/1953125000000000
-4744641059847359/4882812500000000 -922687942348193/3906250000000000
5881431713461049/39062500000000000 -4827149241610373/4882812500000000
-4805773391170499/4882812500000000 -1382311129433989/7812500000000000
-397189263924767/488281250000000 -2840057529777597/4882812500000000
1766759223484121/1953125000000000 -4163109150198879/9765625000000000
410782266400253/488281250000000 5279261642034199/9765625000000000
1184558772161433/2441406250000000 -4269559692911887/4882812500000000
-4859748214481589/4882812500000000 -1896123211183309/19531250000000000
-4312385701847583/4882812500000000 -4580474852526439/9765625000000000
-1221860607897683/4882812500000000 236373193092111/244140625000000
-880720829906359/976562500000000 -4219065491021729/9765625000000000
340585446566351/610351562500000 -2025953932085883/2441406250000000
4728967894691321/4882812500000000 -1216026546229557/4882812500000000
959920145991161/4882812500000000 598440828626207/610351562500000
-2315344360734319/2441406250000000 -774367463646847/2441406250000000
2343079253781769/2441406250000000 -274355707223023/976562500000000
-6552222680464213/19531250000000000 -4599851251046809/4882812500000000
-887073734616027/1220703125000000 -6708639486461093/9765625000000000
-4827350516940983/4882812500000000 -5870849460830721/39062500000000000
-39979516852341/48828125000000 5606510584201217/9765625000000000
-6764691469430849/19531250000000000 4580588634975787/4882812500000000
-74630826402119/976562500000000 -4868533034079123/4882812500000000
3966457580415751/4882812500000000 2847643266443091/4882812500000000
-4758534580855961/4882812500000000 1094626216091243/4882812500000000
7596177545700639/9765625000000000 -6137223992557093/9765625000000000
-5529418520166917/9765625000000000 -2012351896250071/2441406250000000
-4745796599672811/4882812500000000 918876721112113/3906250000000000
3360680353730763/4882812500000000 7084542460936859/9765625000000000
822208231327061/1220703125000000 7218153752744441/9765625000000000
