500
2086609296108571/2441406250000000 -633744057749727/1220703125000000
939936258284573/1220703125000000 6230947021424013/9765625000000000
-7566563674576809/78125000000000000 -2429928693647109/2441406250000000
3023178784774011/9765625000000000 2321473423226041/2441406250000000
-972547927983301/976562500000000 -442290746614657/4882812500000000
8504055113197247/312500000000000000 -1220251047829953/1220703125000000
8519876262469297/19531250000000000 4393755761267291/4882812500000000
-865880026692459/19531250000000000 -1219502937838999/1220703125000000
-4873999564346841/4882812500000000 4691743403808563/78125000000000000
160830358776921/244140625000000 -1469437780291823/1953125000000000
2141935787024353/2441406250000000 -2343139399867987/4882812500000000
-7872205615853579/9765625000000000 -1155782166021753/1953125000000000
8136808659286083/9765625000000000 -5399979303922563/9765625000000000
477825281902093/1953125000000000 1183608799920849/1220703125000000
-755183874570921/976562500000000 -3095850577766559/4882812500000000
1659033360663311/156250000000000000 1220634313268227/1220703125000000
1204339337259189/1220703125000000 -3187289963182661/19531250000000000
-8173154409215141/9765625000000000 -267240428471031/488281250000000
4877718472749563/4882812500000000 -7135383704610069/156250000000000000
8757602569765177/9765625000000000 -8642182333338579/19531250000000000
-1213768007561461/1220703125000000 -2078974713769249/19531250000000000
4567387423640119/4882812500000000 -6906032183568593/19531250000000000
7826911112063279/5000000000000000000 -1220701629380491/1220703125000000
2633123335971757/4882812500000000 2055998504846077/2441406250000000
-2595738074257079/4882812500000000 -1654279384385039/1953125000000000
-4129706030011561/4882812500000000 -325657652293843/610351562500000
-11802469177779/15258789062500 6189576454670257/9765625000000000
-8055284473229887/9765625000000000 -1104170705932131/1953125000000000
-6679000513002391/39062500000000000 -240545429895571/244140625000000
4840729524187281/4882812500000000 5117471774650149/39062500000000000
-4724545146104621/4882812500000000 4932392640616547/19531250000000000
-4727365858620771/9765625000000000 -4272570762414933/4882812500000000
8226999655599909/9765625000000000 -5261549990961217/9765625000000000
-580179756440343/39062500000000000 4882273896614761/4882812500000000
-452133345790757/3906250000000000 4849994281588777/4882812500000000
7603631987603679/9765625000000000 6127985985437233/9765625000000000
-953332601805069/976562500000000 1693871621899653/7812500000000000
1146770585257309/2441406250000000 -1077657378567937/1220703125000000
-4726687062878741/4882812500000000 -4899448654321809/19531250000000000
-8830760622244023/9765625000000000 1042386039132377/2441406250000000
-6231944207117179/9765625000000000 -7518663647218409/9765625000000000
-4822256526211587/4882812500000000 -245317081203/1562500000000
-1332499699904353/2441406250000000 818282007847551/976562500000000
5040375504853601/9765625000000000 4182165898511703/4882812500000000
3173648035000183/4882812500000000 -1855385139269993/2441406250000000
1947805985290633/4882812500000000 -8954978448622249/9765625000000000
-6507930400026369/39062500000000000 4814570574306207/4882812500000000
-75343698471217/76293945312500 6145987774981403/39062500000000000
-5043449666931047/9765625000000000 -8362478525996829/9765625000000000
-3332124336211619/4882812500000000 -1427658520413479/1953125000000000
-2012715799930297/2441406250000000 5527298922620353/9765625000000000
