500
6076564415856753/9765625000000000 -3822394424329091/4882812500000000
1003147077761389/1220703125000000 5564527996592999/9765625000000000
-630365589409659/1220703125000000 -8362795104309961/9765625000000000
-8056990803079939/19531250000000000 1779198206388443/1953125000000000
-2439178486421023/2441406250000000 -6673450637859679/156250000000000000
-6708780646213657/19531250000000000 -4585725057198487/4882812500000000
2337673002679681/2441406250000000 5632757960823821/19531250000000000
-1347107065527249/1953125000000000 1767766873254027/2441406250000000
2436673101462893/2441406250000000 4862386484616397/78125000000000000
-2766393935409877/4882812500000000 -804709202241001/976562500000000
7714058807277591/9765625000000000 5988382783230213/9765625000000000
172679673179773/1220703125000000 2416855684442323/2441406250000000
15092012045929/15258789062500 5759610900651833/39062500000000000
-1385296224903093/1953125000000000 -6884133269508659/9765625000000000
-7704041620254729/19531250000000000 2243453912483087/2441406250000000
18951966434547/97656250000000 -478998072342841/488281250000000
8696864343774157/9765625000000000 1110517397055723/2441406250000000
6104977567784181/39062500000000000 -4822810635321437/4882812500000000
-5902150043526237/78125000000000000 4868858410965561/4882812500000000
-5373154164299699/9765625000000000 8154547563617113/9765625000000000
4633322708609369/4882812500000000 123266958117179/390625000000000
478187588411803/488281250000000 3950738541683877/19531250000000000
1485585962748007/4882812500000000 -1162833077483671/1220703125000000
190999016297083/195312500000000 -8164186254114049/39062500000000000
930718391756761/976562500000000 -2956984809767521/9765625000000000
4553351975271377/19531250000000000 4748267528476783/4882812500000000
1686947692488639/2441406250000000 -7059373298355959/9765625000000000
-8960942898762393/9765625000000000 1940936243526873/4882812500000000
-1310149727438393/2441406250000000 8240361321429703/9765625000000000
1820934667202713/2441406250000000 1300993199753089/1953125000000000
342659290958327/610351562500000 -8081404078656677/9765625000000000
-8799123131190803/9765625000000000 -8471803530008933/19531250000000000
7892630033945677/9765625000000000 5750984505967971/9765625000000000
8183483744752887/9765625000000000 -2664489887388873/4882812500000000
792337847071153/976562500000000 -5708546684620353/9765625000000000
-4433813895327437/4882812500000000 -8181102372426433/19531250000000000
-22630858655559/97656250000000 296868213747677/305175781250000
-6419784965654011/19531250000000000 -4611507939094209/4882812500000000
-1658831683581383/4882812500000000 -4592399738230853/4882812500000000
-1193055859825011/2441406250000000 -42600855357029/48828125000000
2438611325602267/2441406250000000 373719452367929/7812500000000000
-830095128429033/1220703125000000 -7160148365583061/9765625000000000
-619896548960811/1953125000000000 4630351994052043/4882812500000000
4549898431928943/4882812500000000 7088336526194891/19531250000000000
48744851322237/48828125000000 -912154967248549/15625000000000000
-4881900774623903/4882812500000000 -3019338100970911/156250000000000000
-4820524290471009/4882812500000000 3109735616119739/19531250000000000
