3000
-355676155073029/610351562500000 7936121008088047/9765625000000000
-967753067884359/976562500000000 -261750384959879/1953125000000000
-5595598463965213/9765625000000000 1000442944639829/1220703125000000
-4852457245366363/4882812500000000 -2174457512292141/19531250000000000
556922382721563/1220703125000000 -8690053455332951/9765625000000000
-701389188622363/1250000000000000000 -2441405865666537/2441406250000000
2441168177887101/2441406250000000 1745615784262053/125000000000000000
4828213692704243/4882812500000000 -1456311021368037/9765625000000000
4514926188493301/4882812500000000 7437525849489043/19531250000000000
-2034227341954401/2441406250000000 -337489221937549/610351562500000
2239888571486601/9765625000000000 2376319775776567/2441406250000000
-3684673171579571/4882812500000000 128156413987271/195312500000000
-2240860803577547/2441406250000000 -3876095636650577/9765625000000000
4848650733078271/4882812500000000 4612636409002017/39062500000000000
-6272950470197461/9765625000000000 -935560694509201/1220703125000000
-465960050371949/488281250000000 -291889092354841/976562500000000
-151274747888921/152587890625000 5113692220239059/39062500000000000
-8677740972395439/156250000000000000 -152352386422667/152587890625000
-4991513153681101/9765625000000000 8393582553192263/9765625000000000
-7414492726278087/9765625000000000 -794440932084813/1220703125000000
4071455540147671/4882812500000000 5390772744146089/9765625000000000
-1767384181270299/3906250000000000 -8708882756378511/9765625000000000
96728215437197/97656250000000 2686227856289949/19531250000000000
1589967459712191/3906250000000000 8920059045333011/9765625000000000
-5819227213667463/39062500000000000 -4828327060311807/4882812500000000
-733815676602529/976562500000000 -1288703021147421/1953125000000000
-813319402480831/976562500000000 -5405421962756229/9765625000000000
-609200434171467/610351562500000 29974504915879/488281250000000
-6934447038270059/9765625000000000 1719027266982199/2441406250000000
4680702647958027/4882812500000000 5561123097439891/19531250000000000
-5032856721827747/9765625000000000 4184429018939689/4882812500000000
-954724318742227/976562500000000 513418637714637/2441406250000000
-1986666207905721/2441406250000000 2838042886148527/4882812500000000
-323742472592229/390625000000000 -5464584960501909/9765625000000000
-4741795146008009/4882812500000000 -4660020091718287/19531250000000000
8395382911066773/9765625000000000 4988484481001519/9765625000000000
-5336902374523319/39062500000000000 4837025783111081/4882812500000000
5238612804128701/9765625000000000 824162408321587/976562500000000
2342456556471331/2441406250000000 1376025811652583/4882812500000000
2276502331849569/2441406250000000 -3528175983417011/9765625000000000
4881982717758199/4882812500000000 720117931076079/39062500000000000
8518518130460721/19531250000000000 8787840682208457/9765625000000000
