3000
-4490495779809143/4882812500000000 -1534104155352699/3906250000000000
3653174730936853/4882812500000000 -3239779667724443/4882812500000000
8808696102830579/9765625000000000 8431916652482373/19531250000000000
237362172835209/244140625000000 4570404748703291/19531250000000000
-237640629796857/1562500000000000 -4826009023653427/4882812500000000
-12827680183037/24414062500000 -8309003009994651/9765625000000000
6389158861123973/9765625000000000 -115398935135709/152587890625000
-4745601776263391/9765625000000000 2133756889586867/2441406250000000
-1561468255258751/1953125000000000 2933123498768199/4882812500000000
8050665093637577/156250000000000000 975265374373137/976562500000000
7862742635709233/9765625000000000 -1158355901875157/1953125000000000
935488550644309/3906250000000000 1185180721736199/1220703125000000
5578931258052141/78125000000000000 2435173399044911/2441406250000000
973483641726767/976562500000000 -1549698770295909/19531250000000000
1426378817297631/2441406250000000 -7925561630172261/9765625000000000
-8909046947299/15625000000000 -1604532191806727/1953125000000000
1582360613935763/7812500000000000 149425284425223/152587890625000
-3570212988778357/78125000000000000 -4877711266973877/4882812500000000
-4844003121915847/4882812500000000 -983045605486339/7812500000000000
8075070050482947/39062500000000000 18661494541421/19073486328125
8698961658770191/9765625000000000 443796098449177/976562500000000
-598343090946117/610351562500000 7710492895257973/39062500000000000
8648987573375861/9765625000000000 1133645822011193/2441406250000000
1762774630531537/3906250000000000 1742943965282189/1953125000000000
1790027207011533/1953125000000000 -1562689814113461/3906250000000000
-5539980635456191/9765625000000000 -80421418912747/97656250000000
1229300170223993/4882812500000000 -2362767392362371/2441406250000000
-635061095337079/9765625000000000 -1218119253743593/1220703125000000
1651890345221707/1953125000000000 1302614889959513/2441406250000000
-298201083978409/305175781250000 -8303610664346259/39062500000000000
-6227373269536649/39062500000000000 -2410182442857559/2441406250000000
-8009418631549941/19531250000000000 4453362070862029/4882812500000000
3408717356628461/19531250000000000 1201968392993083/1220703125000000
752380167561697/976562500000000 -3112870057784627/4882812500000000
-319881714128407/488281250000000 922273915615077/1220703125000000
-378964982764831/976562500000000 1800066507931639/1953125000000000
532287071016123/610351562500000 1194651439543891/2441406250000000
-8094493412464869/9765625000000000 17072515385947/30517578125000
6643833366493943/19531250000000000 1147907751562261/1220703125000000
-4841282645283301/4882812500000000 -1270968541915919/9765625000000000
-64338132536549/2500000000000000 -610149410111861/610351562500000
306562425600081/2441406250000000 -242208256604709/244140625000000
4561451222625351/4882812500000000 1393704853406991/3906250000000000
117599515985021/122070312500000 -5237440679260527/19531250000000000
4764897629050713/4882812500000000 -8532698498639287/39062500000000000
6507276490889961/39062500000000000 481458438451777/488281250000000
5077179295399933/19531250000000000 2357474737950753/2441406250000000
-993397382157949/1953125000000000 -8408119449000969/9765625000000000
-7322293228966229/39062500000000000 4796259819052751/4882812500000000
2408202389838297/2441406250000000 -16051204421659/97656250000000
4794810702634797/4882812500000000 -3691391577289081/19531250000000000
