3000
4647342786667427/19531250000000000 -4742572690439957/4882812500000000
8857686462664251/9765625000000000 -8224067648009579/19531250000000000
5389875412883/312500000000000 -488208617705523/488281250000000
6328042681192959/39062500000000000 -963663187424359/976562500000000
1166750240625119/1220703125000000 459393400519/1562500000000
-3144627853730679/9765625000000000 4622735859373921/4882812500000000
2273045863463689/2441406250000000 1781827129807687/4882812500000000
6380742638359257/9765625000000000 295712170932883/390625000000000
-763224529556257/976562500000000 761538978288661/1220703125000000
4579601433255891/4882812500000000 6775377329922619/19531250000000000
-1306291859566033/2441406250000000 103126937014179/122070312500000
-4422597750353493/4882812500000000 8277668317804933/19531250000000000
-2427938990937183/2441406250000000 102431818358161/976562500000000
-7682541432913877/19531250000000000 2244605629664087/2441406250000000
-3105494716977249/4882812500000000 1883995785092329/2441406250000000
-1094575878091289/1220703125000000 540388532895961/1220703125000000
594069366614211/610351562500000 -280075828994803/1220703125000000
21830275968823/24414062500000 -4372376907430289/9765625000000000
242360025385091/244140625000000 235458751645877/1953125000000000
-8576557853502831/9765625000000000 1167531772216069/2441406250000000
-4391971711154159/4882812500000000 8534581324074763/19531250000000000
3247687265871591/9765625000000000 4604887595363227/4882812500000000
-40422835273151/61035156250000 3658445297722289/4882812500000000
-5563517851536661/19531250000000000 -1170131195365591/1220703125000000
8855487729614763/9765625000000000 -8233533557657339/19531250000000000
-5694308435292987/9765625000000000 7933617276146873/9765625000000000
-1189180250134027/1220703125000000 -2204960982162743/9765625000000000
-3380768600299049/9765625000000000 2290439850114179/2441406250000000
616451297040559/9765625000000000 2436537238569857/2441406250000000
8689086597945333/19531250000000000 874599194854287/976562500000000
488240019609361/488281250000000 -8121935719540783/625000000000000000
8849092274986851/9765625000000000 -4130496041566079/9765625000000000
-338415062542151/781250000000000 -8801871320426271/9765625000000000
3733763889713301/9765625000000000 -4511829973982231/4882812500000000
252735364066769/488281250000000 -334227146571047/390625000000000
-4337750034039313/4882812500000000 -2241825718549101/4882812500000000
-1169451107473271/1220703125000000 -5600005179753157/19531250000000000
2428359395725349/2441406250000000 -8065975804391879/78125000000000000
3790927122489179/4882812500000000 6154910060149429/9765625000000000
-597944939766891/610351562500000 391799182564757/1953125000000000
-8903938600102941/19531250000000000 869180079109181/976562500000000
1563217168285273/19531250000000000 4867148026869009/4882812500000000
2387561153664737/2441406250000000 -8158685620419767/39062500000000000
-5728062389319837/9765625000000000 790928144047767/976562500000000
340965501559529/610351562500000 -1012465419839019/1220703125000000
8145200474968463/9765625000000000 1346828238473603/2441406250000000
4743178390621001/4882812500000000 92748836409813/390625000000000
-6083798812533689/9765625000000000 -1909758225032011/2441406250000000
-5634029098447487/9765625000000000 3988268664422947/4882812500000000
4869797075928519/4882812500000000 356278471752497/4882812500000000
-2402944889975939/2441406250000000 6906374252750987/39062500000000000
-1921264736696191/2441406250000000 -75319424603929/122070312500000
-7103715274842699/9765625000000000 837636751284823/1220703125000000
4537946281077699/4882812500000000 -7209883727450073/19531250000000000
-651618689008073/1953125000000000 -575381187317407/610351562500000
-4540301452112211/4882812500000000 -7186120660388603/19531250000000000
2049116691558641/2441406250000000 5308988998918467/9765625000000000
8289203211346291/9765625000000000 -2581498681078073/4882812500000000
7259911194115217/19531250000000000 -4532958581434843/4882812500000000
-75821293658247/152587890625000 -1059334003407857/1220703125000000
2054438856896591/2441406250000000 5275976437873833/9765625000000000
5326458265486001/9765625000000000 -1023140645777293/1220703125000000
3788782428269023/9765625000000000 9000697714725503/9765625000000000
-4092701363872253/9765625000000000 -177332712364959/195312500000000
