100
8329529516106941/39062500000000000 -4770511378986113/4882812500000000
7636163148191617/9765625000000000 3043700215807451/4882812500000000
-2286420336588411/4882812500000000 -539301341357953/610351562500000
-1688454548723657/9765625000000000 4809276267733/4882812500000
-3382815374783763/4882812500000000 -440142342925183/610351562500000
-4700901323441149/19531250000000000 -296204527970253/305175781250000
8797441257339321/9765625000000000 -105984842561003/244140625000000
2713986062436537/4882812500000000 1623632350653631/1953125000000000
-8460936101772487/39062500000000000 953379340337479/976562500000000
424418290639349/488281250000000 4828568884145099/9765625000000000
-3799848670650957/4882812500000000 -3066432453244063/4882812500000000
8700115257568761/9765625000000000 -8871398118818533/19531250000000000
122824540212443/9765625000000000 -4882426286513361/4882812500000000
-1411038322796901/4882812500000000 -1168621751299227/1220703125000000
-4939941346068159/19531250000000000 -47240521936939/48828125000000
3194448627341403/78125000000000000 243936449583139/244140625000000
-937362652211473/976562500000000 -2739079674732429/9765625000000000
973687783055583/976562500000000 -1198016230627041/15625000000000000
-2963096491303233/4882812500000000 7761937153412857/9765625000000000
-230727431445887/305175781250000 -1597940871795827/2441406250000000
7298592108739081/9765625000000000 -202759249728503/305175781250000
8686761042534427/156250000000000000 2437630339192999/2441406250000000
4871315996695827/4882812500000000 -669741354529007/9765625000000000
-5785967855920011/19531250000000000 -4663637947814723/4882812500000000
-4151604792176627/39062500000000000 -4855156865223911/4882812500000000
-2387376442634951/2441406250000000 8172511172511901/39062500000000000
-3388433671115467/4882812500000000 1757866261025509/2441406250000000
4854289888745809/4882812500000000 2107994634438913/19531250000000000
-116169573576741/195312500000000 -7850414452633721/9765625000000000
7706262695605059/78125000000000000 4858999840930779/4882812500000000
-7463482095889973/9765625000000000 -6297925582678381/9765625000000000
-1980400567849079/2441406250000000 -2855505607350199/4882812500000000
-19287036521203/38146972656250 2106369945615501/2441406250000000
-1652789302236723/4882812500000000 287161114352151/305175781250000
-8393385462756157/9765625000000000 2495922280151097/4882812500000000
-1307350492617431/2441406250000000 4123735766021883/4882812500000000
8377290299001963/9765625000000000 1003761702534473/1953125000000000
1922310905579223/2441406250000000 -1204042593221419/1953125000000000
-7282127991558831/9765625000000000 3253384528271303/4882812500000000
-2437583200620817/2441406250000000 4370386757759657/78125000000000000
1352588647034629/39062500000000000 195195377135443/195312500000000
912553642764079/976562500000000 6954715392717651/19531250000000000
7126248951389897/9765625000000000 -667712569324851/976562500000000
3221039459146327/9765625000000000 -2304782208301461/2441406250000000
-7885561472046623/19531250000000000 -8934310925206737/9765625000000000
-1573248341267177/15625000000000000 -607249793069301/610351562500000
2066391567917761/4882812500000000 884802436664697/976562500000000
-425519119207893/488281250000000 957931590794261/1953125000000000
-8925108153951633/19531250000000000 -8686371092158769/9765625000000000
-7909087490988461/9765625000000000 -5728330184313301/9765625000000000
1522265649844211/31250000000000000 -2438507913721799/2441406250000000
1173331919572051/4882812500000000 -4739741566443219/4882812500000000
-150175362343117/152587890625000 3459375916786137/19531250000000000
