100
-54278848654541/76293945312500 -343136265900659/488281250000000
-4674280977831887/19531250000000000 -948183558050311/976562500000000
677751731917099/1220703125000000 -8122142413991573/9765625000000000
4691901091130407/4882812500000000 5408026717693683/19531250000000000
8568386272989201/9765625000000000 -1171275701891831/2441406250000000
-1523684623869753/1953125000000000 305479380708409/488281250000000
-3516096084011693/39062500000000000 -4862991579550721/4882812500000000
2721040370305187/9765625000000000 -4689439490594649/4882812500000000
-2421504451258091/2441406250000000 -4977534684915443/39062500000000000
4783155630512281/4882812500000000 -1570349361958857/7812500000000000
803488653804701/976562500000000 5550498172356777/9765625000000000
-1685705868107317/1953125000000000 -986454759151963/1953125000000000
3053415420085821/4882812500000000 1524126618495373/1953125000000000
2796718352863043/4882812500000000 -2001263623621041/2441406250000000
-7158950539022117/19531250000000000 -4542983282920589/4882812500000000
4561007042273053/4882812500000000 -3486587254317247/9765625000000000
-4760894057860219/9765625000000000 8526506870369381/9765625000000000
1560600858672837/2441406250000000 -75099820904699/97656250000000
4846388129042839/4882812500000000 1190596510710323/9765625000000000
3433764403709757/9765625000000000 -4571014484237629/4882812500000000
-6109474263546349/312500000000000000 305117454307709/305175781250000
-729801632041387/1220703125000000 1957044401391541/2441406250000000
2421636818440753/2441406250000000 496102175569407/3906250000000000
-1223954680617683/2441406250000000 -105621960516423/122070312500000
-7815024013326819/9765625000000000 1464002034487789/2441406250000000
-91508655358567/152587890625000 -3907307498583963/4882812500000000
-1251803264522451/1953125000000000 7496142095364679/9765625000000000
-4994794133351039/19531250000000000 -4720445941115773/4882812500000000
7462684587407401/9765625000000000 629887056459307/976562500000000
-5651094644313317/9765625000000000 1991114024887173/2441406250000000
1709582040577073/39062500000000000 2439066992706093/2441406250000000
-6122099365885247/9765625000000000 7608372427454669/9765625000000000
48639598379621/48828125000000 -6858619893322293/78125000000000000
4718203248272933/4882812500000000 5028583924952213/19531250000000000
-4598602193291413/4882812500000000 -1641558947467821/4882812500000000
-1527139721986369/2441406250000000 -7619247991313009/9765625000000000
-5121904958174827/9765625000000000 -1039332126596579/1220703125000000
4710590177203969/4882812500000000 -2570757158959769/9765625000000000
-8870985036094567/9765625000000000 -4083265375898471/9765625000000000
-2658186333041283/4882812500000000 -4095839758705019/4882812500000000
-610435752616211/1953125000000000 -579775132994809/610351562500000
1343320719482869/39062500000000000 -4879924428997671/4882812500000000
4662116103852103/9765625000000000 8580915165343839/9765625000000000
45363749547423/78125000000000 -993834245151381/1220703125000000
-7355161059848201/9765625000000000 1606024544961831/2441406250000000
-4736836900646813/4882812500000000 4740015336391981/19531250000000000
1212418601962743/1220703125000000 -1135809927745959/9765625000000000
-8635441456151763/19531250000000000 8759264772511953/9765625000000000
-7075273086848293/9765625000000000 -134622349388421/195312500000000
579611151803287/610351562500000 612028276901431/1953125000000000
-256431461851297/976562500000000 -4711467981900803/4882812500000000
196639710799997/305175781250000 -7468081651695727/9765625000000000
2434868920925867/39062500000000000 -2436658764761753/2441406250000000
-2203621080223939/2441406250000000 -8407686434996941/19531250000000000
-931838827734561/976562500000000 -5842968955335263/19531250000000000
-6761575514456323/78125000000000000 7783184901801/7812500000000
-7759467474973529/9765625000000000 5929426291425919/9765625000000000
99430560561067/122070312500000 -1133035548432647/1953125000000000
-2333593075535179/4882812500000000 -8578158606127661/9765625000000000
3617268969634069/4882812500000000 -204988786959711/305175781250000
-2431957894067669/2441406250000000 -6866612390219479/78125000000000000
2984445719489239/9765625000000000 290575458458969/305175781250000
4602519200866161/4882812500000000 -6522177447220597/19531250000000000
-7595493241779709/9765625000000000 -6138070874037197/9765625000000000
5515388725735797/19531250000000000 -2342041756694781/2441406250000000
5665485136055821/9765625000000000 -3977112954573819/4882812500000000
-258372087797637/305175781250000 5197032675445221/9765625000000000
602189746897243/610351562500000 -1591701566241183/9765625000000000
-4444896491553427/4882812500000000 -8084308840743071/19531250000000000
-2396248068240249/2441406250000000 7478347162739129/39062500000000000
-890924577834957/1220703125000000 1668975153792733/2441406250000000
4080523914614003/9765625000000000 -110903080028583/122070312500000
-1462723992413507/31250000000000000 -4877460663348317/4882812500000000
-4767739080560711/4882812500000000 -4116457273824/19073486328125
8665615923377279/9765625000000000 -4502724987064517/9765625000000000
8668136698791581/9765625000000000 8995740728075169/19531250000000000
-4832968830640981/19531250000000000 1182740691090627/1220703125000000
-1455731132552291/9765625000000000 -301766088192091/305175781250000
-4579786411508091/9765625000000000 -8625136988221743/9765625000000000
-7238480846873039/9765625000000000 819411247006017/1220703125000000
-2437857044417179/2441406250000000 8422144318209937/156250000000000000
251707529767833/390625000000000 -1493579677178083/1953125000000000
7869398227722123/9765625000000000 2891366596185483/4882812500000000
4521975262093039/4882812500000000 7368687958300137/19531250000000000
-672536626299333/976562500000000 -3540370046662359/4882812500000000
-835071962901413/976562500000000 -316430984022281/610351562500000
-4767401757371151/4882812500000000 -8442704377989623/39062500000000000
1713969274837121/4882812500000000 4572107526630423/4882812500000000
-2718804079525991/4882812500000000 1622342123588441/1953125000000000
86538013233009/152587890625000 -8043207894917603/9765625000000000
4664736577205573/4882812500000000 -2885890209579487/9765625000000000
6590231564078237/9765625000000000 3603341489938607/4882812500000000
-1967778211215573/2441406250000000 -5780399140549797/9765625000000000
2390901196780393/2441406250000000 -7904322985678501/39062500000000000
-1831793240888263/2441406250000000 1614000619632823/2441406250000000
6513024086941761/9765625000000000 1455306825154633/1953125000000000
340940079541659/390625000000000 4766271655283039/9765625000000000
-1664173266178017/1953125000000000 -1277952834225621/2441406250000000
-6687073796917999/9765625000000000 7116914758179819/9765625000000000
2367266650331759/2441406250000000 -4776697327760201/19531250000000000
