100
-875580181657301/1220703125000000 -6804588874569789/9765625000000000
5465825735409499/9765625000000000 8092723933927329/9765625000000000
308682145953311/1953125000000000 -4821444673535787/4882812500000000
-4790765331807161/4882812500000000 1887247144081423/9765625000000000
-4066246996827483/19531250000000000 191032814438591/195312500000000
4602589089127211/9765625000000000 -8612990497920693/9765625000000000
-1175075215619433/1220703125000000 -5290035481691723/19531250000000000
-5294276235261453/9765625000000000 8205977747067733/9765625000000000
286732139296043/305175781250000 3343492823741777/9765625000000000
7480215746860563/9765625000000000 6278041416002627/9765625000000000
-4853634666222769/4882812500000000 2131997887416737/19531250000000000
1061262303502547/31250000000000000 4879995993498523/4882812500000000
5853481774033703/9765625000000000 -1954229112106617/2441406250000000
2254236801163607/2441406250000000 -299995677292587/781250000000000
-7168640762092607/9765625000000000 82894908303271/122070312500000
4882490190964179/4882812500000000 7181068424014513/625000000000000000
819956633059069/2441406250000000 459918931875673/488281250000000
-2437338970577683/2441406250000000 1126927718495073/19531250000000000
-5472663953946677/19531250000000000 -4687214496703191/4882812500000000
-4253580944849963/4882812500000000 -239768785619929/488281250000000
-4874213911451337/4882812500000000 4634387103603741/78125000000000000
302037724388591/305175781250000 111748340118877/781250000000000
-4303686507179113/4882812500000000 -576635736301561/1220703125000000
4447720566969153/4882812500000000 1611883800936699/3906250000000000
2730485908751897/4882812500000000 4048000075625441/4882812500000000
-5024479619970367/19531250000000000 -1179619130652921/1220703125000000
-140981825153583/305175781250000 -4330546605696049/4882812500000000
68585201564537/312500000000000 -11909407397843/12207031250000
4820620538814297/4882812500000000 3107347501437233/19531250000000000
1199198405770653/7812500000000000 4824946544133819/4882812500000000
-621410642144031/4882812500000000 -4843109200088967/4882812500000000
-714771814387527/4882812500000000 -603776644902647/610351562500000
2420633632123623/2441406250000000 -635601436659989/4882812500000000
3324151477018877/4882812500000000 -894143265505781/1220703125000000
7474666003144203/9765625000000000 6284647944162447/9765625000000000
-2216915604682597/9765625000000000 2377665830735311/2441406250000000
-121655179121111/122070312500000 128752086083387/1562500000000000
2430636108312201/2441406250000000 -7330206585367977/78125000000000000
-4386274198582289/4882812500000000 8581334688736991/19531250000000000
284620211543949/3125000000000000 4862518159304107/4882812500000000
-1372093229229999/9765625000000000 -2417188343547703/2441406250000000
-8777550671970127/9765625000000000 -8560849453558159/19531250000000000
2880873631776897/4882812500000000 -985597059778007/1220703125000000
-1219622636368219/1220703125000000 -205396951992989/4882812500000000
5727642281671171/19531250000000000 -291758475324639/305175781250000
8441733653052043/19531250000000000 4403172574217287/4882812500000000
8992167983406299/9765625000000000 -7617964714758843/19531250000000000
-2397978294034631/4882812500000000 8506834431560311/9765625000000000
-4786223329989239/4882812500000000 483198754557317/2441406250000000
-4586424318035791/4882812500000000 6701128126023177/19531250000000000
-1197926711735733/1220703125000000 -3755323481387923/19531250000000000
-3031880527898677/4882812500000000 956868537688991/1220703125000000
-343421109893821/488281250000000 -6942060800104207/9765625000000000
-6400850993736863/39062500000000000 4816813023160999/4882812500000000
4600395975740613/4882812500000000 -261844034263859/781250000000000
-1038659723951507/4882812500000000 -2385531591071329/2441406250000000
-2709253951476761/78125000000000000 -2439937796983929/2441406250000000
130698381216419/244140625000000 -8248401340652453/9765625000000000
4747081766349753/4882812500000000 4573091057472541/19531250000000000
-1877439189592931/2441406250000000 -780334314079501/1220703125000000
453608263929809/488281250000000 -7228623326321241/19531250000000000
-3153011583292169/4882812500000000 3728320783648003/4882812500000000
-8799150712135969/9765625000000000 -2117922235691273/4882812500000000
-8620151672566621/19531250000000000 1752605807660259/1953125000000000
1235163514222277/1953125000000000 7564833703986947/9765625000000000
1219132286759507/1220703125000000 7924209838380427/156250000000000000
1220659287018817/1220703125000000 1059354599311733/125000000000000000
4518546290042541/4882812500000000 7402267041817977/19531250000000000
8610359929320591/19531250000000000 -4382717681773279/4882812500000000
794668783835739/976562500000000 -2838026781072007/4882812500000000
1456127452472559/2441406250000000 7838527739002867/9765625000000000
-1143001706695251/1220703125000000 214279734154043/610351562500000
-4472073990811297/4882812500000000 3920414330585669/9765625000000000
-995006623313417/3906250000000000 -1180437505049043/1220703125000000
7486572758663/250000000000000 -2440311301891259/2441406250000000
4551935325073293/4882812500000000 -176684541103803/488281250000000
4882232055147029/4882812500000000 -1204585356822733/78125000000000000
-4856117016262561/4882812500000000 254943834266221/2441406250000000
1154630531011417/1220703125000000 -1584648636088437/4882812500000000
-7499531205696269/9765625000000000 1250991020517939/1953125000000000
-4585259450266051/4882812500000000 6713870637898371/19531250000000000
-1255535789475723/2441406250000000 837529162132007/976562500000000
5853280170366767/19531250000000000 4658385166890529/4882812500000000
3259598917590353/4882812500000000 -7271003453884491/9765625000000000
-597434911971823/610351562500000 -499608739770017/2441406250000000
565196114535357/976562500000000 7963841212131151/9765625000000000
2439877624763639/2441406250000000 -1105675063009639/31250000000000000
-5683302553466813/156250000000000000 48795814381771/48828125000000
1071360580376111/1953125000000000 -510331136030771/610351562500000
2346328742977693/2441406250000000 107950318340633/390625000000000
5930333924690077/19531250000000000 -4652290202847477/4882812500000000
-3439805056404711/9765625000000000 -571234863087737/610351562500000
3108978832344707/19531250000000000 -4820554799388581/4882812500000000
755384608469053/1220703125000000 1917821902756167/2441406250000000
-7551189495335953/19531250000000000 -4503118806505303/4882812500000000
-7412927279105719/9765625000000000 -794669160674303/1220703125000000
-6903756523549811/19531250000000000 -1141900609363281/1220703125000000
-5575773798752909/39062500000000000 966562741366003/976562500000000
3711275834464513/4882812500000000 317305682121767/488281250000000
-1180887588015237/9765625000000000 -1211745487826191/1220703125000000
