100
-6248457645747349/9765625000000000 -7504945615387663/9765625000000000
-2260488018846941/2441406250000000 -7378491527952287/19531250000000000
-4007308290408637/4882812500000000 1394931734510551/2441406250000000
4447603954222417/4882812500000000 1007556074933471/2441406250000000
-6858578239381679/2500000000000000000 -2441397062464067/2441406250000000
4441229242654787/4882812500000000 -2029123141739859/4882812500000000
4742812572538029/78125000000000000 974761297214427/976562500000000
4027585521923813/19531250000000000 -4777867472955963/4882812500000000
-4682909633747107/4882812500000000 -5531314885001271/19531250000000000
1463391707974921/2441406250000000 -7816852754472793/9765625000000000
-2049924235819081/9765625000000000 2387012283535981/2441406250000000
-4488099282664389/4882812500000000 -480808091855761/1220703125000000
-2398719931713881/4882812500000000 -8505998024771651/9765625000000000
-7062319743364427/156250000000000000 2438911157011973/2441406250000000
-4516479653788199/9765625000000000 -8658455011001803/9765625000000000
1283811712875399/1953125000000000 7359559687082057/9765625000000000
-3259186734190469/19531250000000000 2407174914429571/2441406250000000
5868458985216381/19531250000000000 931438290630857/976562500000000
-4800348988638669/4882812500000000 -7148739737579309/39062500000000000
388534524852363/488281250000000 1478677636431543/2441406250000000
1719595154470273/1953125000000000 57882213722519/122070312500000
-2890582944366043/4882812500000000 491909356358853/610351562500000
-1198665885242563/1220703125000000 -9236121691743/48828125000000
4611207458795849/4882812500000000 -6423237416881657/19531250000000000
-3809766620435181/19531250000000000 -4789020025409151/4882812500000000
-258209016848583/390625000000000 366392877939549/488281250000000
-3685727113410991/4882812500000000 1601348927906043/2441406250000000
-6145449557977277/9765625000000000 7589524449593787/9765625000000000
2139666143654317/4882812500000000 -1755616664484851/1953125000000000
4555367940443121/9765625000000000 2159514623818973/2441406250000000
5474562123882303/9765625000000000 8086816505422779/9765625000000000
-1252415194149263/4882812500000000 -4719461207767293/4882812500000000
2236759666051767/2441406250000000 3913812818954019/9765625000000000
1670610698303013/4882812500000000 -4588127919410243/4882812500000000
-2684791539474341/4882812500000000 4078449742208827/4882812500000000
348676142871289/610351562500000 -500953068898267/610351562500000
49136735581583/61035156250000 2896476772740299/4882812500000000
-3158063587257969/4882812500000000 -7448084932112839/9765625000000000
