1500
-8643491994790383/9765625000000000 4545049810136251/9765625000000000
8934151135072037/39062500000000000 -2376693351711387/2441406250000000
-7346059572753631/156250000000000000 4877413055505669/4882812500000000
262283708471481/390625000000000 -1809211962596811/2441406250000000
962697617114159/976562500000000 1639744321806613/9765625000000000
3824686766231053/4882812500000000 6070792057177811/9765625000000000
4811550848265369/4882812500000000 265973009342333/1562500000000000
-414981178354577/610351562500000 3580566672091003/4882812500000000
-5782544222979651/9765625000000000 -393476854306291/488281250000000
-6311225273707361/1250000000000000000 976550052556779/976562500000000
-56705165426109/78125000000000 -3358780377024437/4882812500000000
7366619185769537/19531250000000000 565273240357277/610351562500000
-4995065389660927/39062500000000000 -4842726872594309/4882812500000000
695429646828757/2441406250000000 -4680530774965887/4882812500000000
-12183911270171/12207031250000 192241869895939/3125000000000000
1210457966550399/1220703125000000 -2525144240128931/19531250000000000
18970667174262/19073486328125 810104273921443/7812500000000000
136736200593547/195312500000000 -6973195842562303/9765625000000000
7463637806949037/9765625000000000 1259548209911887/1953125000000000
-3840658422785461/4882812500000000 3015161818152277/4882812500000000
8753575210424947/9765625000000000 135288871623699/305175781250000
-1670809447118161/2441406250000000 7120517137354299/9765625000000000
-4703795645266589/9765625000000000 -8558138709333711/9765625000000000
5729413324431343/9765625000000000 -494268930618959/610351562500000
-8719456510966107/9765625000000000 439755725306627/976562500000000
-946880729886991/1953125000000000 -341649770905451/390625000000000
3586473048551437/39062500000000000 4862188481862511/4882812500000000
-6352284400890533/9765625000000000 -7417271366939989/9765625000000000
5956125233563823/39062500000000000 4825718014017617/4882812500000000
-4554254667447123/9765625000000000 -2159661374855169/2441406250000000
8347921997570319/9765625000000000 5067507273118271/9765625000000000
-2807471386480251/4882812500000000 -7989984311436639/9765625000000000
8783244062899719/78125000000000000 -970371244093879/976562500000000
-2436079900594129/4882812500000000 -2115855183376071/2441406250000000
7091563108511939/9765625000000000 -6713952957730451/9765625000000000
21341584728267/30517578125000 -6980544104604737/9765625000000000
