1500
3938018052225063/19531250000000000 -2391265814057907/2441406250000000
6492142739517417/19531250000000000 4605172426279439/4882812500000000
6407368559664261/9765625000000000 3684869732475319/4882812500000000
-1026757285793537/1220703125000000 2640865298964427/4882812500000000
-7054484717937489/19531250000000000 142287047039789/152587890625000
-7903545666267389/9765625000000000 -5735973983714621/9765625000000000
6822683810213977/312500000000000000 -2440824317965849/2441406250000000
-776595136701961/1953125000000000 2240116228595859/2441406250000000
2431598247776047/4882812500000000 -4234287173960773/4882812500000000
1149866676463623/3906250000000000 -583308596015027/610351562500000
-2295103412609771/2441406250000000 832445075044621/2441406250000000
-4514607116056561/4882812500000000 -14881248330019/39062500000000
-5963754109037851/9765625000000000 -154662301247019/195312500000000
-6272268233312357/9765625000000000 46781608152439/61035156250000
-344829421561639/488281250000000 -442501107987/625000000000
-2689960065769407/4882812500000000 -326003413525413/390625000000000
1416087380350603/2441406250000000 497189665064477/610351562500000
-411121714471333/31250000000000000 -2441194964527273/2441406250000000
-796183588062771/2441406250000000 2307933311783197/2441406250000000
-6982062322523697/9765625000000000 6827754928599883/9765625000000000
461257044305899/488281250000000 -1601890076745231/4882812500000000
-336252890212747/976562500000000 -916846939368739/976562500000000
-4834030159886721/4882812500000000 1101574522246341/7812500000000000
821534693533071/976562500000000 263986298757991/488281250000000
-279806959074937/305175781250000 -974566918865093/2441406250000000
-4527628112530267/4882812500000000 7312938216374439/19531250000000000
7477901684666933/9765625000000000 -6280797563612479/9765625000000000
-5565267099218071/19531250000000000 -4680394806242717/4882812500000000
-2369107171726827/2441406250000000 235896820296189/976562500000000
4607199294028227/4882812500000000 6469092765155939/19531250000000000
4805389004561743/4882812500000000 -1385727869382363/7812500000000000
-588920050852993/610351562500000 2565105087257029/9765625000000000
-5376022748002341/19531250000000000 -4694199252637913/4882812500000000
3933328167802543/4882812500000000 5786462627383793/9765625000000000
37889643238897/39062500000000 4750101090479733/19531250000000000
151908806139989/152587890625000 -7362463554487309/78125000000000000
646571165728843/2441406250000000 4708464805087581/4882812500000000
1397758804015293/78125000000000000 -4882030945581603/4882812500000000
1012455400357739/3906250000000000 -4715950846062629/4882812500000000
517214088979517/610351562500000 -5185052140322563/9765625000000000
242261299886733/244140625000000 -4837473330786929/39062500000000000
-1493507792514033/1953125000000000 6293114767992199/9765625000000000
-594332486306753/610351562500000 2222671578316487/9765625000000000
