1500
-238540317433619/244140625000000 1663742052024989/7812500000000000
127861234607601/195312500000000 -115346151670183/152587890625000
-8012118287003021/9765625000000000 5583313728933453/9765625000000000
605466688340819/610351562500000 -4932203570629249/39062500000000000
-1080037611110609/2441406250000000 -8758066668963467/9765625000000000
-25544037188797/38146972656250 -1450590686126301/1953125000000000
160019845055553/244140625000000 -1843862629476161/2441406250000000
1513115514754737/1953125000000000 6174906283972063/9765625000000000
-2787211551742557/4882812500000000 -8018306473561383/9765625000000000
1169580947731203/2441406250000000 1714417897105509/1953125000000000
1203438206332101/1220703125000000 6546530790818887/39062500000000000
7020432829384889/9765625000000000 6788295406707039/9765625000000000
8867937329508413/9765625000000000 -408988009121737/976562500000000
6496153985561629/9765625000000000 -7291598935521397/9765625000000000
-446237842751767/610351562500000 832828475839871/1220703125000000
-6160588897741897/9765625000000000 -1515448132713809/1953125000000000
4819433302781847/4882812500000000 -627334960068259/3906250000000000
-6498903782314059/39062500000000000 4814761085515797/4882812500000000
2295985619429509/2441406250000000 415004371336001/1220703125000000
4530342442985037/4882812500000000 728599232439301/1953125000000000
6760308801437717/19531250000000000 -2290496505508221/2441406250000000
5653907983399037/9765625000000000 1990614794414681/2441406250000000
7964260251524809/9765625000000000 1412842663891821/2441406250000000
8383865134898597/39062500000000000 2384511964979869/2441406250000000
6111334816570337/9765625000000000 7617021622681677/9765625000000000
6190493620710029/19531250000000000 -2315530160994617/2441406250000000
481473182516829/488281250000000 -6500291005758469/39062500000000000
-552364688687321/9765625000000000 -974999102006337/976562500000000
-109765763811563/781250000000000 4834378190023447/4882812500000000
-2433555153193743/2441406250000000 6260380576044683/78125000000000000
-966296963525851/976562500000000 -2824499579534047/19531250000000000
951360235872713/976562500000000 -4408537989241597/19531250000000000
-692426477235717/1220703125000000 -8042533702291389/9765625000000000
7678305814415173/39062500000000000 4787553077496763/4882812500000000
-4642303390556957/4882812500000000 -1513564382568391/4882812500000000
-1066088625645747/1953125000000000 2045632660348383/2441406250000000
8793049874858949/9765625000000000 -4248494502628903/9765625000000000
1184227631254443/1220703125000000 -2369418990497127/9765625000000000
2261434506735319/2441406250000000 919988287580797/2441406250000000
301186646969547/305175781250000 -6295285621936801/39062500000000000
-38673759710181/48828125000000 9315048418581/15258789062500
1220690869917847/1220703125000000 5601147456455769/1250000000000000000
44753292663723/78125000000000 -1000568493285031/1220703125000000
1365286766643361/19531250000000000 -1217717060038939/1220703125000000
-975244692582637/976562500000000 15848729480229/305175781250000
1238482275811077/2441406250000000 -4207909756656327/4882812500000000
-6106284583187853/9765625000000000 -952633850747391/1220703125000000
4377798479722391/4882812500000000 -865030716781463/1953125000000000
8967778923112849/9765625000000000 -193302695446791/488281250000000
2342063632819587/4882812500000000 -8568919616843227/9765625000000000
8558712185191519/9765625000000000 470275210612671/976562500000000
8380178055544723/9765625000000000 1253496295317413/2441406250000000
4332913198651177/4882812500000000 1800927960466723/3906250000000000
-4865833152678259/4882812500000000 3254787395363627/39062500000000000
-903164794373417/976562500000000 -1857199979880151/4882812500000000
-1693392179476271/2441406250000000 7034642738934413/9765625000000000
-1723680776949809/39062500000000000 -4878056463050201/4882812500000000
-957346132056921/976562500000000 385552589626383/1953125000000000
-5111985905745661/9765625000000000 4160379542183703/4882812500000000
229179105202597/12500000000000000 4881991758173769/4882812500000000
2388715848552963/2441406250000000 -8071695889787093/39062500000000000
926483723603843/3906250000000000 -592935645740889/610351562500000
5028762126428669/9765625000000000 -8371319078641167/9765625000000000
-2334238139021033/2441406250000000 -5723197919366053/19531250000000000
4249854128623689/9765625000000000 2198098205353397/2441406250000000
-356145704934001/390625000000000 4011555767565707/9765625000000000
-2123659051185257/2441406250000000 -2408764589459083/4882812500000000
-8922723586636967/19531250000000000 -4343491757496009/4882812500000000
-3310690352235641/4882812500000000 224314818720341/305175781250000
7505423396184439/9765625000000000 6247883744487587/9765625000000000
-4537509135135009/4882812500000000 360714222548687/976562500000000
-5898571884711211/9765625000000000 7782948115047371/9765625000000000
2430474984620509/19531250000000000 -968971771920671/976562500000000
4882485001069191/4882812500000000 -3619325615859237/312500000000000000
-8361483185493963/9765625000000000 -5045099659999467/9765625000000000
-2677451302669269/4882812500000000 204163613506367/244140625000000
-1087183846975619/2441406250000000 8743908289010681/9765625000000000
-21429150761749/38146972656250 -4039577429302473/4882812500000000
4400741502768811/4882812500000000 1057749041120383/2441406250000000
