10000
-4289820860890361/4882812500000000 1166114798339569/2441406250000000
-2138422044003681/4882812500000000 -8779295887911597/9765625000000000
4818431298533443/4882812500000000 6322418430794709/39062500000000000
1642936562481001/1953125000000000 1320189804824547/2441406250000000
-600435427477677/610351562500000 -7012696808079511/39062500000000000
976457323374291/976562500000000 -4586304872168257/312500000000000000
-6200525682252663/9765625000000000 1508918989268147/1953125000000000
144901438018919/152587890625000 3060403194644007/9765625000000000
-4977216413928893/9765625000000000 3282057852783/3814697265625
7218551542938641/78125000000000000 4861924828860679/4882812500000000
-13120341178901/38146972656250 -4584916708112167/4882812500000000
1442650570657509/1953125000000000 -6583039944825193/9765625000000000
-8851435663707391/19531250000000000 -8705196914110399/9765625000000000
-7714946914083599/19531250000000000 358858925303731/390625000000000
-225001854219033/1953125000000000 -4850303747719697/4882812500000000
-2274359657418041/2441406250000000 7100434358537131/19531250000000000
-971864417839991/976562500000000 -1530813722878467/15625000000000000
6905541274343351/78125000000000000 4863700496370223/4882812500000000
-4758484065205971/9765625000000000 2131963019171033/2441406250000000
-714219676212799/976562500000000 -1665016085726979/2441406250000000
4801343613385411/4882812500000000 3552930995917319/19531250000000000
-1379700688339159/1953125000000000 -6912169117255181/9765625000000000
8380414691086829/78125000000000000 -606829834798199/610351562500000
8547569229227461/9765625000000000 -4722974900652011/9765625000000000
6962299419564383/9765625000000000 3423953067470349/4882812500000000
-673238102797947/976562500000000 282962831014187/390625000000000
7830085360539159/19531250000000000 -8946500570183439/9765625000000000
-1577223566346593/1953125000000000 46079289706087/78125000000000
7982239112847753/9765625000000000 -1125189590885883/1953125000000000
565539136473691/610351562500000 -1469138296034653/3906250000000000
518926203405603/976562500000000 -8272786180152953/9765625000000000
210644515204757/390625000000000 -328963187665661/390625000000000
5779590459640331/156250000000000000 -4879470990045353/4882812500000000
-239174273528731/305175781250000 6065492109284857/9765625000000000
970232558001049/976562500000000 -2220189163201303/19531250000000000
-5769751752353509/9765625000000000 7878921014760753/9765625000000000
237011480040499/781250000000000 4652692100535269/4882812500000000
2430572544747509/4882812500000000 423487603299977/488281250000000
-925649115967579/976562500000000 -6224083242203287/19531250000000000
-2439173686031639/2441406250000000 -1336126693138223/31250000000000000
-4549702665861841/19531250000000000 2374243077457627/2441406250000000
3360933438931447/4882812500000000 -3542031102239037/4882812500000000
-915424897313339/976562500000000 -3401052392791279/9765625000000000
2392432884016713/4882812500000000 -8513077658668861/9765625000000000
-5522569693773041/9765625000000000 -8054107996422977/9765625000000000
7593976195983751/9765625000000000 -47968341035167/76293945312500
-1028530665141327/9765625000000000 4855655370583073/4882812500000000
160178659022017/244140625000000 3684966321110631/4882812500000000
2402290214711127/2441406250000000 6964434483259263/39062500000000000
91552374164723/97656250000000 6796781440844073/19531250000000000
