10000
-152584767742961/152587890625000 -999655953995279/156250000000000000
-1173924140754783/1220703125000000 -5355059959636769/19531250000000000
4533720376587849/19531250000000000 -4749441454722677/4882812500000000
6298494123249687/39062500000000000 4818920843322621/4882812500000000
3747515220836883/4882812500000000 626034745992653/976562500000000
-714663616042751/976562500000000 6655300386240649/9765625000000000
2246005909080187/4882812500000000 -1734234833765399/1953125000000000
-6953596506863121/9765625000000000 -3428371598163113/4882812500000000
-4261728676941/6103515625000 -6990841399432553/9765625000000000
-2413888731523013/2441406250000000 -5848337486629191/39062500000000000
1203147350870027/1220703125000000 6601047886108879/39062500000000000
4727495641770499/19531250000000000 4737618808005907/4882812500000000
1633279853717163/2441406250000000 -3629248625807113/4882812500000000
8440751366901549/312500000000000000 4881031017924387/4882812500000000
-4639801058209353/4882812500000000 47538060927161/152587890625000
5821498886877011/19531250000000000 2330436779315031/2441406250000000
-1173602398247959/1220703125000000 -5373083261417011/19531250000000000
-4275457952857667/78125000000000000 -487549520092789/488281250000000
-356921878124423/610351562500000 7921790549311149/9765625000000000
-3539450296074229/4882812500000000 6727302434639401/9765625000000000
4936455256555711/39062500000000000 37841139305653/38146972656250
-4734799819983953/4882812500000000 -2386234334541501/9765625000000000
302830390275647/305175781250000 -2416804898651357/19531250000000000
-4158425534164569/4882812500000000 511834152317501/976562500000000
1067002494363807/2441406250000000 -1097949242287693/1220703125000000
3424038224966661/9765625000000000 2286419059831773/2441406250000000
5808626606320733/9765625000000000 -1962576249935399/2441406250000000
185515726194233/3906250000000000 -2438651408969033/2441406250000000
6901919007261467/19531250000000000 913555198906589/976562500000000
-407007465339517/1953125000000000 -4775616575887677/4882812500000000
1017515245545109/1953125000000000 -41678531574333/48828125000000
4806914668484457/4882812500000000 686057387717483/3906250000000000
7861433193393941/9765625000000000 1448389186873407/2441406250000000
4858489605009023/4882812500000000 -7788182525655953/78125000000000000
6813299441614093/9765625000000000 -6996169120277617/9765625000000000
1813859044754417/2441406250000000 1634129689866033/2441406250000000
-3805783335426501/4882812500000000 6118127528564989/9765625000000000
-6235603720379437/19531250000000000 -1156819070779481/1220703125000000
-8482976267998229/9765625000000000 4838031136444229/9765625000000000
8341788093049663/9765625000000000 2538799078859917/4882812500000000
1478266573337397/9765625000000000 2413272668737133/2441406250000000
8981774325760779/19531250000000000 -433587834616301/488281250000000
-6052545573732721/39062500000000000 75372548794541/76293945312500
2398410109025637/2441406250000000 1824690336304529/9765625000000000
-3945478381941759/4882812500000000 -5753280194041131/9765625000000000
-2561383477519243/4882812500000000 207853148828973/244140625000000
-4188294742334921/4882812500000000 5019978112098063/9765625000000000
7340447921172821/9765625000000000 -6440904902044013/9765625000000000
-4822710937325547/4882812500000000 -152750401001999/976562500000000
-1848223045148421/19531250000000000 1215225349050991/1220703125000000
-588633992065623/610351562500000 1290929667638437/4882812500000000
4113547306310899/19531250000000000 -2386644005977727/2441406250000000
-2259152278850717/2441406250000000 7404627562826581/19531250000000000
7320836228647419/9765625000000000 -6463187182338789/9765625000000000
1397137717451699/2441406250000000 8008466196233003/9765625000000000
-2352852792253893/4882812500000000 -534818042190217/610351562500000
1322747119746921/3906250000000000 574293237509337/610351562500000
4643894839808187/4882812500000000 3017348920465873/9765625000000000
-4826593788018747/9765625000000000 -1697897806654851/1953125000000000
1160833549396579/2441406250000000 -8591093013706139/9765625000000000
3940011574409703/4882812500000000 -576824642458133/976562500000000
4074314267063099/4882812500000000 5382126406305349/9765625000000000
-4998558012805177/9765625000000000 -1048673637217257/1220703125000000
-825068791650293/31250000000000000 -4881110357040049/4882812500000000
-2065566411408809/2441406250000000 5205996354357229/9765625000000000
-8695857704552409/39062500000000000 -4760286501737869/4882812500000000
-4459953782085473/4882812500000000 7950517137210871/19531250000000000
-2356147253644931/2441406250000000 5116465008924879/19531250000000000
7026777228140579/9765625000000000 3390863954315699/4882812500000000
-5350327167585561/39062500000000000 4836794046437481/4882812500000000
-1109012788808423/1220703125000000 -8161674395177573/19531250000000000
8930324244624699/9765625000000000 1975901093583209/4882812500000000
-4638322073341721/4882812500000000 6102886207829477/19531250000000000
4531797055297113/4882812500000000 727150422925729/1953125000000000
-4652243882100449/4882812500000000 -1186183060844203/3906250000000000
-4744418043278263/4882812500000000 4617107909974657/19531250000000000
4568810307306047/4882812500000000 6890956724299203/19531250000000000
1225961193717063/1953125000000000 -1900541212854263/2441406250000000
