7500
-706301509429591/976562500000000 -3371989376405757/4882812500000000
-237491706237679/244140625000000 -1131783414564219/4882812500000000
-4621575767493887/4882812500000000 6302882306335137/19531250000000000
7463468632012637/9765625000000000 1259588307655933/1953125000000000
-8306690768196407/19531250000000000 4419195451691833/4882812500000000
3443167552722197/4882812500000000 -1731073013627479/2441406250000000
4860381048418871/4882812500000000 7479961057899439/78125000000000000
-542941142418723/3906250000000000 -4835416860644141/4882812500000000
974170411467699/976562500000000 2732420414827569/39062500000000000
-560931950410331/2441406250000000 4752186791172217/4882812500000000
6039337907563709/39062500000000000 -2412050884271211/2441406250000000
-8105687877474123/19531250000000000 1776984948150853/1953125000000000
421530936078597/488281250000000 -1232175403810921/2441406250000000
-8371165748480831/9765625000000000 -5029017364464589/9765625000000000
8404591257735951/19531250000000000 1763044447405931/1953125000000000
-4661094171841617/4882812500000000 -5818672056585229/19531250000000000
-1197871525031767/1220703125000000 1879913681470881/9765625000000000
6073616958208639/19531250000000000 4640722624275909/4882812500000000
-1663466286586669/1953125000000000 -5117560891221907/9765625000000000
-482531055053183/488281250000000 5977215410981733/39062500000000000
-811430743864589/976562500000000 2716866137287637/4882812500000000
-4986546957907907/9765625000000000 -419826693640377/488281250000000
6777005429079561/9765625000000000 7031331954534017/9765625000000000
-2146857791781031/19531250000000000 -121330631724647/122070312500000
-2846600165617403/9765625000000000 -4670768115035577/4882812500000000
-4224479920435749/4882812500000000 -2448597008899467/4882812500000000
8891258676283129/9765625000000000 -1009732352904873/2441406250000000
-4728719974901667/4882812500000000 2433980533301143/9765625000000000
603046940062979/2441406250000000 4731510906938603/4882812500000000
3438446709602489/4882812500000000 -216677162424489/305175781250000
-974644594978741/976562500000000 -1223475358963309/19531250000000000
2050220810069921/2441406250000000 -5302164248674761/9765625000000000
-3605282785060969/19531250000000000 -4798903928256971/4882812500000000
254272651060973/488281250000000 4168500905889157/4882812500000000
4774669469930273/4882812500000000 2043907398168531/9765625000000000
-1236514874233911/2441406250000000 336817878607173/390625000000000
1912919003787711/2441406250000000 -6067889732006533/9765625000000000
5268321033173029/19531250000000000 -73466014250443/76293945312500
5336921857822961/39062500000000000 -604628180902913/610351562500000
-3943197197714243/9765625000000000 2233531781458509/2441406250000000
5026741135979877/19531250000000000 -2359162987541701/2441406250000000
-1105336176430397/1953125000000000 4025643739437233/4882812500000000
-151822771241157/152587890625000 7813839619469599/78125000000000000
5992968901151841/78125000000000000 121710625819513/122070312500000
2420900677231607/2441406250000000 -5052160276630583/39062500000000000
-1222550701817373/2441406250000000 8453008230470297/9765625000000000
-4866403709246431/9765625000000000 -8466731753118057/9765625000000000
-4666051357462161/4882812500000000 -5754751274808363/19531250000000000
1290420765577167/39062500000000000 610018434439403/610351562500000
